,norfolk_male,norfolk_female,tuple,southern_male,southern_female,corp_male,corp_female,average_male,average_female,female-male
0,-0.022760428,-0.014891848,"('unsociable', 'sociable')",-0.89559144,-0.8630901,-0.26774135,-0.2618756,-0.3953644,-0.3799525,0.0154119
1,0.441451,0.5209451,"('unfriendly', 'friendly')",0.936583,0.8071362,1.9779073,1.7336725,1.1186471,1.0205846,-0.0980625
2,0.7607197,0.8709142,"('unlikable', 'likable')",0.751013,0.8790747,0.72742784,0.81801957,0.7463868,0.8560028,0.109616
3,-0.49802616,-0.4034792,"('repellent', 'pleasant')",-0.6493743,-0.5767743,0.6514097,0.7189375,-0.1653303,-0.0871053,0.078225
4,-0.092976704,-0.1402835,"('disliked', 'liked')",0.033928744,-0.12147507,-7.0486245,-7.0692296,-2.3692242,-2.4436626,-0.0744384
5,0.18558878,0.18891191,"('distant', 'outgoing')",0.5134355,0.43095183,-0.38469735,-0.51560247,0.1047756,0.0347538,-0.0700218
6,0.59993243,0.6043716,"('distant', 'open')",0.9570819,0.8002262,-0.07739823,-0.26180464,0.4932054,0.3809311,-0.1122743
7,1.0767417,1.0954458,"('insensitive', 'sensitive')",-0.05768414,0.04832539,0.4784202,0.5689037,0.4991593,0.5708916,0.0717323
8,0.36428377,0.39502263,"('unaffectionate', 'affectionate')",0.713496,0.56783456,0.8823519,0.7014322,0.6533772,0.5547632,-0.098614
9,1.1068763,1.0589865,"('unaffectionate', 'caring')",0.8119965,0.6713169,1.4634356,1.3775555,1.1274362,1.035953,-0.0914832
10,-0.43029323,-0.443121,"('unsympathetic', 'sympathetic')",-1.5656469,-1.5559412,-0.6674228,-0.5646954,-0.8877877,-0.8545859,0.0332018
11,-0.56970555,-0.5000779,"('unhelpful', 'helpful')",-1.3213989,-1.2160503,1.3908087,1.4930037,-0.1667653,-0.0743748,0.0923905
12,1.232596,1.3107375,"('unsupportive', 'supportive')",-0.3159846,-0.21225323,-1.8955789,-1.8295884,-0.3263225,-0.2437014,0.0826211
13,-0.5960714,-0.5750086,"('impolite', 'polite')",-0.8590552,-0.6466918,-0.89254135,-0.79429,-0.782556,-0.6719968,0.1105592
14,-0.032629546,0.1556495,"('antisocial', 'social')",-0.53724426,-0.33063096,-0.0325757,0.1018915,-0.2008165,-0.0243633,0.1764532
15,0.057520717,-0.047938768,"('boring', 'funny')",0.4500603,0.31912094,0.052530784,0.05900056,0.1867039,0.1100609,-0.076643
16,-0.3187324,-0.31027445,"('unpopular', 'popular')",0.4393643,0.32401994,0.34465435,0.2038896,0.1550954,0.072545,-0.0825504
17,-0.118468985,-0.08159954,"('nasty', 'nice')",0.8802913,0.8920175,-0.34231666,-0.3126561,0.1398352,0.1659206,0.0260854
18,0.36603212,0.5340487,"('disagreeable', 'welcoming')",0.24005046,0.3902495,-0.66534567,-0.7339024,-0.0197544,0.0634653,0.0832197
19,-0.53347987,-0.63684094,"('inhospitable', 'hospitable')",0.07690008,0.025422461,-0.7311029,-0.8287137,-0.3958942,-0.480044,-0.0841498
20,-0.93365234,-0.8328715,"('rough', 'thoughtful')",-0.777315,-0.71843016,0.9424491,0.9700691,-0.2561727,-0.1937442,0.0624285
21,-0.63241965,-0.6008763,"('immoral', 'moral')",-0.3408101,-0.24877474,-0.6673503,-0.4925303,-0.54686,-0.4473937,0.0994663
22,-0.57036936,-0.48178288,"('untrustworthy', 'trustworthy')",-1.5152565,-1.4390979,-1.2687873,-1.1847107,-1.1181377,-1.0351972,0.0829405
