,brochure_male,brochure_female,tuple,average_male,average_female,female-male
0,-0.029858388,-0.15843153,"('unsociable', 'sociable')",-0.0298584,-0.1584315,-0.1285731
1,-0.5711461,-0.64770335,"('unfriendly', 'friendly')",-0.5711461,-0.6477033,-0.0765572
2,0.4915161,0.68333346,"('unlikable', 'likable')",0.4915161,0.6833335,0.1918174
3,-0.8432003,-0.69508547,"('repellent', 'pleasant')",-0.8432003,-0.6950855,0.1481148
4,-0.16829298,-0.36979955,"('disliked', 'liked')",-0.168293,-0.3697996,-0.2015066
5,-0.50043076,-0.5629107,"('distant', 'outgoing')",-0.5004308,-0.5629107,-0.0624799
6,-0.85757446,-0.83781064,"('distant', 'open')",-0.8575745,-0.8378106,0.0197639
7,0.1624131,0.21867402,"('insensitive', 'sensitive')",0.1624131,0.218674,0.0562609
8,-0.71861815,-0.84379685,"('unaffectionate', 'affectionate')",-0.7186182,-0.8437968,-0.1251786
9,-0.59189516,-0.6993883,"('unaffectionate', 'caring')",-0.5918952,-0.6993883,-0.1074931
10,-0.77289635,-0.74002725,"('unsympathetic', 'sympathetic')",-0.7728963,-0.7400272,0.0328691
11,0.32085457,0.4491047,"('unhelpful', 'helpful')",0.3208546,0.4491047,0.1282501
12,-0.92722434,-0.92915785,"('unsupportive', 'supportive')",-0.9272243,-0.9291579,-0.0019336
13,-0.23786116,-0.22723562,"('impolite', 'polite')",-0.2378612,-0.2272356,0.0106256
14,0.55810046,0.5383264,"('antisocial', 'social')",0.5581005,0.5383264,-0.0197741
15,0.87397814,0.7395302,"('boring', 'funny')",0.8739781,0.7395302,-0.1344479
16,0.15528825,0.3147511,"('unpopular', 'popular')",0.1552882,0.3147511,0.1594629
17,0.39005542,0.44934514,"('nasty', 'nice')",0.3900554,0.4493451,0.0592897
18,-1.3443682,-1.0863191,"('disagreeable', 'welcoming')",-1.3443682,-1.0863191,0.2580491
19,-0.41666132,-0.3047035,"('inhospitable', 'hospitable')",-0.4166613,-0.3047035,0.1119578
20,0.22690964,0.31007066,"('rough', 'thoughtful')",0.2269096,0.3100707,0.0831611
21,-0.16560502,0.11833664,"('immoral', 'moral')",-0.165605,0.1183366,0.2839416
22,0.73771876,0.6742065,"('untrustworthy', 'trustworthy')",0.7377188,0.6742065,-0.0635123
23,0.30798662,0.37735048,"('insincere', 'sincere')",0.3079866,0.3773505,0.0693639
24,-0.41732702,-0.38555172,"('dishonest', 'honest')",-0.417327,-0.3855517,0.0317753
25,-0.33420125,-0.3418733,"('egoistic', 'altruistic')",-0.3342012,-0.3418733,-0.0076721
26,0.6449956,0.36853096,"('hardhearted', 'benevolent')",0.6449956,0.368531,-0.2764646
27,-0.921046,-1.0134594,"('hardhearted', 'softhearted')",-0.921046,-1.0134594,-0.0924134
28,-1.1053356,-1.2206556,"('disloyal', 'loyal')",-1.1053356,-1.2206556,-0.11532
29,-0.45842785,-0.52333796,"('unfair', 'fair')",-0.4584278,-0.523338,-0.0649102
30,-0.09799205,-0.038318448,"('intolerant', 'tolerant')",-0.097992,-0.0383184,0.0596736
31,-0.85558,-0.9809214,"('evil', 'good')",-0.85558,-0.9809214,-0.1253414
32,-0.5884114,-0.5610983,"('unkind', 'kind')",-0.5884114,-0.5610983,0.0273131
33,0.23145239,0.21820132,"('wrong', 'right')",0.2314524,0.2182013,-0.0132511
34,0.5724102,0.92175126,"('mean', 'honorable')",0.5724102,0.9217513,0.3493411
35,-0.11988957,-0.31829506,"('corrupt', 'incorrupt')",-0.1198896,-0.3182951,-0.1984055
36,-1.1913729,-1.2977506,"('hostile', 'amicable')",-1.1913729,-1.2977506,-0.1063777
37,-1.2742982,-1.265198,"('fake', 'genuine')",-1.2742982,-1.265198,0.0091002
38,0.1049581,0.114928424,"('untruthful', 'truthful')",0.1049581,0.1149284,0.0099703
39,-0.3946334,-0.23661666,"('exploitative', 'cooperative')",-0.3946334,-0.2366167,0.1580167
40,-0.66238374,-0.79458094,"('stingy', 'generous')",-0.6623837,-0.7945809,-0.1321972
41,-0.30017787,-0.27257976,"('unforgiving', 'forgiving')",-0.3001779,-0.2725798,0.0275981
42,0.5609586,0.7181851,"('unreliable', 'reliable')",0.5609586,0.7181851,0.1572265
43,-0.38003364,-0.23867795,"('irresponsible', 'responsible')",-0.3800336,-0.2386779,0.1413557
44,0.05592011,0.23896055,"('prejudiced', 'unprejudiced')",0.0559201,0.2389605,0.1830404
45,0.06062706,-0.06818069,"('incompetent', 'competent')",0.0606271,-0.0681807,-0.1288078
46,0.022328094,0.026164748,"('uncompetitive', 'competitive')",0.0223281,0.0261647,0.0038366
47,1.5024939,1.5993564,"('stupid', 'smart')",1.5024939,1.5993564,0.0968625
48,-0.97116727,-0.9898319,"('unintelligent', 'intelligent')",-0.9711673,-0.9898319,-0.0186646
49,-0.5239332,-0.39774546,"('unable', 'able')",-0.5239332,-0.3977455,0.1261877
50,0.26211062,0.33447263,"('clumsy', 'skillful')",0.2621106,0.3344726,0.072362
51,0.15932351,0.17876418,"('uneducated', 'educated')",0.1593235,0.1787642,0.0194407
52,-1.0415071,-1.0819293,"('irrational', 'rational')",-1.0415071,-1.0819293,-0.0404222
53,-0.4319806,-0.53010905,"('uncreative', 'creative')",-0.4319806,-0.530109,-0.0981284
54,0.46040428,0.54657716,"('incapable', 'capable')",0.4604043,0.5465772,0.0861729
55,-0.15887287,-0.10048157,"('incompetent', 'clever')",-0.1588729,-0.1004816,0.0583913
56,1.1870118,1.2985035,"('impractical', 'practical')",1.1870118,1.2985035,0.1114917
57,-0.20833987,-0.385656,"('unimaginative', 'imaginative')",-0.2083399,-0.385656,-0.1773161
58,1.3501568,1.2693385,"('undiscriminating', 'discriminating')",1.3501568,1.2693385,-0.0808183
