,historian_male,historian_female,tuple,average_male,average_female,female-male
0,1.0785712,0.9228489,"('unsociable', 'sociable')",1.0785712,0.9228489,-0.1557223
1,0.39163184,0.39085254,"('unfriendly', 'friendly')",0.3916318,0.3908525,-0.0007793
2,0.24019828,0.35420942,"('unlikable', 'likable')",0.2401983,0.3542094,0.1140111
3,1.0172217,1.2055668,"('repellent', 'pleasant')",1.0172217,1.2055668,0.1883451
4,-6.823031,-7.1967244,"('disliked', 'liked')",-6.8230309,-7.1967244,-0.3736935
5,-1.8819451,-1.5337206,"('distant', 'outgoing')",-1.8819451,-1.5337206,0.3482245
6,-1.4314541,-1.1609317,"('distant', 'open')",-1.4314541,-1.1609317,0.2705224
7,2.1832228,2.0988398,"('insensitive', 'sensitive')",2.1832228,2.0988398,-0.084383
8,0.5660881,0.56200814,"('unaffectionate', 'affectionate')",0.5660881,0.5620081,-0.00408
9,1.142092,1.1948014,"('unaffectionate', 'caring')",1.142092,1.1948014,0.0527094
10,1.6088494,1.7068329,"('unsympathetic', 'sympathetic')",1.6088494,1.7068329,0.0979835
11,1.9441378,1.985954,"('unhelpful', 'helpful')",1.9441378,1.985954,0.0418162
12,-0.955681,-0.9764571,"('unsupportive', 'supportive')",-0.955681,-0.9764571,-0.0207761
13,0.4522072,0.58191043,"('impolite', 'polite')",0.4522072,0.5819104,0.1297032
14,1.0916535,1.0061959,"('antisocial', 'social')",1.0916535,1.0061959,-0.0854576
15,0.14107975,0.024368782,"('boring', 'funny')",0.1410798,0.0243688,-0.116711
16,-0.98332715,-0.9047103,"('unpopular', 'popular')",-0.9833272,-0.9047103,0.0786169
17,-0.5934934,-0.42099229,"('nasty', 'nice')",-0.5934934,-0.4209923,0.1725011
18,-0.92296505,-0.76252437,"('disagreeable', 'welcoming')",-0.922965,-0.7625244,0.1604406
19,-1.3885301,-1.1741661,"('inhospitable', 'hospitable')",-1.3885301,-1.1741661,0.214364
20,0.8327632,0.77392477,"('rough', 'thoughtful')",0.8327632,0.7739248,-0.0588384
21,0.6621079,0.7637737,"('immoral', 'moral')",0.6621079,0.7637737,0.1016658
22,0.6809019,0.43046376,"('untrustworthy', 'trustworthy')",0.6809019,0.4304638,-0.2504381
23,6.367769,6.5741396,"('insincere', 'sincere')",6.3677688,6.5741396,0.2063708
