,oleo_male,oleo_female,tuple,average_male,average_female,female-male
0,-0.15620235,-0.24419284,"('unsociable', 'sociable')",-0.1562023,-0.2441928,-0.0879905
1,-0.19015689,-0.27818614,"('unfriendly', 'friendly')",-0.1901569,-0.2781861,-0.0880292
2,0.7056368,0.7502252,"('unlikable', 'likable')",0.7056368,0.7502252,0.0445884
3,0.4143421,0.5104879,"('repellent', 'pleasant')",0.4143421,0.5104879,0.0961458
4,-2.8078935,-2.9035897,"('disliked', 'liked')",-2.8078935,-2.9035897,-0.0956962
5,-1.0611204,-0.99610174,"('distant', 'outgoing')",-1.0611204,-0.9961017,0.0650187
6,-1.187053,-1.1100178,"('distant', 'open')",-1.187053,-1.1100178,0.0770352
7,0.37772688,0.3673207,"('insensitive', 'sensitive')",0.3777269,0.3673207,-0.0104062
8,-0.1347472,-0.1889655,"('unaffectionate', 'affectionate')",-0.1347472,-0.1889655,-0.0542183
9,-0.035068676,-0.058904056,"('unaffectionate', 'caring')",-0.0350687,-0.0589041,-0.0238354
10,0.16237324,0.1339872,"('unsympathetic', 'sympathetic')",0.1623732,0.1339872,-0.028386
11,1.065687,1.0370276,"('unhelpful', 'helpful')",1.0656869,1.0370276,-0.0286593
12,-0.8773913,-0.85305923,"('unsupportive', 'supportive')",-0.8773913,-0.8530592,0.0243321
13,0.343382,0.27061304,"('impolite', 'polite')",0.343382,0.270613,-0.072769
14,0.2097256,0.09601684,"('antisocial', 'social')",0.2097256,0.0960168,-0.1137088
15,0.3386277,0.26704222,"('boring', 'funny')",0.3386277,0.2670422,-0.0715855
16,-0.28669208,-0.3299209,"('unpopular', 'popular')",-0.2866921,-0.3299209,-0.0432288
17,-0.4637897,-0.40240487,"('nasty', 'nice')",-0.4637897,-0.4024049,0.0613848
18,-0.73481584,-0.75197166,"('disagreeable', 'welcoming')",-0.7348158,-0.7519717,-0.0171559
19,-1.0252877,-0.8785734,"('inhospitable', 'hospitable')",-1.0252877,-0.8785734,0.1467143
20,-0.025151797,-0.08410966,"('rough', 'thoughtful')",-0.0251518,-0.0841097,-0.0589579
21,0.61855936,0.61261654,"('immoral', 'moral')",0.6185594,0.6126165,-0.0059429
22,-0.5436939,-0.5945893,"('untrustworthy', 'trustworthy')",-0.5436939,-0.5945893,-0.0508954
23,2.4659526,2.4278476,"('insincere', 'sincere')",2.4659526,2.4278476,-0.038105
24,0.3365361,0.29469323,"('dishonest', 'honest')",0.3365361,0.2946932,-0.0418429
25,-0.2699006,-0.30204222,"('egoistic', 'altruistic')",-0.2699006,-0.3020422,-0.0321416
26,0.6259401,0.50828004,"('hardhearted', 'benevolent')",0.6259401,0.50828,-0.1176601
27,0.23312026,0.22796652,"('hardhearted', 'softhearted')",0.2331203,0.2279665,-0.0051538
28,0.38552696,0.19924289,"('disloyal', 'loyal')",0.385527,0.1992429,-0.1862841
29,-1.2469198,-1.2840229,"('unfair', 'fair')",-1.2469198,-1.2840229,-0.0371031
30,0.8743357,0.8138248,"('intolerant', 'tolerant')",0.8743357,0.8138248,-0.0605109
31,-1.6086801,-1.4574049,"('evil', 'good')",-1.6086801,-1.4574049,0.1512752
32,0.5143716,0.35317513,"('unkind', 'kind')",0.5143716,0.3531751,-0.1611965
33,-0.3991692,-0.48062128,"('wrong', 'right')",-0.3991692,-0.4806213,-0.0814521
