,zions_male,zions_female,tuple,bancorporation_male,bancorporation_female,n_male,n_female,a_male,a_female,average_male,average_female,female-male
0,0.11231076,0.031508744,"('unsociable', 'sociable')",-0.44706023,-0.508336,1.0401801,1.1375763,-0.25598252,-0.29077685,0.112362,0.0924931,-0.0198689
1,-0.3055516,-0.46910453,"('unfriendly', 'friendly')",-0.6253796,-0.70973444,-0.5963434,-0.62031543,1.2769188,1.1757932,-0.062589,-0.1558403,-0.0932513
2,0.9811073,1.0097663,"('unlikable', 'likable')",1.525473,1.6008786,1.5247636,1.5458575,0.6413098,0.6621791,1.1681634,1.2046703,0.0365069
3,-0.32545596,-0.21397504,"('repellent', 'pleasant')",-0.17983665,-0.13090745,0.9032943,1.0861067,1.1624205,1.2582757,0.3901055,0.499875,0.1097695
4,0.41026142,0.27940443,"('disliked', 'liked')",0.26926968,0.26010832,0.35294682,0.20360707,-6.2890115,-6.5203366,-1.3141334,-1.4443042,-0.1301708
5,-0.38343635,-0.49524146,"('distant', 'outgoing')",0.7558458,0.767897,-1.4254274,-1.4349458,-0.5446132,-0.6391766,-0.3994078,-0.4503667,-0.0509589
6,-0.5748038,-0.649363,"('distant', 'open')",0.38726926,0.383458,-1.4932736,-1.4982345,0.15884095,0.10075043,-0.3804918,-0.4158473,-0.0353555
7,1.0993252,1.0953674,"('insensitive', 'sensitive')",-0.1739676,-0.111999616,0.227846,0.35953513,0.81639624,0.92005825,0.4924,0.5657403,0.0733403
8,0.22224747,0.16531548,"('unaffectionate', 'affectionate')",-0.83100754,-0.85655147,-0.38833192,-0.29443958,0.58640134,0.54666674,-0.1026727,-0.1097522,-0.0070795
9,0.32811353,0.1954726,"('unaffectionate', 'caring')",-0.24775441,-0.24042252,0.03810849,0.123243384,1.3539288,1.3463199,0.3680991,0.3561533,-0.0119458
10,0.010276319,0.023120392,"('unsympathetic', 'sympathetic')",-2.2801144,-2.2828357,0.3889098,0.6404265,0.028724749,0.13802996,-0.4630509,-0.3703147,0.0927362
11,0.2402754,0.28538358,"('unhelpful', 'helpful')",-1.1174295,-1.0145783,0.8239053,1.0034121,1.5193254,1.6163522,0.3665192,0.4726424,0.1061232
12,1.3167049,1.3368071,"('unsupportive', 'supportive')",-1.0863681,-0.957672,0.58057624,0.64809656,-1.286884,-1.349767,-0.1189927,-0.0806338,0.0383589
13,-0.50909,-0.42366463,"('impolite', 'polite')",-0.23008622,-0.18329374,-0.31897956,-0.11844054,-0.47166488,-0.28182322,-0.3824552,-0.2518055,0.1306497
