,el_male,el_female,tuple,paso_male,paso_female,corp_male,corp_female,average_male,average_female,female-male
0,-1.495758,-1.4860182,"('unsociable', 'sociable')",-0.21303946,-0.34567744,-0.47195926,-0.62620705,-0.7269189,-0.8193009,-0.092382
1,-1.8026296,-1.9637599,"('unfriendly', 'friendly')",0.5105253,0.33305943,1.0765738,0.91003436,-0.0718435,-0.240222,-0.1683785
2,0.50508165,0.51816773,"('unlikable', 'likable')",1.3186522,1.3055717,0.77641726,0.8484177,0.866717,0.890719,0.024002
3,0.3424133,0.4802543,"('repellent', 'pleasant')",-0.6180623,-0.5288159,0.5818589,0.5737088,0.10207,0.175049,0.072979
4,0.5376672,0.41894862,"('disliked', 'liked')",0.48290265,0.43741295,-6.3609276,-6.41147,-1.7801193,-1.8517028,-0.0715835
5,-0.25739452,-0.37792438,"('distant', 'outgoing')",0.8717297,0.80300033,-0.22852361,-0.20892225,0.1286039,0.0720512,-0.0565527
6,-0.35840705,-0.37651202,"('distant', 'open')",1.4196408,1.3498665,-0.52769554,-0.52021545,0.1778461,0.1510463,-0.0267998
7,-1.0281055,-0.8805957,"('insensitive', 'sensitive')",-0.37094566,-0.30433992,-0.015735153,0.019741891,-0.4715954,-0.3883979,0.0831975
8,-1.7824321,-1.7816325,"('unaffectionate', 'affectionate')",0.4597088,0.38389614,0.35279915,0.31796136,-0.323308,-0.359925,-0.036617
9,-1.1290369,-1.0384034,"('unaffectionate', 'caring')",0.85189426,0.8267486,1.1751161,1.20462,0.2993245,0.3309884,0.0316639
10,-1.6750814,-1.4548045,"('unsympathetic', 'sympathetic')",-0.8110404,-0.76911134,-1.0547881,-1.076556,-1.1803033,-1.1001573,0.080146
11,-0.38753954,-0.32898206,"('unhelpful', 'helpful')",-0.5156396,-0.47089607,1.7477618,1.8287514,0.2815276,0.3429578,0.0614302
12,-0.7536276,-0.65761906,"('unsupportive', 'supportive')",0.35067162,0.3451112,-1.9018654,-1.881496,-0.7682738,-0.7313346,0.0369392
13,-0.17000195,-0.24598868,"('impolite', 'polite')",-0.034555346,-0.13279137,-1.03505,-1.0683548,-0.4132024,-0.4823783,-0.0691759
14,-1.3319575,-1.1174638,"('antisocial', 'social')",-0.9600577,-0.9337796,0.055471346,-0.00029806606,-0.7455146,-0.6838471,0.0616675
15,-0.8734967,-1.064706,"('boring', 'funny')",0.23735456,0.15394309,0.3485259,0.34045166,-0.0958721,-0.1901037,-0.0942316
16,-0.29003185,-0.4202649,"('unpopular', 'popular')",-0.09759574,-0.13694198,0.5276407,0.35429615,0.046671,-0.0676369,-0.1143079
17,-0.8872139,-0.80323815,"('nasty', 'nice')",-0.22271058,-0.17692775,-0.17958856,-0.14241007,-0.4298377,-0.374192,0.0556457
