,waste_male,waste_female,tuple,management_male,management_female,inc_male,inc_female,del_male,del_female,average_male,average_female,female-male
0,-0.5214821,-0.5746403,"('unsociable', 'sociable')",0.50709456,0.3646315,-0.32057935,-0.5249511,-0.6685529,-0.6854947,-0.2508799,-0.3551136,-0.1042337
1,1.0509278,0.9727034,"('unfriendly', 'friendly')",-0.57343966,-0.651627,0.7393449,0.5348328,2.5702615,2.4754517,0.9467736,0.8328402,-0.1139334
2,-0.65759015,-0.7146556,"('unlikable', 'likable')",1.076142,1.0190847,1.1576972,1.2077488,0.12495465,0.16443315,0.4253009,0.4191528,-0.0061481
3,-1.5205679,-1.4126625,"('repellent', 'pleasant')",0.06348899,0.11147279,-0.12587225,-0.1092761,0.9184424,1.0480077,-0.1661272,-0.0906145,0.0755127
4,-0.046456814,-0.092322394,"('disliked', 'liked')",-0.6132854,-0.5282067,1.0319602,1.0342181,-7.0228853,-7.093644,-1.6626668,-1.6699888,-0.007322
5,0.86507684,0.8518288,"('distant', 'outgoing')",-0.99430907,-0.90587944,0.6883785,0.63912284,0.6729737,0.56341004,0.30803,0.2871206,-0.0209094
6,0.6247555,0.5690229,"('distant', 'open')",-1.6234403,-1.5643812,0.36301604,0.30629054,1.3770988,1.2919528,0.1853575,0.1507213,-0.0346362
7,-0.47874552,-0.40982777,"('insensitive', 'sensitive')",0.91424114,0.9042585,-0.20647915,-0.22214827,0.61875135,0.637513,0.211942,0.2274489,0.0155069
8,0.2617386,0.20381106,"('unaffectionate', 'affectionate')",-0.7788649,-0.7414589,-0.03800272,-0.13351181,1.7358892,1.6124767,0.29519,0.2353293,-0.0598607
9,1.0478437,1.0325619,"('unaffectionate', 'caring')",0.26885483,0.28136563,0.16412535,0.097298406,1.646696,1.6469387,0.78188,0.7645411,-0.0173389
10,-1.0150372,-0.96072954,"('unsympathetic', 'sympathetic')",0.5297821,0.5169661,-0.9608497,-0.9940718,-0.9210721,-0.821798,-0.5917943,-0.5649083,0.026886
11,-0.8625535,-0.7962925,"('unhelpful', 'helpful')",1.0661997,1.0843551,0.40778208,0.48035237,0.24987453,0.33987892,0.2153257,0.2770735,0.0617478
12,0.39730293,0.41369373,"('unsupportive', 'supportive')",1.1416386,1.2641715,0.44303703,0.46555063,-1.8518033,-1.8688952,0.0325438,0.0686302,0.0360864
13,-0.54405355,-0.5210874,"('impolite', 'polite')",1.0237225,0.9609123,-0.03421309,-0.04449441,-0.7050986,-0.6528976,-0.0649107,-0.0643918,0.0005189
14,-0.62026906,-0.64027506,"('antisocial', 'social')",1.287395,1.2273571,-0.33043626,-0.34638238,-0.8741225,-0.8224908,-0.1343582,-0.1454478,-0.0110896
15,-0.9613595,-1.0153757,"('boring', 'funny')",-0.7830951,-0.7960677,0.40205923,0.3530353,0.08722482,-0.031209633,-0.3137926,-0.3724044,-0.0586118
16,-1.2917156,-1.3185283,"('unpopular', 'popular')",-0.7705945,-0.8259355,-0.13941777,-0.17917114,1.2765586,1.2737898,-0.2312923,-0.2624613,-0.031169
17,-1.2208107,-1.1933124,"('nasty', 'nice')",-0.6788516,-0.63293886,-0.6032642,-0.5873043,-1.2416414,-1.2934889,-0.936142,-0.9267612,0.0093808
