,centimeter_male,centimeter_female,tuple,average_male,average_female,female-male
0,-0.5469629,-0.6253258,"('unsociable', 'sociable')",-0.5469629,-0.6253258,-0.0783629
1,0.0950668,-0.17555049,"('unfriendly', 'friendly')",0.0950668,-0.1755505,-0.2706173
2,-0.096955255,-0.10926714,"('unlikable', 'likable')",-0.0969553,-0.1092671,-0.0123118
3,-0.24461408,-0.004123317,"('repellent', 'pleasant')",-0.2446141,-0.0041233,0.2404908
4,-3.5279396,-3.689669,"('disliked', 'liked')",-3.5279396,-3.6896689,-0.1617293
5,-1.3451612,-1.5253847,"('distant', 'outgoing')",-1.3451612,-1.5253847,-0.1802235
6,-1.4934697,-1.6605408,"('distant', 'open')",-1.4934697,-1.6605408,-0.1670711
7,0.40777922,0.63387454,"('insensitive', 'sensitive')",0.4077792,0.6338745,0.2260953
8,0.24133085,-0.053088944,"('unaffectionate', 'affectionate')",0.2413308,-0.0530889,-0.2944197
9,0.46026045,0.33201277,"('unaffectionate', 'caring')",0.4602605,0.3320128,-0.1282477
10,-0.32087728,-0.2054352,"('unsympathetic', 'sympathetic')",-0.3208773,-0.2054352,0.1154421
11,0.70776236,0.8990762,"('unhelpful', 'helpful')",0.7077624,0.8990762,0.1913138
12,-1.2129365,-1.1924133,"('unsupportive', 'supportive')",-1.2129365,-1.1924133,0.0205232
13,-0.57008964,-0.62802047,"('impolite', 'polite')",-0.5700896,-0.6280205,-0.0579309
14,-0.37562388,-0.30750328,"('antisocial', 'social')",-0.3756239,-0.3075033,0.0681206
15,0.4087416,0.18685985,"('boring', 'funny')",0.4087416,0.1868598,-0.2218818
16,-0.4774429,-0.44380024,"('unpopular', 'popular')",-0.4774429,-0.4438002,0.0336427
17,-0.0060515217,-0.051695164,"('nasty', 'nice')",-0.0060515,-0.0516952,-0.0456437
18,-0.5735563,-0.64337385,"('disagreeable', 'welcoming')",-0.5735563,-0.6433738,-0.0698175
19,-1.105355,-1.2603033,"('inhospitable', 'hospitable')",-1.105355,-1.2603033,-0.1549483
20,0.8787243,0.9506779,"('rough', 'thoughtful')",0.8787243,0.9506779,0.0719536
21,-0.15003651,-0.015747953,"('immoral', 'moral')",-0.1500365,-0.015748,0.1342885
22,-0.57888365,-0.4950054,"('untrustworthy', 'trustworthy')",-0.5788836,-0.4950054,0.0838782
23,3.3117714,3.473608,"('insincere', 'sincere')",3.3117714,3.473608,0.1618366
24,-0.1321873,-0.14273472,"('dishonest', 'honest')",-0.1321873,-0.1427347,-0.0105474
25,0.3508546,0.2779673,"('egoistic', 'altruistic')",0.3508546,0.2779673,-0.0728873
26,0.6545229,0.30856118,"('hardhearted', 'benevolent')",0.6545229,0.3085612,-0.3459617
27,1.0261061,1.0151247,"('hardhearted', 'softhearted')",1.0261061,1.0151247,-0.0109814
28,1.0425102,0.9681241,"('disloyal', 'loyal')",1.0425102,0.9681241,-0.0743861
29,-0.46117756,-0.46645716,"('unfair', 'fair')",-0.4611776,-0.4664572,-0.0052796
30,0.4076877,0.43681866,"('intolerant', 'tolerant')",0.4076877,0.4368187,0.029131
31,-0.9498859,-1.1127456,"('evil', 'good')",-0.9498859,-1.1127456,-0.1628597
32,0.14092499,0.005883678,"('unkind', 'kind')",0.140925,0.0058837,-0.1350413
33,-0.08340207,-0.20266378,"('wrong', 'right')",-0.0834021,-0.2026638,-0.1192617
34,2.1903267,2.3991158,"('mean', 'honorable')",2.1903267,2.3991158,0.2087891
35,0.046328384,-0.12609163,"('corrupt', 'incorrupt')",0.0463284,-0.1260916,-0.17242
36,-0.63115424,-0.8597794,"('hostile', 'amicable')",-0.6311542,-0.8597794,-0.2286252
37,0.715362,0.7708427,"('fake', 'genuine')",0.715362,0.7708427,0.0554807
38,0.036494195,0.016039226,"('untruthful', 'truthful')",0.0364942,0.0160392,-0.020455
39,0.8101865,0.87677133,"('exploitative', 'cooperative')",0.8101865,0.8767713,0.0665848
40,-0.62820375,-0.65145534,"('stingy', 'generous')",-0.6282037,-0.6514553,-0.0232516
41,0.24989864,0.077194355,"('unforgiving', 'forgiving')",0.2498986,0.0771944,-0.1727042
42,-2.0029445,-1.8188573,"('unreliable', 'reliable')",-2.0029445,-1.8188573,0.1840872
43,-0.44234788,-0.36928236,"('irresponsible', 'responsible')",-0.4423479,-0.3692824,0.0730655
44,-1.3695823,-1.3986889,"('prejudiced', 'unprejudiced')",-1.3695823,-1.3986889,-0.0291066
45,-0.53947836,-0.45658407,"('incompetent', 'competent')",-0.5394784,-0.4565841,0.0828943
46,-0.80897725,-0.5454473,"('uncompetitive', 'competitive')",-0.8089772,-0.5454473,0.2635299
47,2.007635,2.1605434,"('stupid', 'smart')",2.0076351,2.1605434,0.1529083
48,0.7990815,0.8461314,"('unintelligent', 'intelligent')",0.7990815,0.8461314,0.0470499
49,0.15790868,0.39001423,"('unable', 'able')",0.1579087,0.3900142,0.2321055
50,-0.00770453,0.10556653,"('clumsy', 'skillful')",-0.0077045,0.1055665,0.113271
51,-0.0898221,0.007621359,"('uneducated', 'educated')",-0.0898221,0.0076214,0.0974435
52,-0.8441879,-0.99715114,"('irrational', 'rational')",-0.8441879,-0.9971511,-0.1529632
53,-0.8126528,-0.833668,"('uncreative', 'creative')",-0.8126528,-0.833668,-0.0210152
54,-0.1687623,-0.19966918,"('incapable', 'capable')",-0.1687623,-0.1996692,-0.0309069
55,0.3487867,0.5281037,"('incompetent', 'clever')",0.3487867,0.5281037,0.179317
56,0.25876373,0.30963978,"('impractical', 'practical')",0.2587637,0.3096398,0.0508761
57,-2.213347,-2.2648056,"('unimaginative', 'imaginative')",-2.213347,-2.2648056,-0.0514586
58,0.4344259,0.391857,"('undiscriminating', 'discriminating')",0.4344259,0.391857,-0.0425689
59,-0.6078652,-0.57100904,"('foolish', 'wise')",-0.6078652,-0.571009,0.0368562
60,0.30273578,0.48408553,"('inefficient', 'efficient')",0.3027358,0.4840855,0.1813497
61,-0.2490819,-0.34074044,"('illogical', 'logical')",-0.2490819,-0.3407404,-0.0916585
62,0.2688256,0.5895395,"('incompetent', 'brilliant')",0.2688256,0.5895395,0.3207139
63,-0.22183755,-0.017379683,"('unperceptive', 'insightful')",-0.2218376,-0.0173797,0.2044579
64,-3.840971,-3.804738,"('shy', 'confident')",-3.840971,-3.804738,0.036233
65,0.21351513,0.40322158,"('insecure', 'secure')",0.2135151,0.4032216,0.1897065
66,-1.1499482,-1.1722484,"('inactive', 'active')",-1.1499482,-1.1722484,-0.0223002
67,-0.16177249,-0.31988227,"('doubtful', 'determined')",-0.1617725,-0.3198823,-0.1581098
68,-0.5715653,-0.43819666,"('dependent', 'independent')",-0.5715653,-0.4381967,0.1333686
