,whirlpool_male,whirlpool_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-1.8569617,-1.9653585,"('unsociable', 'sociable')",-0.07268468,-0.19767313,-0.9648232,-1.0815158,-0.1166926
1,-1.1703702,-1.2370106,"('unfriendly', 'friendly')",1.916223,1.7714928,0.3729264,0.2672411,-0.1056853
2,-0.60266894,-0.6072199,"('unlikable', 'likable')",0.4349156,0.43092632,-0.0838767,-0.0881468,-0.0042701
3,-1.2899556,-1.2598932,"('repellent', 'pleasant')",0.38200316,0.44338816,-0.4539762,-0.4082525,0.0457237
4,0.43104503,0.400366,"('disliked', 'liked')",-7.3124185,-7.5239744,-3.4406867,-3.5618043,-0.1211176
5,0.9248488,0.97115463,"('distant', 'outgoing')",-0.15321353,-0.25626916,0.3858176,0.3574427,-0.0283749
6,0.6067802,0.68234575,"('distant', 'open')",0.00493297,-0.10698703,0.3058566,0.2876794,-0.0181772
7,-1.6615884,-1.6865122,"('insensitive', 'sensitive')",0.3826532,0.40038404,-0.6394676,-0.6430641,-0.0035965
8,-0.45364738,-0.4578273,"('unaffectionate', 'affectionate')",1.2395327,1.1305192,0.3929427,0.3363459,-0.0565968
9,-1.0331843,-1.0472329,"('unaffectionate', 'caring')",1.452636,1.4383115,0.2097259,0.1955393,-0.0141866
10,-3.6081457,-3.6490061,"('unsympathetic', 'sympathetic')",-0.7065504,-0.6727005,-2.1573482,-2.1608534,-0.0035052
11,-2.0244014,-2.0129023,"('unhelpful', 'helpful')",1.40003,1.5454934,-0.3121857,-0.2337044,0.0784813
12,-2.027998,-1.9445704,"('unsupportive', 'supportive')",-2.1482663,-2.1592395,-2.0881321,-2.0519049,0.0362272
13,-2.1295907,-2.2013738,"('impolite', 'polite')",-1.1148728,-1.0407718,-1.6222317,-1.6210728,0.0011589
14,-1.197553,-1.3074385,"('antisocial', 'social')",-0.19224262,-0.25376096,-0.6948978,-0.7805997,-0.0857019
15,0.8647087,0.85647464,"('boring', 'funny')",0.07679778,0.031239983,0.4707533,0.4438573,-0.026896
16,0.36865062,0.4008985,"('unpopular', 'popular')",0.14513059,0.085349806,0.2568906,0.2431241,-0.0137665
17,-0.43883815,-0.35955018,"('nasty', 'nice')",-0.5483212,-0.48359963,-0.4935797,-0.4215749,0.0720048
18,-0.42806515,-0.39977753,"('disagreeable', 'welcoming')",-0.49610907,-0.59011316,-0.4620871,-0.4949453,-0.0328582
19,-0.612288,-0.4955681,"('inhospitable', 'hospitable')",-0.49123102,-0.47833136,-0.5517595,-0.4869497,0.0648098
20,-0.7487291,-0.751777,"('rough', 'thoughtful')",0.9873669,0.9879271,0.1193189,0.118075,-0.0012439
21,-1.7976108,-1.7926345,"('immoral', 'moral')",-0.7610826,-0.69150096,-1.2793467,-1.2420677,0.037279
22,-1.1078761,-1.1741301,"('untrustworthy', 'trustworthy')",-0.9160712,-0.9857046,-1.0119736,-1.0799173,-0.0679437
23,-1.9204909,-1.9822713,"('insincere', 'sincere')",6.0153604,6.106677,2.0474348,2.0622029,0.0147681
24,-1.9476072,-2.0087817,"('dishonest', 'honest')",0.5495918,0.5627867,-0.6990077,-0.7229975,-0.0239898
25,0.6265027,0.65469193,"('egoistic', 'altruistic')",1.5315925,1.5060529,1.0790476,1.0803723,0.0013247
26,0.3285811,0.25652048,"('hardhearted', 'benevolent')",1.8797051,1.8133079,1.1041431,1.0349141,-0.069229
27,0.10946483,0.12682067,"('hardhearted', 'softhearted')",1.263432,1.1570706,0.6864485,0.6419457,-0.0445028
28,-2.2400794,-2.3476954,"('disloyal', 'loyal')",1.2825491,1.209263,-0.4787651,-0.5692162,-0.0904511
29,0.23980066,0.1768201,"('unfair', 'fair')",-0.34102154,-0.51785433,-0.0506104,-0.1705171,-0.1199067
30,-1.5791786,-1.6373068,"('intolerant', 'tolerant')",0.87275285,0.8933494,-0.3532129,-0.3719787,-0.0187658
