,compuware_male,compuware_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-1.1113677,-1.1893522,"('unsociable', 'sociable')",-0.15431735,-0.32758003,-0.6328425,-0.7584661,-0.1256236
1,-0.20331143,-0.3460446,"('unfriendly', 'friendly')",1.4363008,1.3401259,0.6164947,0.4970407,-0.119454
2,0.5358936,0.5569774,"('unlikable', 'likable')",0.8696469,0.8304712,0.7027702,0.6937243,-0.0090459
3,-1.2320039,-1.123742,"('repellent', 'pleasant')",0.61840695,0.604324,-0.3067985,-0.259709,0.0470895
4,-0.011494841,-0.07626316,"('disliked', 'liked')",-6.523136,-6.649113,-3.2673154,-3.3626881,-0.0953727
5,0.14171182,0.12133745,"('distant', 'outgoing')",-0.57134575,-0.50132716,-0.214817,-0.1899949,0.0248221
6,0.10215813,0.08012992,"('distant', 'open')",-0.44922933,-0.39271122,-0.1735356,-0.1562907,0.0172449
7,-1.1596233,-1.0928055,"('insensitive', 'sensitive')",0.11374755,0.14656429,-0.5229378,-0.4731206,0.0498172
8,-0.2561,-0.33351886,"('unaffectionate', 'affectionate')",0.80013263,0.81672114,0.2720163,0.2416011,-0.0304152
9,-0.33799025,-0.4390697,"('unaffectionate', 'caring')",1.0862845,1.1173716,0.3741471,0.3391509,-0.0349962
10,-2.3053436,-2.2472396,"('unsympathetic', 'sympathetic')",-0.73054254,-0.7720921,-1.5179431,-1.5096658,0.0082773
11,-0.38014624,-0.34456837,"('unhelpful', 'helpful')",1.397687,1.4646828,0.5087703,0.5600572,0.0512869
12,-1.002248,-0.87419415,"('unsupportive', 'supportive')",-2.0441842,-2.0358448,-1.5232161,-1.4550195,0.0681966
13,-0.94625515,-0.934983,"('impolite', 'polite')",-1.1524847,-1.1817671,-1.0493699,-1.0583751,-0.0090052
14,-0.418294,-0.42033413,"('antisocial', 'social')",0.03511866,-0.14282015,-0.1915877,-0.2815771,-0.0899894
15,1.0425166,0.89321196,"('boring', 'funny')",-0.09326853,-0.15422876,0.474624,0.3694916,-0.1051324
16,0.046001665,0.050766073,"('unpopular', 'popular')",0.42992657,0.3544253,0.2379641,0.2025957,-0.0353684
17,-0.02181882,0.048566952,"('nasty', 'nice')",-0.71770215,-0.67406017,-0.3697605,-0.3127466,0.0570139
18,-0.5039942,-0.44016194,"('disagreeable', 'welcoming')",-0.4327976,-0.47676486,-0.4683959,-0.4584634,0.0099325
19,-0.6946831,-0.6786619,"('inhospitable', 'hospitable')",-0.5776451,-0.40410718,-0.6361641,-0.5413845,0.0947796
20,0.007381135,0.05853822,"('rough', 'thoughtful')",0.9020095,0.87482566,0.4546953,0.4666819,0.0119866
21,-0.7103962,-0.7780076,"('immoral', 'moral')",-0.47765198,-0.51910394,-0.5940241,-0.6485558,-0.0545317
22,-0.43653125,-0.48723397,"('untrustworthy', 'trustworthy')",-0.68369406,-0.8394569,-0.5601127,-0.6633455,-0.1032328
23,-0.8664005,-0.8972207,"('insincere', 'sincere')",5.3531194,5.282154,2.2433596,2.1924667,-0.0508929
24,-0.7339584,-0.7237486,"('dishonest', 'honest')",0.6482237,0.61876994,-0.0428674,-0.0524893,-0.0096219
25,0.16502711,0.08266247,"('egoistic', 'altruistic')",1.193986,1.215844,0.6795066,0.6492532,-0.0302534
26,0.41692752,0.3360731,"('hardhearted', 'benevolent')",1.954675,1.877947,1.1858013,1.10701,-0.0787913
27,-0.32520124,-0.27994734,"('hardhearted', 'softhearted')",1.0704476,1.0530291,0.3726231,0.3865409,0.0139178
28,-0.6258246,-0.77889884,"('disloyal', 'loyal')",1.027408,0.92630225,0.2007917,0.0737017,-0.12709
29,0.102833055,0.011012645,"('unfair', 'fair')",-0.029175652,-0.13552448,0.0368287,-0.0622559,-0.0990846
30,0.18279794,0.20200935,"('intolerant', 'tolerant')",0.7412332,0.64329565,0.4620156,0.4226525,-0.0393631
31,0.28866735,0.3343008,"('evil', 'good')",-0.65938675,-0.6762203,-0.1853597,-0.1709598,0.0143999
32,-0.73645246,-0.8056068,"('unkind', 'kind')",0.7145914,0.55248815,-0.0109305,-0.1265593,-0.1156288
33,0.6594495,0.5821442,"('wrong', 'right')",-0.47356686,-0.5115624,0.0929413,0.0352909,-0.0576504
34,-0.5818498,-0.35038564,"('mean', 'honorable')",5.050128,5.3361163,2.234139,2.4928653,0.2587263
35,0.891377,0.7263077,"('corrupt', 'incorrupt')",-0.28227958,-0.2953736,0.3045487,0.2154671,-0.0890816
36,0.29310298,0.16312699,"('hostile', 'amicable')",-0.018112276,-0.112099886,0.1374954,0.0255136,-0.1119818
37,-0.5660063,-0.50191814,"('fake', 'genuine')",0.017311268,0.06660641,-0.2743475,-0.2176559,0.0566916
38,-0.7584448,-0.7648632,"('untruthful', 'truthful')",-0.52018434,-0.46204108,-0.6393145,-0.6134521,0.0258624
39,1.3013693,1.290992,"('exploitative', 'cooperative')",0.37195256,0.38888204,0.8366609,0.839937,0.0032761
