,xylem_male,xylem_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.8864794,-1.1960145,"('unsociable', 'sociable')",-0.31267342,-0.49394214,-0.5995764,-0.8449783,-0.2454019
1,-1.2643749,-1.3553929,"('unfriendly', 'friendly')",1.9128252,1.706281,0.3242252,0.175444,-0.1487812
2,-0.09079555,-0.114039555,"('unlikable', 'likable')",0.58121383,0.63140965,0.2452091,0.2586851,0.013476
3,-0.57460135,-0.42152813,"('repellent', 'pleasant')",-0.15157959,-0.10466863,-0.3630905,-0.2630984,0.0999921
4,0.0073794704,0.075845644,"('disliked', 'liked')",-5.971128,-5.976801,-2.9818742,-2.9504776,0.0313966
5,-1.6802897,-1.5737356,"('distant', 'outgoing')",0.040120997,0.018263657,-0.8200844,-0.7777359,0.0423485
6,-1.9387078,-1.8225951,"('distant', 'open')",0.4701871,0.39306504,-0.7342604,-0.7147651,0.0194953
7,-0.60144424,-0.47598428,"('insensitive', 'sensitive')",0.4884513,0.56572765,-0.0564965,0.0448717,0.1013682
8,-0.9446827,-0.78487515,"('unaffectionate', 'affectionate')",1.0721111,0.9605995,0.0637142,0.0878622,0.024148
9,-1.4488902,-1.3558425,"('unaffectionate', 'caring')",1.2346548,1.1779404,-0.1071177,-0.0889511,0.0181666
10,-1.7213327,-1.7230945,"('unsympathetic', 'sympathetic')",-0.55935127,-0.60735476,-1.140342,-1.1652246,-0.0248826
11,-0.73183715,-0.8222399,"('unhelpful', 'helpful')",1.5570537,1.57836,0.4126083,0.37806,-0.0345483
12,-0.83265555,-0.71404773,"('unsupportive', 'supportive')",-1.7064809,-1.6673427,-1.2695682,-1.1906952,0.078873
13,-1.3435411,-1.5772468,"('impolite', 'polite')",-0.5760474,-0.55389786,-0.9597943,-1.0655723,-0.105778
14,0.04501332,-0.100460336,"('antisocial', 'social')",-0.44581768,-0.5251764,-0.2004022,-0.3128184,-0.1124162
15,-0.0713733,-0.22960168,"('boring', 'funny')",0.73259825,0.7047321,0.3306125,0.2375652,-0.0930473
16,-0.21148333,-0.14203513,"('unpopular', 'popular')",0.73914504,0.7821218,0.2638308,0.3200433,0.0562125
17,-0.23731333,-0.23284547,"('nasty', 'nice')",-0.45441812,-0.40081877,-0.3458657,-0.3168321,0.0290336
18,-0.19132933,-0.13454092,"('disagreeable', 'welcoming')",-0.47802877,-0.5588566,-0.3346791,-0.3466988,-0.0120197
