,anadarko_male,anadarko_female,tuple,petroleum_male,petroleum_female,corp_male,corp_female,average_male,average_female,female-male
0,-1.1937003,-1.2525048,"('unsociable', 'sociable')",1.0089742,0.8989684,0.09979862,-0.03669261,-0.0283092,-0.1300763,-0.1017671
1,-0.77952033,-0.8729767,"('unfriendly', 'friendly')",0.8028656,0.6600817,0.22629917,0.14058413,0.0832148,-0.0241036,-0.1073184
2,0.77940965,0.8654819,"('unlikable', 'likable')",1.5629445,1.5644825,0.87600774,0.9118767,1.0727874,1.113947,0.0411596
3,-0.46417585,-0.41639486,"('repellent', 'pleasant')",0.038903624,0.04268304,1.1453568,1.1629865,0.2400282,0.2630916,0.0230634
4,0.102617726,0.099788845,"('disliked', 'liked')",-0.29523453,-0.35755584,-6.1698246,-6.1329,-2.1208138,-2.1302225,-0.0094087
5,-0.12666738,-0.14348637,"('distant', 'outgoing')",-1.2998028,-1.2339988,-1.6498607,-1.5671855,-1.0254436,-0.9815569,0.0438867
6,-0.3301859,-0.34317854,"('distant', 'open')",-1.6593862,-1.6458293,-2.0262525,-1.987403,-1.3386081,-1.3254703,0.0131378
7,-0.37286058,-0.40151724,"('insensitive', 'sensitive')",1.1504831,1.1237139,0.5502289,0.49207634,0.4426172,0.4047577,-0.0378595
8,-0.4018764,-0.46976662,"('unaffectionate', 'affectionate')",-0.2192975,-0.25953552,-0.4237811,-0.4765713,-0.3483183,-0.4019578,-0.0536395
9,-0.74168515,-0.8157774,"('unaffectionate', 'caring')",0.16478239,0.10685361,0.22736168,0.18410791,-0.1165137,-0.1749386,-0.0584249
10,-1.1962298,-1.214239,"('unsympathetic', 'sympathetic')",0.18485579,0.08373728,-0.32446125,-0.39413598,-0.4452784,-0.5082126,-0.0629342
11,-0.7240557,-0.7274987,"('unhelpful', 'helpful')",0.99465823,0.9453683,2.075176,1.9895067,0.7819262,0.7357921,-0.0461341
12,-0.78968185,-0.77413946,"('unsupportive', 'supportive')",0.8764149,0.8602627,-1.7930409,-1.774203,-0.5687693,-0.5626932,0.0060761
13,-1.711854,-1.6943643,"('impolite', 'polite')",0.65848935,0.6799298,-0.41135788,-0.4604879,-0.4882408,-0.4916408,-0.0034
14,-0.76724494,-0.6933918,"('antisocial', 'social')",1.9920121,1.9976147,0.83833224,0.76624656,0.6876998,0.6901565,0.0024567
15,1.3524598,1.2650918,"('boring', 'funny')",0.30301198,0.2531774,0.38704807,0.31622404,0.6808399,0.6114977,-0.0693422
16,-0.1368654,-0.24370983,"('unpopular', 'popular')",-0.61791545,-0.7160171,0.47226715,0.36178255,-0.0941712,-0.1993148,-0.1051436
17,-0.14339043,-0.10489826,"('nasty', 'nice')",-1.0028305,-0.9700342,-0.0861244,-0.059833635,-0.4107818,-0.3782554,0.0325264
18,0.09123037,0.12575524,"('disagreeable', 'welcoming')",-0.3703245,-0.39176124,-1.2410085,-1.2826544,-0.5067009,-0.5162201,-0.0095192
19,-0.6450822,-0.6068362,"('inhospitable', 'hospitable')",-1.8957322,-1.8970913,-1.6277592,-1.557284,-1.3895245,-1.3537372,0.0357873
