,statistic_male,statistic_female,tuple,average_male,average_female,female-male
0,0.24248561,0.17837551,"('unsociable', 'sociable')",0.2424856,0.1783755,-0.0641101
1,1.4842371,1.0207696,"('unfriendly', 'friendly')",1.4842371,1.0207696,-0.4634675
2,0.55105114,0.6041056,"('unlikable', 'likable')",0.5510511,0.6041056,0.0530545
3,-0.8806968,-0.66234195,"('repellent', 'pleasant')",-0.8806968,-0.662342,0.2183548
4,-3.154372,-3.317133,"('disliked', 'liked')",-3.154372,-3.3171329,-0.1627609
5,-0.09509553,-0.34452158,"('distant', 'outgoing')",-0.0950955,-0.3445216,-0.2494261
6,-0.14352736,-0.44656622,"('distant', 'open')",-0.1435274,-0.4465662,-0.3030388
7,0.28164494,0.41356522,"('insensitive', 'sensitive')",0.2816449,0.4135652,0.1319203
8,0.86640346,0.5525214,"('unaffectionate', 'affectionate')",0.8664035,0.5525214,-0.3138821
9,0.7169095,0.52807933,"('unaffectionate', 'caring')",0.7169095,0.5280793,-0.1888302
10,-0.7701283,-0.62802106,"('unsympathetic', 'sympathetic')",-0.7701283,-0.6280211,0.1421072
11,0.10381928,0.27986318,"('unhelpful', 'helpful')",0.1038193,0.2798632,0.1760439
12,-0.63561326,-0.5104185,"('unsupportive', 'supportive')",-0.6356133,-0.5104185,0.1251948
13,-0.3281108,-0.17721634,"('impolite', 'polite')",-0.3281108,-0.1772163,0.1508945
14,0.24153371,0.49036852,"('antisocial', 'social')",0.2415337,0.4903685,0.2488348
15,0.7189371,0.5228699,"('boring', 'funny')",0.7189371,0.5228699,-0.1960672
16,-0.98373497,-1.1470478,"('unpopular', 'popular')",-0.983735,-1.1470478,-0.1633128
17,0.4403071,0.506217,"('nasty', 'nice')",0.4403071,0.506217,0.0659099
18,-0.1024381,-0.12989013,"('disagreeable', 'welcoming')",-0.1024381,-0.1298901,-0.027452
19,0.21434295,0.012087092,"('inhospitable', 'hospitable')",0.214343,0.0120871,-0.2022559
20,0.48948988,0.5046363,"('rough', 'thoughtful')",0.4894899,0.5046363,0.0151464
21,-0.16918272,0.22062597,"('immoral', 'moral')",-0.1691827,0.220626,0.3898087
22,-0.07211894,0.06343004,"('untrustworthy', 'trustworthy')",-0.0721189,0.06343,0.1355489
23,2.8920102,2.959885,"('insincere', 'sincere')",2.8920102,2.9598849,0.0678747
24,0.19566377,0.31224704,"('dishonest', 'honest')",0.1956638,0.312247,0.1165832
25,0.90491843,0.8037985,"('egoistic', 'altruistic')",0.9049184,0.8037985,-0.1011199
26,2.8212245,2.4832618,"('hardhearted', 'benevolent')",2.8212245,2.4832618,-0.3379627
27,0.78124726,0.6684969,"('hardhearted', 'softhearted')",0.7812473,0.6684969,-0.1127504
28,1.0577822,0.8749095,"('disloyal', 'loyal')",1.0577822,0.8749095,-0.1828727
29,-0.82619,-0.9016591,"('unfair', 'fair')",-0.82619,-0.9016591,-0.0754691
30,0.15161203,0.4098002,"('intolerant', 'tolerant')",0.151612,0.4098002,0.2581882
31,-0.60941607,-0.8213991,"('evil', 'good')",-0.6094161,-0.8213991,-0.211983
32,0.63331056,0.5636617,"('unkind', 'kind')",0.6333106,0.5636617,-0.0696489
33,0.5148975,0.41080132,"('wrong', 'right')",0.5148975,0.4108013,-0.1040962
