,mascara_male,mascara_female,tuple,average_male,average_female,female-male
0,0.05079417,-0.1728739,"('unsociable', 'sociable')",0.0507942,-0.1728739,-0.2236681
1,1.1005781,1.0986078,"('unfriendly', 'friendly')",1.1005781,1.0986078,-0.0019703
2,0.59499466,0.7281529,"('unlikable', 'likable')",0.5949947,0.7281529,0.1331582
3,0.88415325,0.91899437,"('repellent', 'pleasant')",0.8841532,0.9189944,0.0348412
4,-6.9546676,-7.029061,"('disliked', 'liked')",-6.9546676,-7.0290608,-0.0743932
5,-0.22809975,0.009281993,"('distant', 'outgoing')",-0.2280997,0.009282,0.2373817
6,0.017231643,0.26721072,"('distant', 'open')",0.0172316,0.2672107,0.2499791
7,0.44621605,0.59609735,"('insensitive', 'sensitive')",0.446216,0.5960974,0.1498814
8,0.8604419,0.96322536,"('unaffectionate', 'affectionate')",0.8604419,0.9632254,0.1027835
9,1.3484036,1.5139794,"('unaffectionate', 'caring')",1.3484036,1.5139794,0.1655758
10,1.3095385,1.3120928,"('unsympathetic', 'sympathetic')",1.3095385,1.3120928,0.0025543
11,1.9431237,1.977583,"('unhelpful', 'helpful')",1.9431237,1.9775831,0.0344594
12,-1.5791787,-1.588253,"('unsupportive', 'supportive')",-1.5791787,-1.588253,-0.0090743
13,0.47964573,0.38001987,"('impolite', 'polite')",0.4796457,0.3800199,-0.0996258
14,-0.17658977,-0.37115517,"('antisocial', 'social')",-0.1765898,-0.3711552,-0.1945654
15,0.30902636,0.24358481,"('boring', 'funny')",0.3090264,0.2435848,-0.0654416
16,-0.41684994,-0.31927466,"('unpopular', 'popular')",-0.4168499,-0.3192747,0.0975752
17,-0.109485045,-0.06191806,"('nasty', 'nice')",-0.109485,-0.0619181,0.0475669
18,-0.6636585,-0.7260123,"('disagreeable', 'welcoming')",-0.6636585,-0.7260123,-0.0623538
19,-0.5674536,-0.31731278,"('inhospitable', 'hospitable')",-0.5674536,-0.3173128,0.2501408
20,0.6499007,0.5628568,"('rough', 'thoughtful')",0.6499007,0.5628568,-0.0870439
21,0.18635252,0.22900306,"('immoral', 'moral')",0.1863525,0.2290031,0.0426506
22,-0.325446,-0.39781332,"('untrustworthy', 'trustworthy')",-0.325446,-0.3978133,-0.0723673
23,5.9448853,6.0162168,"('insincere', 'sincere')",5.9448853,6.0162168,0.0713315
24,1.5808891,1.6531947,"('dishonest', 'honest')",1.5808891,1.6531947,0.0723056
25,0.35567194,0.27017888,"('egoistic', 'altruistic')",0.3556719,0.2701789,-0.085493
26,0.21469474,0.12614883,"('hardhearted', 'benevolent')",0.2146947,0.1261488,-0.0885459
27,1.474965,1.4278466,"('hardhearted', 'softhearted')",1.474965,1.4278466,-0.0471184
28,1.2548223,1.2891465,"('disloyal', 'loyal')",1.2548223,1.2891465,0.0343242
29,-0.7511018,-0.8176267,"('unfair', 'fair')",-0.7511018,-0.8176267,-0.0665249
