,ambassador_male,ambassador_female,tuple,average_male,average_female,female-male
0,0.21454494,0.111889094,"('unsociable', 'sociable')",0.2145449,0.1118891,-0.1026558
1,1.1584729,1.1665311,"('unfriendly', 'friendly')",1.1584729,1.1665311,0.0080582
2,0.19540438,0.25855604,"('unlikable', 'likable')",0.1954044,0.258556,0.0631516
3,0.32534045,0.3807111,"('repellent', 'pleasant')",0.3253404,0.3807111,0.0553707
4,-7.9792914,-8.027647,"('disliked', 'liked')",-7.9792914,-8.027647,-0.0483556
5,-0.9256531,-0.9266608,"('distant', 'outgoing')",-0.9256531,-0.9266608,-0.0010077
6,-0.50812256,-0.46422428,"('distant', 'open')",-0.5081226,-0.4642243,0.0438983
7,1.1946923,1.3327792,"('insensitive', 'sensitive')",1.1946923,1.3327792,0.1380869
8,1.1938354,1.1425556,"('unaffectionate', 'affectionate')",1.1938354,1.1425556,-0.0512798
9,2.2089324,2.297859,"('unaffectionate', 'caring')",2.2089324,2.297859,0.0889266
10,1.2683443,1.3678685,"('unsympathetic', 'sympathetic')",1.2683443,1.3678685,0.0995242
11,2.7081244,2.8969314,"('unhelpful', 'helpful')",2.7081244,2.8969314,0.188807
12,-1.109222,-1.0471966,"('unsupportive', 'supportive')",-1.1092221,-1.0471966,0.0620255
13,0.21062398,0.11535551,"('impolite', 'polite')",0.210624,0.1153555,-0.0952685
14,-0.12929869,-0.25690648,"('antisocial', 'social')",-0.1292987,-0.2569065,-0.1276078
15,-0.10542524,-0.15778793,"('boring', 'funny')",-0.1054252,-0.1577879,-0.0523627
16,-0.5708672,-0.5935637,"('unpopular', 'popular')",-0.5708672,-0.5935637,-0.0226965
17,-0.24442892,-0.28177685,"('nasty', 'nice')",-0.2444289,-0.2817768,-0.0373479
18,-0.31646672,-0.39483893,"('disagreeable', 'welcoming')",-0.3164667,-0.3948389,-0.0783722
19,-0.71345186,-0.6130762,"('inhospitable', 'hospitable')",-0.7134519,-0.6130762,0.1003757
20,0.91638285,0.93118477,"('rough', 'thoughtful')",0.9163828,0.9311848,0.014802
21,-0.10668072,0.0038152672,"('immoral', 'moral')",-0.1066807,0.0038153,0.110496
22,-0.59522563,-0.5871208,"('untrustworthy', 'trustworthy')",-0.5952256,-0.5871208,0.0081048
23,7.4735317,7.5992007,"('insincere', 'sincere')",7.4735317,7.5992007,0.125669
24,1.920708,1.9194158,"('dishonest', 'honest')",1.9207079,1.9194158,-0.0012921
25,0.508925,0.419835,"('egoistic', 'altruistic')",0.508925,0.419835,-0.08909
26,0.78410935,0.6964236,"('hardhearted', 'benevolent')",0.7841094,0.6964236,-0.0876858
27,1.6049728,1.5256914,"('hardhearted', 'softhearted')",1.6049728,1.5256914,-0.0792814
28,2.013941,1.98224,"('disloyal', 'loyal')",2.013941,1.98224,-0.031701
29,-0.90162826,-1.0133008,"('unfair', 'fair')",-0.9016283,-1.0133008,-0.1116725
30,1.2875909,1.3059038,"('intolerant', 'tolerant')",1.2875909,1.3059038,0.0183129
31,-2.0027225,-2.0151076,"('evil', 'good')",-2.0027225,-2.0151076,-0.0123851
32,1.6904334,1.6370417,"('unkind', 'kind')",1.6904334,1.6370417,-0.0533917
33,-0.3572665,-0.4613517,"('wrong', 'right')",-0.3572665,-0.4613517,-0.1040852
34,5.649583,5.8754277,"('mean', 'honorable')",5.6495829,5.8754277,0.2258448
35,-0.76249015,-0.92311895,"('corrupt', 'incorrupt')",-0.7624902,-0.9231189,-0.1606287
36,-0.81025434,-0.8543497,"('hostile', 'amicable')",-0.8102543,-0.8543497,-0.0440954
37,0.75029325,0.76835036,"('fake', 'genuine')",0.7502933,0.7683504,0.0180571
38,0.85963506,1.0014386,"('untruthful', 'truthful')",0.8596351,1.0014386,0.1418035
39,0.4996387,0.48686793,"('exploitative', 'cooperative')",0.4996387,0.4868679,-0.0127708
40,-2.3927238,-2.5144756,"('stingy', 'generous')",-2.3927238,-2.5144756,-0.1217518
41,0.50931627,0.54095423,"('unforgiving', 'forgiving')",0.5093163,0.5409542,0.0316379
42,-2.9638236,-2.8959,"('unreliable', 'reliable')",-2.9638236,-2.8959,0.0679236
43,1.7104592,1.8368449,"('irresponsible', 'responsible')",1.7104592,1.8368449,0.1263857
