,foal_male,foal_female,tuple,average_male,average_female,female-male
0,-0.80220973,-0.98025054,"('unsociable', 'sociable')",-0.8022097,-0.9802505,-0.1780408
1,-0.94801486,-1.0553764,"('unfriendly', 'friendly')",-0.9480149,-1.0553764,-0.1073615
2,0.1943285,0.23753022,"('unlikable', 'likable')",0.1943285,0.2375302,0.0432017
3,-0.9623412,-0.8197181,"('repellent', 'pleasant')",-0.9623412,-0.8197181,0.1426231
4,-1.6354413,-1.7254043,"('disliked', 'liked')",-1.6354413,-1.7254043,-0.089963
5,-0.6536256,-0.6839498,"('distant', 'outgoing')",-0.6536256,-0.6839498,-0.0303242
6,-0.85440606,-0.8953903,"('distant', 'open')",-0.8544061,-0.8953903,-0.0409842
7,0.37371936,0.3752845,"('insensitive', 'sensitive')",0.3737194,0.3752845,0.0015651
8,0.77655196,0.681481,"('unaffectionate', 'affectionate')",0.776552,0.681481,-0.095071
9,-0.09795176,-0.14014344,"('unaffectionate', 'caring')",-0.0979518,-0.1401434,-0.0421916
10,-0.9988428,-1.094238,"('unsympathetic', 'sympathetic')",-0.9988428,-1.094238,-0.0953952
11,0.065634355,0.05569626,"('unhelpful', 'helpful')",0.0656344,0.0556963,-0.0099381
12,-0.58321774,-0.73406184,"('unsupportive', 'supportive')",-0.5832177,-0.7340618,-0.1508441
13,-0.18552846,-0.40932515,"('impolite', 'polite')",-0.1855285,-0.4093252,-0.2237967
14,0.022674255,-0.08997848,"('antisocial', 'social')",0.0226743,-0.0899785,-0.1126528
15,0.8850288,0.7661265,"('boring', 'funny')",0.8850288,0.7661265,-0.1189023
16,0.18967727,0.18868189,"('unpopular', 'popular')",0.1896773,0.1886819,-0.0009954
17,-0.49270242,-0.43750048,"('nasty', 'nice')",-0.4927024,-0.4375005,0.0552019
18,-0.44978428,-0.41430557,"('disagreeable', 'welcoming')",-0.4497843,-0.4143056,0.0354787
19,-0.3517316,-0.29469085,"('inhospitable', 'hospitable')",-0.3517316,-0.2946908,0.0570408
20,-0.57208985,-0.52901363,"('rough', 'thoughtful')",-0.5720899,-0.5290136,0.0430763
21,0.11384924,0.08848265,"('immoral', 'moral')",0.1138492,0.0884826,-0.0253666
22,0.049736217,-0.01684011,"('untrustworthy', 'trustworthy')",0.0497362,-0.0168401,-0.0665763
23,1.5886724,1.5398037,"('insincere', 'sincere')",1.5886724,1.5398037,-0.0488687
24,-0.119306125,-0.18040317,"('dishonest', 'honest')",-0.1193061,-0.1804032,-0.0610971
25,0.5919748,0.55847895,"('egoistic', 'altruistic')",0.5919748,0.558479,-0.0334958
26,0.6392813,0.4881706,"('hardhearted', 'benevolent')",0.6392813,0.4881706,-0.1511107
27,0.4191459,0.47209883,"('hardhearted', 'softhearted')",0.4191459,0.4720988,0.0529529
28,-0.10307258,-0.1354454,"('disloyal', 'loyal')",-0.1030726,-0.1354454,-0.0323728
29,-0.3481399,-0.4325471,"('unfair', 'fair')",-0.3481399,-0.4325471,-0.0844072
30,-0.32639614,-0.4459094,"('intolerant', 'tolerant')",-0.3263961,-0.4459094,-0.1195133
31,-0.92505664,-0.85584444,"('evil', 'good')",-0.9250566,-0.8558444,0.0692122
32,0.14656934,0.01183158,"('unkind', 'kind')",0.1465693,0.0118316,-0.1347377
33,0.67796046,0.5929949,"('wrong', 'right')",0.6779605,0.5929949,-0.0849656
34,1.5481693,1.6797695,"('mean', 'honorable')",1.5481693,1.6797695,0.1316002
35,-0.34872782,-0.27632684,"('corrupt', 'incorrupt')",-0.3487278,-0.2763268,0.072401
36,-0.13399026,0.018335873,"('hostile', 'amicable')",-0.1339903,0.0183359,0.1523262
