,cemetery_male,cemetery_female,tuple,average_male,average_female,female-male
0,1.1844581,1.0707548,"('unsociable', 'sociable')",1.1844581,1.0707548,-0.1137033
1,1.2719162,1.2061222,"('unfriendly', 'friendly')",1.2719162,1.2061222,-0.065794
2,0.4355265,0.6275485,"('unlikable', 'likable')",0.4355265,0.6275485,0.192022
3,0.40764076,0.53759974,"('repellent', 'pleasant')",0.4076408,0.5375997,0.1299589
4,-5.438382,-5.817259,"('disliked', 'liked')",-5.4383821,-5.8172588,-0.3788767
5,-1.6797484,-1.6058464,"('distant', 'outgoing')",-1.6797484,-1.6058464,0.073902
6,-1.2518849,-1.2099831,"('distant', 'open')",-1.2518849,-1.2099831,0.0419018
7,1.704177,1.7497203,"('insensitive', 'sensitive')",1.704177,1.7497203,0.0455433
8,0.36584693,0.23905598,"('unaffectionate', 'affectionate')",0.3658469,0.239056,-0.1267909
9,1.3790627,1.4102252,"('unaffectionate', 'caring')",1.3790627,1.4102252,0.0311625
10,0.9322882,1.0497893,"('unsympathetic', 'sympathetic')",0.9322882,1.0497893,0.1175011
11,1.5091424,1.6065416,"('unhelpful', 'helpful')",1.5091424,1.6065416,0.0973992
12,-0.6532506,-0.6706476,"('unsupportive', 'supportive')",-0.6532506,-0.6706476,-0.017397
13,0.88120574,0.9102228,"('impolite', 'polite')",0.8812057,0.9102228,0.0290171
14,1.2654067,1.1638206,"('antisocial', 'social')",1.2654067,1.1638206,-0.1015861
15,0.31911194,0.1905289,"('boring', 'funny')",0.3191119,0.1905289,-0.128583
16,0.014706522,-0.13061635,"('unpopular', 'popular')",0.0147065,-0.1306164,-0.1453229
17,-0.4826076,-0.53366876,"('nasty', 'nice')",-0.4826076,-0.5336688,-0.0510612
18,-0.20022272,-0.14724946,"('disagreeable', 'welcoming')",-0.2002227,-0.1472495,0.0529732
19,-1.1198305,-1.0776165,"('inhospitable', 'hospitable')",-1.1198305,-1.0776165,0.042214
20,0.75168985,0.7552466,"('rough', 'thoughtful')",0.7516899,0.7552466,0.0035567
21,0.5982057,0.79550755,"('immoral', 'moral')",0.5982057,0.7955076,0.1973019
22,0.6390047,0.6010312,"('untrustworthy', 'trustworthy')",0.6390047,0.6010312,-0.0379735
23,5.3721256,5.658484,"('insincere', 'sincere')",5.3721256,5.658484,0.2863584
24,1.7762375,1.8641016,"('dishonest', 'honest')",1.7762375,1.8641016,0.0878641
25,0.85148484,0.8561144,"('egoistic', 'altruistic')",0.8514848,0.8561144,0.0046296
26,2.649628,2.3287508,"('hardhearted', 'benevolent')",2.6496279,2.3287508,-0.3208771
27,0.6780836,0.7171473,"('hardhearted', 'softhearted')",0.6780836,0.7171473,0.0390637
28,1.248022,1.1693634,"('disloyal', 'loyal')",1.248022,1.1693634,-0.0786586
29,-0.81839836,-0.86407155,"('unfair', 'fair')",-0.8183984,-0.8640715,-0.0456731
30,1.2207817,1.3183649,"('intolerant', 'tolerant')",1.2207817,1.3183649,0.0975832
31,-1.9929826,-2.084994,"('evil', 'good')",-1.9929826,-2.0849941,-0.0920115
32,1.6347822,1.5297664,"('unkind', 'kind')",1.6347822,1.5297664,-0.1050158
33,0.041860655,-0.03248539,"('wrong', 'right')",0.0418607,-0.0324854,-0.0743461
34,4.252622,4.6360745,"('mean', 'honorable')",4.2526221,4.6360745,0.3834524
35,-1.2001505,-1.4680251,"('corrupt', 'incorrupt')",-1.2001505,-1.4680251,-0.2678746
36,-1.1639193,-1.281367,"('hostile', 'amicable')",-1.1639193,-1.2813669,-0.1174476
37,0.13999599,0.2548058,"('fake', 'genuine')",0.139996,0.2548058,0.1148098
38,0.6847498,0.6426225,"('untruthful', 'truthful')",0.6847498,0.6426225,-0.0421273
39,0.66095036,0.7882439,"('exploitative', 'cooperative')",0.6609504,0.7882439,0.1272935
40,-0.72179633,-0.89248246,"('stingy', 'generous')",-0.7217963,-0.8924825,-0.1706862
41,0.8763989,0.85356563,"('unforgiving', 'forgiving')",0.8763989,0.8535656,-0.0228333
42,-2.05084,-2.017923,"('unreliable', 'reliable')",-2.0508399,-2.0179231,0.0329168
43,1.2868288,1.452942,"('irresponsible', 'responsible')",1.2868288,1.452942,0.1661132
44,-1.4477543,-1.3961624,"('prejudiced', 'unprejudiced')",-1.4477543,-1.3961624,0.0515919
45,1.2618866,1.2977916,"('incompetent', 'competent')",1.2618866,1.2977916,0.035905
46,-0.27452832,-0.12810129,"('uncompetitive', 'competitive')",-0.2745283,-0.1281013,0.146427
47,4.598883,4.898431,"('stupid', 'smart')",4.5988832,4.8984308,0.2995476
48,1.2060641,1.2902845,"('unintelligent', 'intelligent')",1.2060641,1.2902845,0.0842204
49,-0.4452783,-0.30659178,"('unable', 'able')",-0.4452783,-0.3065918,0.1386865
50,-0.9988565,-0.9904851,"('clumsy', 'skillful')",-0.9988565,-0.9904851,0.0083714
51,0.17738032,0.28437853,"('uneducated', 'educated')",0.1773803,0.2843785,0.1069982
52,-0.72347605,-0.8490722,"('irrational', 'rational')",-0.7234761,-0.8490722,-0.1255961
53,0.16862917,0.12337166,"('uncreative', 'creative')",0.1686292,0.1233717,-0.0452575
54,0.15790021,0.2726542,"('incapable', 'capable')",0.1579002,0.2726542,0.114754
55,1.5259413,1.670684,"('incompetent', 'clever')",1.5259413,1.670684,0.1447427
56,1.4829379,1.5732534,"('impractical', 'practical')",1.4829379,1.5732534,0.0903155
57,-1.3846239,-1.4435831,"('unimaginative', 'imaginative')",-1.3846239,-1.4435831,-0.0589592
58,0.06466008,0.116574995,"('undiscriminating', 'discriminating')",0.0646601,0.116575,0.0519149
59,-0.2424947,-0.35344997,"('foolish', 'wise')",-0.2424947,-0.35345,-0.1109553
60,1.134062,1.4865228,"('inefficient', 'efficient')",1.1340621,1.4865228,0.3524607
61,0.4419452,0.32261303,"('illogical', 'logical')",0.4419452,0.322613,-0.1193322
