,pigeon_male,pigeon_female,tuple,average_male,average_female,female-male
0,0.49859697,0.3637892,"('unsociable', 'sociable')",0.498597,0.3637892,-0.1348078
1,0.8024159,0.78300154,"('unfriendly', 'friendly')",0.8024159,0.7830015,-0.0194144
2,-0.034885038,0.090180695,"('unlikable', 'likable')",-0.034885,0.0901807,0.1250657
3,0.8675986,0.99595106,"('repellent', 'pleasant')",0.8675986,0.9959511,0.1283525
4,-7.1684217,-7.39287,"('disliked', 'liked')",-7.1684217,-7.3928699,-0.2244482
5,-0.6762361,-0.6922535,"('distant', 'outgoing')",-0.6762361,-0.6922535,-0.0160174
6,-0.21909912,-0.33389777,"('distant', 'open')",-0.2190991,-0.3338978,-0.1147987
7,1.3691573,1.404315,"('insensitive', 'sensitive')",1.3691573,1.404315,0.0351577
8,0.73123145,0.67026764,"('unaffectionate', 'affectionate')",0.7312315,0.6702676,-0.0609639
9,0.98461974,1.0323641,"('unaffectionate', 'caring')",0.9846197,1.0323641,0.0477444
10,1.265333,1.3145167,"('unsympathetic', 'sympathetic')",1.2653331,1.3145167,0.0491836
11,1.5660352,1.6427516,"('unhelpful', 'helpful')",1.5660352,1.6427516,0.0767164
12,-1.4230852,-1.4353424,"('unsupportive', 'supportive')",-1.4230852,-1.4353424,-0.0122572
13,0.08039981,0.25887114,"('impolite', 'polite')",0.0803998,0.2588711,0.1784713
14,0.54009414,0.5307856,"('antisocial', 'social')",0.5400941,0.5307856,-0.0093085
15,0.43134448,0.36313647,"('boring', 'funny')",0.4313445,0.3631365,-0.068208
16,-0.7644093,-0.8169997,"('unpopular', 'popular')",-0.7644093,-0.8169997,-0.0525904
17,0.14075674,0.12121294,"('nasty', 'nice')",0.1407567,0.1212129,-0.0195438
18,-0.5712728,-0.4944346,"('disagreeable', 'welcoming')",-0.5712728,-0.4944346,0.0768382
19,-0.875195,-0.8410405,"('inhospitable', 'hospitable')",-0.875195,-0.8410405,0.0341545
20,0.54958457,0.45207602,"('rough', 'thoughtful')",0.5495846,0.452076,-0.0975086
21,0.047402874,0.27621475,"('immoral', 'moral')",0.0474029,0.2762147,0.2288118
22,0.14095011,0.13341074,"('untrustworthy', 'trustworthy')",0.1409501,0.1334107,-0.0075394
23,5.950204,6.1956005,"('insincere', 'sincere')",5.9502039,6.1956005,0.2453966
24,1.3389833,1.394482,"('dishonest', 'honest')",1.3389833,1.394482,0.0554987
25,0.6114496,0.6416751,"('egoistic', 'altruistic')",0.6114496,0.6416751,0.0302255
26,1.1636164,0.95887715,"('hardhearted', 'benevolent')",1.1636164,0.9588771,-0.2047393
27,1.6112971,1.4490982,"('hardhearted', 'softhearted')",1.6112971,1.4490982,-0.1621989
28,1.3309026,1.148464,"('disloyal', 'loyal')",1.3309026,1.148464,-0.1824386
29,-0.29539216,-0.4483878,"('unfair', 'fair')",-0.2953922,-0.4483878,-0.1529956
30,0.8835863,0.99120474,"('intolerant', 'tolerant')",0.8835863,0.9912047,0.1076184
31,-1.3039768,-1.4353464,"('evil', 'good')",-1.3039768,-1.4353464,-0.1313696
32,1.0995578,1.0068685,"('unkind', 'kind')",1.0995578,1.0068685,-0.0926893
33,-0.4200293,-0.46353728,"('wrong', 'right')",-0.4200293,-0.4635373,-0.043508
34,3.992371,4.299595,"('mean', 'honorable')",3.9923711,4.2995949,0.3072238
35,-1.0664765,-1.4007957,"('corrupt', 'incorrupt')",-1.0664765,-1.4007957,-0.3343192
36,-0.864228,-1.0679731,"('hostile', 'amicable')",-0.864228,-1.0679731,-0.2037451
37,0.9741434,0.9485927,"('fake', 'genuine')",0.9741434,0.9485927,-0.0255507
38,-0.5875011,-0.43156624,"('untruthful', 'truthful')",-0.5875011,-0.4315662,0.1559349
39,0.4323911,0.51122546,"('exploitative', 'cooperative')",0.4323911,0.5112255,0.0788344
40,-1.1380805,-1.2511609,"('stingy', 'generous')",-1.1380805,-1.2511609,-0.1130804
41,0.6977523,0.5494237,"('unforgiving', 'forgiving')",0.6977523,0.5494237,-0.1483286
42,-1.7356932,-1.8283947,"('unreliable', 'reliable')",-1.7356932,-1.8283947,-0.0927015
43,0.97462565,1.1600296,"('irresponsible', 'responsible')",0.9746256,1.1600296,0.185404
44,-1.0091743,-1.0326134,"('prejudiced', 'unprejudiced')",-1.0091743,-1.0326134,-0.0234391
45,0.63937885,0.40720567,"('incompetent', 'competent')",0.6393788,0.4072057,-0.2321731
46,-0.28859314,-0.2963281,"('uncompetitive', 'competitive')",-0.2885931,-0.2963281,-0.007735
47,4.588081,4.7766833,"('stupid', 'smart')",4.5880809,4.7766833,0.1886024
48,0.2721464,0.32965004,"('unintelligent', 'intelligent')",0.2721464,0.32965,0.0575036
49,-0.44361326,-0.32511586,"('unable', 'able')",-0.4436133,-0.3251159,0.1184974
50,-0.35271975,-0.39829797,"('clumsy', 'skillful')",-0.3527198,-0.398298,-0.0455782
51,0.59799445,0.63465595,"('uneducated', 'educated')",0.5979944,0.634656,0.0366616
