,footstep_male,footstep_female,tuple,average_male,average_female,female-male
0,-0.3494509,-0.42245176,"('unsociable', 'sociable')",-0.3494509,-0.4224518,-0.0730009
1,0.35348094,0.21861474,"('unfriendly', 'friendly')",0.3534809,0.2186147,-0.1348662
2,-0.67698395,-0.6728874,"('unlikable', 'likable')",-0.676984,-0.6728874,0.0040966
3,-0.4703816,-0.32848844,"('repellent', 'pleasant')",-0.4703816,-0.3284884,0.1418932
4,-1.0662806,-1.017934,"('disliked', 'liked')",-1.0662806,-1.017934,0.0483466
5,0.50374246,0.5570936,"('distant', 'outgoing')",0.5037425,0.5570936,0.0533511
6,0.39982334,0.39661467,"('distant', 'open')",0.3998233,0.3966147,-0.0032086
7,-0.08452753,-0.10641959,"('insensitive', 'sensitive')",-0.0845275,-0.1064196,-0.0218921
8,-0.6449013,-0.7717061,"('unaffectionate', 'affectionate')",-0.6449013,-0.7717061,-0.1268048
9,-0.54192364,-0.6786102,"('unaffectionate', 'caring')",-0.5419236,-0.6786102,-0.1366866
10,-1.3212359,-1.3808062,"('unsympathetic', 'sympathetic')",-1.3212359,-1.3808062,-0.0595703
11,-0.3135283,-0.326487,"('unhelpful', 'helpful')",-0.3135283,-0.326487,-0.0129587
12,-1.288134,-1.2734846,"('unsupportive', 'supportive')",-1.288134,-1.2734846,0.0146494
13,0.37867853,0.3594965,"('impolite', 'polite')",0.3786785,0.3594965,-0.019182
14,-0.22584856,-0.19644168,"('antisocial', 'social')",-0.2258486,-0.1964417,0.0294069
15,0.15647319,0.16413164,"('boring', 'funny')",0.1564732,0.1641316,0.0076584
16,0.07161039,0.10111535,"('unpopular', 'popular')",0.0716104,0.1011154,0.029505
17,-0.15552957,0.026678137,"('nasty', 'nice')",-0.1555296,0.0266781,0.1822077
18,-0.9255761,-0.95912194,"('disagreeable', 'welcoming')",-0.9255761,-0.9591219,-0.0335458
19,-0.7837072,-0.6859334,"('inhospitable', 'hospitable')",-0.7837072,-0.6859334,0.0977738
20,-0.5465953,-0.49342626,"('rough', 'thoughtful')",-0.5465953,-0.4934263,0.053169
21,-0.07467254,-0.017077938,"('immoral', 'moral')",-0.0746725,-0.0170779,0.0575946
22,-0.32449362,-0.43853208,"('untrustworthy', 'trustworthy')",-0.3244936,-0.4385321,-0.1140385
23,0.53272974,0.4616378,"('insincere', 'sincere')",0.5327297,0.4616378,-0.0710919
24,-0.035629597,-0.1852343,"('dishonest', 'honest')",-0.0356296,-0.1852343,-0.1496047
25,0.79292834,0.7067417,"('egoistic', 'altruistic')",0.7929283,0.7067417,-0.0861866
26,0.3091274,0.17654163,"('hardhearted', 'benevolent')",0.3091274,0.1765416,-0.1325858
27,0.5483677,0.4730176,"('hardhearted', 'softhearted')",0.5483677,0.4730176,-0.0753501
28,-0.26891533,-0.41588616,"('disloyal', 'loyal')",-0.2689153,-0.4158862,-0.1469709
29,-0.30069798,-0.33914867,"('unfair', 'fair')",-0.300698,-0.3391487,-0.0384507
30,-0.48731384,-0.4313849,"('intolerant', 'tolerant')",-0.4873138,-0.4313849,0.0559289
31,-0.4750532,-0.38776654,"('evil', 'good')",-0.4750532,-0.3877665,0.0872867
32,0.5834595,0.47165927,"('unkind', 'kind')",0.5834595,0.4716593,-0.1118002
33,0.5922717,0.55167425,"('wrong', 'right')",0.5922717,0.5516742,-0.0405975
34,1.3479785,1.4673295,"('mean', 'honorable')",1.3479785,1.4673295,0.119351
35,1.1484141,1.1107577,"('corrupt', 'incorrupt')",1.1484141,1.1107577,-0.0376564
36,0.8170182,0.75855184,"('hostile', 'amicable')",0.8170182,0.7585518,-0.0584664
37,0.3453673,0.35416448,"('fake', 'genuine')",0.3453673,0.3541645,0.0087972
38,0.12665167,0.067963645,"('untruthful', 'truthful')",0.1266517,0.0679636,-0.0586881
39,-0.25072205,-0.19998838,"('exploitative', 'cooperative')",-0.2507221,-0.1999884,0.0507337
40,-1.7425319,-1.7507225,"('stingy', 'generous')",-1.7425319,-1.7507225,-0.0081906
41,-0.5098969,-0.50979364,"('unforgiving', 'forgiving')",-0.5098969,-0.5097936,0.0001033
42,-0.44420898,-0.40756097,"('unreliable', 'reliable')",-0.444209,-0.407561,0.036648
43,-0.2409965,-0.291188,"('irresponsible', 'responsible')",-0.2409965,-0.291188,-0.0501915
44,0.16492075,0.29869902,"('prejudiced', 'unprejudiced')",0.1649207,0.298699,0.1337783
45,-0.3133007,-0.3099601,"('incompetent', 'competent')",-0.3133007,-0.3099601,0.0033406
46,-0.6245415,-0.6454093,"('uncompetitive', 'competitive')",-0.6245415,-0.6454093,-0.0208678
47,2.1825554,2.142226,"('stupid', 'smart')",2.1825554,2.142226,-0.0403294
