,ford_male,ford_female,tuple,motor_male,motor_female,co_male,co_female,del_male,del_female,average_male,average_female,female-male
0,-1.1807644,-1.2380931,"('unsociable', 'sociable')",-1.2096779,-1.209771,0.08670372,-0.05321217,-0.28102592,-0.2654294,-0.6461911,-0.6916264,-0.0454353
1,1.0005325,1.0886648,"('unfriendly', 'friendly')",1.3818396,1.3568405,0.6142012,0.44295818,1.6924633,1.6962339,1.1722592,1.1461743,-0.0260849
2,0.7257848,0.8259679,"('unlikable', 'likable')",1.0909301,1.1919184,1.732182,1.8446834,0.62645286,0.67866445,1.0438374,1.1353085,0.0914711
3,-0.9370033,-0.71585345,"('repellent', 'pleasant')",-1.1519489,-0.9072964,-0.0787744,-0.010340439,0.50831574,0.6100139,-0.4148527,-0.2558691,0.1589836
4,-0.1558881,-0.28310737,"('disliked', 'liked')",1.0839094,0.99020594,0.3587295,0.09120013,-6.9575515,-7.0677457,-1.4177002,-1.5673617,-0.1496615
5,0.8763758,0.9152105,"('distant', 'outgoing')",1.7107916,1.6116642,0.3987151,0.25821283,0.405385,0.30607945,0.8478168,0.7727917,-0.0750251
6,0.43215573,0.55345607,"('distant', 'open')",1.7139163,1.6101252,0.0135893375,-0.04352662,0.908989,0.9176745,0.7671626,0.7594323,-0.0077303
7,-0.14200485,-0.09372778,"('insensitive', 'sensitive')",-1.0038759,-0.9064944,-0.9660237,-0.93208826,0.45088527,0.609066,-0.4152548,-0.3308111,0.0844437
8,1.6411455,1.6472338,"('unaffectionate', 'affectionate')",1.4991741,1.4191883,0.020425677,0.06544648,1.4419457,1.4471899,1.1506727,1.1447645,-0.0059082
9,1.3365756,1.3802902,"('unaffectionate', 'caring')",1.4213175,1.3398077,0.012730852,-0.08407372,1.8727003,1.9045411,1.1608311,1.1351414,-0.0256897
10,-0.7707071,-0.736882,"('unsympathetic', 'sympathetic')",-2.0947888,-1.9785763,-1.2300174,-1.2734914,-0.06476727,0.09400937,-1.0400702,-0.9737351,0.0663351
11,-0.16966014,-0.22645137,"('unhelpful', 'helpful')",-0.54679084,-0.49008846,-0.1358153,-0.17617539,1.0021353,1.0474354,0.0374672,0.03868,0.0012128
12,0.5236793,0.6467989,"('unsupportive', 'supportive')",-0.58986104,-0.37553477,-0.88420224,-0.75282294,-1.8313851,-1.7040948,-0.6954423,-0.5464134,0.1490289
13,-0.58505934,-0.7381398,"('impolite', 'polite')",-1.1537044,-1.1144509,-0.5499052,-0.59841317,-0.45417625,-0.4655954,-0.6857113,-0.7291499,-0.0434386
14,-0.4855733,-0.61407167,"('antisocial', 'social')",-1.5316199,-1.5825126,0.7555897,0.61781573,-0.004283595,-0.07286878,-0.3164718,-0.4129093,-0.0964375
15,0.7117483,0.46268448,"('boring', 'funny')",0.88926053,0.5939906,0.63587207,0.56975883,0.51138216,0.38657716,0.6870658,0.5032527,-0.1838131
16,-0.5878325,-0.47561738,"('unpopular', 'popular')",0.6360129,0.74966335,-0.2130875,-0.051427647,0.6091334,0.7088274,0.1110566,0.2328614,0.1218048
17,-0.27956787,-0.20068137,"('nasty', 'nice')",-0.384324,-0.35926467,-0.5111551,-0.39135322,-0.797936,-0.8649777,-0.4932458,-0.4540693,0.0391765
18,-0.3678944,-0.12486047,"('disagreeable', 'welcoming')",0.17781775,0.3332403,-0.77415645,-0.5592459,-0.2948216,-0.22964285,-0.3147637,-0.1451272,0.1696365
19,-0.13059933,0.011481531,"('inhospitable', 'hospitable')",0.83809274,0.8738874,-0.22484481,-0.17445359,-0.23168221,-0.1854224,0.0627416,0.1313732,0.0686316
