,waste_male,waste_female,tuple,management_male,management_female,inc_male,inc_female,del_male,del_female,average_male,average_female,female-male
0,-0.3543427,-0.4306429,"('unsociable', 'sociable')",0.73679817,0.6394433,-0.5047693,-0.7707081,-1.0857095,-1.0674615,-0.3020058,-0.4073423,-0.1053365
1,1.2588711,1.2143753,"('unfriendly', 'friendly')",-0.44693786,-0.48282236,0.9087861,0.7740929,2.8154933,2.8434,1.1340532,1.0872614,-0.0467918
2,-0.6564441,-0.70351386,"('unlikable', 'likable')",0.955028,0.90103835,0.8663337,0.92998546,0.18357196,0.24226117,0.3371224,0.3424428,0.0053204
3,-1.3160273,-1.2674196,"('repellent', 'pleasant')",0.46740356,0.50099504,0.11193822,0.06432128,0.82171124,0.9904441,0.0212564,0.0720852,0.0508288
4,-0.09475826,-0.117512785,"('disliked', 'liked')",-0.9821692,-0.87610066,0.9410268,1.0034914,-6.5183454,-6.53814,-1.6635615,-1.6320654,0.0314961
5,0.6661969,0.7157903,"('distant', 'outgoing')",-1.1306702,-0.99521315,0.73907566,0.809119,0.9621205,0.9214047,0.3091807,0.3627752,0.0535945
6,0.33789754,0.35169405,"('distant', 'open')",-1.872973,-1.7621832,0.3380136,0.42549118,1.8080693,1.8532163,0.1527519,0.2170546,0.0643027
7,-0.21388789,-0.19043666,"('insensitive', 'sensitive')",1.3379055,1.324883,-0.29265213,-0.27586678,0.6364096,0.7632937,0.3669438,0.4054683,0.0385245
8,0.2505272,0.2198433,"('unaffectionate', 'affectionate')",-0.9236206,-0.8645208,0.057311244,0.07971744,2.1012166,2.0908372,0.3713586,0.3814693,0.0101107
9,1.0303525,1.0255176,"('unaffectionate', 'caring')",0.3637937,0.40655655,-0.0057513677,0.010991901,1.7844914,1.8204205,0.7932216,0.8158716,0.02265
10,-0.84300566,-0.8650768,"('unsympathetic', 'sympathetic')",0.98501927,0.9610725,-1.0572267,-1.1071874,-1.1372261,-1.0332357,-0.5131098,-0.5111068,0.002003
