,nvr_male,nvr_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.27900854,0.09620271,"('unsociable', 'sociable')",0.37889534,0.15506154,0.328952,0.1256321,-0.2033199
1,-1.4612738,-1.5188318,"('unfriendly', 'friendly')",1.1570953,0.9536461,-0.1520892,-0.2825929,-0.1305037
2,0.37766898,0.40484554,"('unlikable', 'likable')",0.76291007,0.8116244,0.5702895,0.608235,0.0379455
3,0.4094213,0.5048953,"('repellent', 'pleasant')",0.55490315,0.584426,0.4821622,0.5446607,0.0624985
4,-0.6573836,-0.69300234,"('disliked', 'liked')",-5.959881,-6.0466456,-3.3086321,-3.3698239,-0.0611918
5,-1.7062643,-1.5978881,"('distant', 'outgoing')",-0.7463102,-0.72764206,-1.2262872,-1.162765,0.0635222
6,-1.9040508,-1.7938861,"('distant', 'open')",-0.52317667,-0.53491825,-1.2136137,-1.1644021,0.0492116
7,0.40124035,0.3477423,"('insensitive', 'sensitive')",0.54316723,0.4860286,0.4722038,0.4168854,-0.0553184
8,-1.1590025,-1.1328357,"('unaffectionate', 'affectionate')",0.22764398,0.1156545,-0.4656793,-0.5085906,-0.0429113
9,-0.7258177,-0.7634397,"('unaffectionate', 'caring')",0.86118996,0.77725923,0.0676861,0.0069098,-0.0607763
10,0.028922329,-0.0412591,"('unsympathetic', 'sympathetic')",-0.26382703,-0.33584988,-0.1174523,-0.1885545,-0.0711022
11,1.0672505,1.0422175,"('unhelpful', 'helpful')",2.36923,2.3964362,1.7182403,1.7193269,0.0010866
12,-0.20068294,-0.07129637,"('unsupportive', 'supportive')",-1.7903156,-1.7834953,-0.9954993,-0.9273958,0.0681035
13,0.5933864,0.45415777,"('impolite', 'polite')",-0.06696716,-0.080065176,0.2632096,0.1870463,-0.0761633
14,0.87944525,0.809924,"('antisocial', 'social')",0.28834155,0.18343094,0.5838934,0.4966775,-0.0872159
15,0.7925333,0.66125226,"('boring', 'funny')",0.77860814,0.7121282,0.7855707,0.6866902,-0.0988805
16,-0.56946695,-0.58383834,"('unpopular', 'popular')",0.86930513,0.8381062,0.1499191,0.1271339,-0.0227852
17,-0.45480004,-0.4327323,"('nasty', 'nice')",-0.3857768,-0.40928838,-0.4202884,-0.4210103,-0.0007219
18,-0.653584,-0.64443433,"('disagreeable', 'welcoming')",-0.5259237,-0.6189824,-0.5897539,-0.6317084,-0.0419545
19,-1.114312,-1.1054341,"('inhospitable', 'hospitable')",-0.5075358,-0.4839346,-0.8109239,-0.7946844,0.0162395
20,0.4631281,0.47689545,"('rough', 'thoughtful')",1.1596023,1.1283668,0.8113652,0.8026311,-0.0087341
21,0.5239356,0.43471473,"('immoral', 'moral')",0.2026167,0.15772331,0.3632762,0.296219,-0.0670572
22,0.47825077,0.35687688,"('untrustworthy', 'trustworthy')",-0.35773328,-0.48190948,0.0602587,-0.0625163,-0.122775
23,0.5491103,0.48607054,"('insincere', 'sincere')",5.9642143,5.8602,3.2566624,3.1731353,-0.0835271
24,0.078321844,0.018189369,"('dishonest', 'honest')",0.67837447,0.6333457,0.3783482,0.3257675,-0.0525807
25,-1.0475972,-1.1128371,"('egoistic', 'altruistic')",1.1751784,1.1019732,0.0637906,-0.005432,-0.0692226
26,0.038033687,-0.021758582,"('hardhearted', 'benevolent')",1.4685705,1.3541477,0.7533021,0.6661946,-0.0871075
27,-0.17196822,-0.15709573,"('hardhearted', 'softhearted')",0.77469015,0.70683235,0.301361,0.2748683,-0.0264927
28,-0.16597973,-0.28979212,"('disloyal', 'loyal')",1.0066237,0.8187634,0.420322,0.2644856,-0.1558364
29,-0.20286797,-0.2308912,"('unfair', 'fair')",-0.60390997,-0.75991565,-0.403389,-0.4954034,-0.0920144
30,1.6333641,1.5097959,"('intolerant', 'tolerant')",1.9852148,1.888241,1.8092895,1.6990185,-0.110271
31,-1.9536915,-1.8608457,"('evil', 'good')",-1.4519923,-1.5629848,-1.7028419,-1.7119153,-0.0090734
32,0.5825865,0.42438775,"('unkind', 'kind')",1.2600944,1.0516778,0.9213405,0.7380328,-0.1833077
33,-0.18292546,-0.24718308,"('wrong', 'right')",-0.75213295,-0.87891877,-0.4675292,-0.5630509,-0.0955217
34,-0.22917092,-0.03468338,"('mean', 'honorable')",5.848465,6.044988,2.8096471,3.0051525,0.1955054
35,-1.4980932,-1.5948572,"('corrupt', 'incorrupt')",-0.7367928,-0.841003,-1.1174431,-1.2179301,-0.100487
36,-1.9328446,-1.9656668,"('hostile', 'amicable')",-0.25544736,-0.45839053,-1.094146,-1.2120286,-0.1178826
37,0.008625764,-0.03638741,"('fake', 'genuine')",0.11221273,0.094303384,0.0604192,0.028958,-0.0314612
38,-0.6039992,-0.59913546,"('untruthful', 'truthful')",0.17223442,0.19955678,-0.2158824,-0.1997893,0.0160931
39,1.010712,1.0540737,"('exploitative', 'cooperative')",0.20327972,0.20446266,0.6069959,0.6292682,0.0222723
