,angle_male,angle_female,tuple,average_male,average_female,female-male
0,0.341332,0.44382975,"('unsociable', 'sociable')",0.341332,0.4438297,0.1024977
1,1.0112727,1.1980951,"('unfriendly', 'friendly')",1.0112727,1.1980951,0.1868224
2,0.31497827,0.553525,"('unlikable', 'likable')",0.3149783,0.553525,0.2385467
3,0.6277682,0.81264555,"('repellent', 'pleasant')",0.6277682,0.8126456,0.1848774
4,-7.035021,-6.9228277,"('disliked', 'liked')",-7.0350208,-6.9228277,0.1121931
5,-0.88171315,-0.67605805,"('distant', 'outgoing')",-0.8817132,-0.6760581,0.2056551
6,-0.22337405,-0.17255123,"('distant', 'open')",-0.2233741,-0.1725512,0.0508229
7,1.2928824,1.5423617,"('insensitive', 'sensitive')",1.2928824,1.5423617,0.2494793
8,0.99181956,0.90215486,"('unaffectionate', 'affectionate')",0.9918196,0.9021549,-0.0896647
9,1.6384723,1.6910138,"('unaffectionate', 'caring')",1.6384723,1.6910138,0.0525415
10,1.582889,1.7031937,"('unsympathetic', 'sympathetic')",1.582889,1.7031937,0.1203047
11,1.5887244,1.770293,"('unhelpful', 'helpful')",1.5887244,1.770293,0.1815686
12,-1.2920318,-0.98359454,"('unsupportive', 'supportive')",-1.2920318,-0.9835945,0.3084373
13,-0.19431828,0.02771347,"('impolite', 'polite')",-0.1943183,0.0277135,0.2220318
14,0.18378814,0.27166048,"('antisocial', 'social')",0.1837881,0.2716605,0.0878724
15,0.38806695,0.43945342,"('boring', 'funny')",0.3880669,0.4394534,0.0513865
16,-0.7729539,-0.56763023,"('unpopular', 'popular')",-0.7729539,-0.5676302,0.2053237
17,-0.058291502,-0.15488674,"('nasty', 'nice')",-0.0582915,-0.1548867,-0.0965952
18,-0.76837134,-0.47718534,"('disagreeable', 'welcoming')",-0.7683713,-0.4771853,0.291186
19,-0.46591035,-0.4844086,"('inhospitable', 'hospitable')",-0.4659103,-0.4844086,-0.0184983
20,0.7710946,0.74105895,"('rough', 'thoughtful')",0.7710946,0.7410589,-0.0300357
21,-0.02313862,0.25795257,"('immoral', 'moral')",-0.0231386,0.2579526,0.2810912
22,-0.30954048,-0.021044198,"('untrustworthy', 'trustworthy')",-0.3095405,-0.0210442,0.2884963
