,align_male,align_female,tuple,technology_male,technology_female,inc_male,inc_female,average_male,average_female,female-male
0,0.68550444,0.6670319,"('unsociable', 'sociable')",0.09420569,0.023567565,-0.5083649,-0.6299578,0.0904484,0.0202139,-0.0702345
1,0.016754966,0.14962414,"('unfriendly', 'friendly')",0.07993926,0.007302262,2.221108,2.154079,0.7726007,0.7703351,-0.0022656
2,0.32573786,0.37901187,"('unlikable', 'likable')",0.49593583,0.55821955,0.55216223,0.61173403,0.4579453,0.5163218,0.0583765
3,-0.1366904,-0.03118835,"('repellent', 'pleasant')",0.046812266,0.16802406,-0.20915413,-0.17866805,-0.0996774,-0.0139441,0.0857333
4,-1.8168291,-1.8572978,"('disliked', 'liked')",-0.38362545,-0.42207068,-5.936304,-6.0733204,-2.7122529,-2.7842296,-0.0719767
5,-1.7789141,-1.8270452,"('distant', 'outgoing')",-1.0124986,-0.99150467,0.101853974,0.07111587,-0.8965196,-0.9158113,-0.0192917
6,-1.812242,-1.7768208,"('distant', 'open')",-1.0385773,-1.0128653,0.71859723,0.67003375,-0.7107407,-0.7065508,0.0041899
7,1.6064975,1.6176349,"('insensitive', 'sensitive')",0.4435722,0.5235913,0.6040293,0.63059735,0.8846997,0.9239412,0.0392415
8,-0.87460846,-0.74955404,"('unaffectionate', 'affectionate')",-0.23670642,-0.22463654,1.2474468,1.1766638,0.0453773,0.0674911,0.0221138
9,-0.010639723,0.08117574,"('unaffectionate', 'caring')",-0.10187177,-0.099782445,1.3315746,1.3133461,0.4063543,0.4315798,0.0252255
10,1.6675385,1.7937692,"('unsympathetic', 'sympathetic')",-0.2881732,-0.24830665,-0.7851998,-0.77874994,0.1980552,0.2555709,0.0575157
11,1.5538484,1.6020564,"('unhelpful', 'helpful')",1.1192528,1.1607525,1.5879513,1.6591572,1.4203509,1.4739887,0.0536378
12,1.8770857,2.0212076,"('unsupportive', 'supportive')",0.7702672,0.93411237,-1.6319587,-1.6529653,0.3384647,0.4341182,0.0956535
13,0.9179563,0.8188553,"('impolite', 'polite')",0.2675123,0.3037478,-0.7287354,-0.7281666,0.1522444,0.1314788,-0.0207656
14,1.5496142,1.4415264,"('antisocial', 'social')",1.250078,1.2889816,-0.86360633,-0.898119,0.6453619,0.6107963,-0.0345656
15,0.074032076,-0.04064037,"('boring', 'funny')",-0.026757687,-0.10172208,0.6945575,0.64224523,0.2472773,0.1666276,-0.0806497
16,-2.2343261,-2.1989787,"('unpopular', 'popular')",-0.48819745,-0.5043846,0.44553867,0.42339572,-0.758995,-0.7599892,-0.0009942
17,-0.80004394,-0.76307917,"('nasty', 'nice')",-0.686336,-0.634751,-0.6351641,-0.5838877,-0.7071813,-0.6605726,0.0466087
18,-0.28840715,-0.26000774,"('disagreeable', 'welcoming')",0.17904027,0.26181853,-0.076007485,-0.16145387,-0.0617915,-0.0532144,0.0085771
19,-1.3955727,-1.3286775,"('inhospitable', 'hospitable')",-0.8668315,-0.8634894,0.2887102,0.3541756,-0.657898,-0.6126637,0.0452343
20,1.647841,1.6044292,"('rough', 'thoughtful')",1.0518948,1.1054703,0.9256668,0.8777646,1.2084675,1.195888,-0.0125795
21,1.135016,1.1433434,"('immoral', 'moral')",1.0548644,1.0586427,-0.78619486,-0.75984645,0.4678952,0.4807133,0.0128181
22,0.8378079,0.83533543,"('untrustworthy', 'trustworthy')",0.43942094,0.41963574,-0.75416076,-0.7984301,0.174356,0.1521804,-0.0221756
23,1.8206284,1.8072437,"('insincere', 'sincere')",-0.44363263,-0.42849433,5.2474566,5.219565,2.2081509,2.1994381,-0.0087128
