,take_male,take_female,tuple,two_male,two_female,interactive_male,interactive_female,softwr_male,softwr_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.38923836,-0.44855687,"('unsociable', 'sociable')",-0.049174022,0.0069209803,-0.20655033,-0.3416105,1.0491544,0.9838685,-0.22197647,-0.4736076,0.0364431,-0.0545971,-0.0910402
1,-0.7038002,-0.7378245,"('unfriendly', 'friendly')",-1.980456,-2.2402604,-0.26199687,-0.53666145,-0.31103978,-0.34833267,2.345396,2.0824454,-0.1823793,-0.3561267,-0.1737474
2,0.8377932,0.95237815,"('unlikable', 'likable')",-0.46395063,-0.33087653,-0.35915747,-0.3163217,0.1468927,0.24587823,0.10438475,0.28748995,0.0531925,0.1677096,0.1145171
3,-0.36954516,-0.23102865,"('repellent', 'pleasant')",-0.1782748,-0.060049415,-1.2805213,-1.2215745,0.54752004,0.61341864,-0.11851951,-0.052365553,-0.2798681,-0.1903199,0.0895482
4,-1.0434837,-1.0634539,"('disliked', 'liked')",-0.8295943,-0.8301132,-0.8066182,-0.82414675,-2.3386502,-2.2944374,-5.987819,-6.240482,-2.2012333,-2.2505266,-0.0492933
5,-1.3981367,-1.3867323,"('distant', 'outgoing')",-1.2500529,-1.3544661,0.03935848,0.039380983,-1.6717213,-1.5643029,0.007707989,0.042738624,-0.8545689,-0.8446764,0.0098925
6,-1.2626213,-1.2289622,"('distant', 'open')",-1.0425097,-1.1242163,-0.14400442,-0.14440088,-1.3515494,-1.2390394,0.64036936,0.6772881,-0.6320631,-0.6118661,0.020197
7,1.0593759,1.1291598,"('insensitive', 'sensitive')",-0.27257803,-0.12188492,-0.11552612,-0.04223738,1.1477648,1.2256191,0.34520778,0.3398304,0.4328488,0.5060974,0.0732486
8,-0.25218204,-0.25469863,"('unaffectionate', 'affectionate')",-1.1311992,-1.1714275,0.810098,0.7036371,-0.97452635,-0.9924939,1.188919,1.0777293,-0.0717781,-0.1274507,-0.0556726
9,-0.6540063,-0.62524295,"('unaffectionate', 'caring')",-1.5373511,-1.5423265,0.27386594,0.14542168,-0.094036765,-0.09942838,1.4452863,1.3204538,-0.1132484,-0.1602245,-0.0469761
10,0.3631034,0.4916057,"('unsympathetic', 'sympathetic')",0.18854094,0.5008827,-1.0394624,-0.89901835,0.7480442,0.8422347,-0.97806996,-1.0592964,-0.1435688,-0.0247183,0.1188505
11,0.6494731,0.7326081,"('unhelpful', 'helpful')",0.80861175,0.90671784,1.0898688,1.2148099,0.8555971,0.93744856,1.2218096,1.259589,0.9250721,1.0102346,0.0851625
12,0.59694225,0.724166,"('unsupportive', 'supportive')",-0.44354373,-0.18677728,0.7973537,0.906176,0.0219481,0.174593,-1.7519945,-1.8748192,-0.1558588,-0.0513323,0.1045265
13,1.0277029,1.0413452,"('impolite', 'polite')",0.8153948,0.93348616,0.23982066,0.32623747,1.5858976,1.590582,-0.66555536,-0.6398485,0.6006521,0.6503604,0.0497083
14,0.22022462,0.18844005,"('antisocial', 'social')",0.45099428,0.5327247,0.19448337,0.1986484,1.593553,1.6114777,-1.015172,-0.9901073,0.2888166,0.3082367,0.0194201
15,0.02946579,-0.0026896,"('boring', 'funny')",0.27053848,0.23569079,1.4813834,1.5507861,0.5392234,0.48215425,0.9668196,0.9466846,0.6574861,0.6425252,-0.0149609
16,-1.6115146,-1.5503292,"('unpopular', 'popular')",-1.53938,-1.5615517,-0.42455444,-0.37960362,-0.98582125,-0.96501523,0.38906583,0.45354164,-0.8344409,-0.8005916,0.0338493
