,affect_male,affect_female,tuple,average_male,average_female,female-male
0,0.15864122,-0.017026283,"('unsociable', 'sociable')",0.1586412,-0.0170263,-0.1756675
1,0.9789061,1.025944,"('unfriendly', 'friendly')",0.9789061,1.025944,0.0470379
2,0.12407122,0.26258832,"('unlikable', 'likable')",0.1240712,0.2625883,0.1385171
3,0.9583036,0.89159536,"('repellent', 'pleasant')",0.9583036,0.8915954,-0.0667082
4,-7.4059052,-7.556916,"('disliked', 'liked')",-7.4059052,-7.5569162,-0.151011
5,-0.7122379,-0.6085955,"('distant', 'outgoing')",-0.7122379,-0.6085955,0.1036424
6,-0.2596384,-0.21195102,"('distant', 'open')",-0.2596384,-0.211951,0.0476874
7,1.0796425,1.03245,"('insensitive', 'sensitive')",1.0796425,1.03245,-0.0471925
8,0.9932513,1.069957,"('unaffectionate', 'affectionate')",0.9932513,1.069957,0.0767057
9,1.4386414,1.6123449,"('unaffectionate', 'caring')",1.4386414,1.6123449,0.1737035
10,1.3962001,1.3267888,"('unsympathetic', 'sympathetic')",1.3962001,1.3267888,-0.0694113
11,1.9697127,2.0489235,"('unhelpful', 'helpful')",1.9697127,2.0489235,0.0792108
12,-1.634642,-1.6440154,"('unsupportive', 'supportive')",-1.634642,-1.6440154,-0.0093734
13,0.19034916,0.12586753,"('impolite', 'polite')",0.1903492,0.1258675,-0.0644817
14,0.39653045,0.21769714,"('antisocial', 'social')",0.3965304,0.2176971,-0.1788333
15,0.32684886,0.35957003,"('boring', 'funny')",0.3268489,0.35957,0.0327211
16,-0.39013487,-0.36296952,"('unpopular', 'popular')",-0.3901349,-0.3629695,0.0271654
17,-0.29297322,-0.30968887,"('nasty', 'nice')",-0.2929732,-0.3096889,-0.0167157
18,-0.48129106,-0.5199867,"('disagreeable', 'welcoming')",-0.4812911,-0.5199867,-0.0386956
19,-1.1154027,-0.9862697,"('inhospitable', 'hospitable')",-1.1154027,-0.9862697,0.129133
20,0.9945938,0.8774487,"('rough', 'thoughtful')",0.9945938,0.8774487,-0.1171451
21,0.12119634,0.19426328,"('immoral', 'moral')",0.1211963,0.1942633,0.073067
22,-0.15739293,-0.3179405,"('untrustworthy', 'trustworthy')",-0.1573929,-0.3179405,-0.1605476
23,6.213246,6.3299794,"('insincere', 'sincere')",6.2132459,6.3299794,0.1167335
24,1.7639203,1.7270153,"('dishonest', 'honest')",1.7639203,1.7270153,-0.036905
25,0.29374972,0.26158035,"('egoistic', 'altruistic')",0.2937497,0.2615803,-0.0321694
26,0.67131406,0.5192398,"('hardhearted', 'benevolent')",0.6713141,0.5192398,-0.1520743
27,1.691134,1.5273527,"('hardhearted', 'softhearted')",1.691134,1.5273527,-0.1637813
28,1.1031955,1.0612068,"('disloyal', 'loyal')",1.1031955,1.0612068,-0.0419887
29,-0.5380232,-0.6591809,"('unfair', 'fair')",-0.5380232,-0.6591809,-0.1211577
30,0.8762428,0.8772832,"('intolerant', 'tolerant')",0.8762428,0.8772832,0.0010404
31,-1.585754,-1.6048355,"('evil', 'good')",-1.585754,-1.6048355,-0.0190815
32,1.3164797,1.2646654,"('unkind', 'kind')",1.3164797,1.2646654,-0.0518143
33,-0.66253424,-0.6359086,"('wrong', 'right')",-0.6625342,-0.6359086,0.0266256
34,4.3832994,4.586329,"('mean', 'honorable')",4.3832994,4.586329,0.2030296
35,-1.3416297,-1.477296,"('corrupt', 'incorrupt')",-1.3416297,-1.477296,-0.1356663
36,-1.0973549,-1.1257727,"('hostile', 'amicable')",-1.0973549,-1.1257727,-0.0284178
37,1.0398064,1.0438733,"('fake', 'genuine')",1.0398064,1.0438733,0.0040669
38,-0.5009237,-0.39403084,"('untruthful', 'truthful')",-0.5009237,-0.3940308,0.1068929
39,0.18605575,0.12450049,"('exploitative', 'cooperative')",0.1860557,0.1245005,-0.0615552
40,-1.328876,-1.6142884,"('stingy', 'generous')",-1.328876,-1.6142884,-0.2854124
41,0.22749193,0.10019932,"('unforgiving', 'forgiving')",0.2274919,0.1001993,-0.1272926
42,-1.6981108,-1.840428,"('unreliable', 'reliable')",-1.6981108,-1.840428,-0.1423172
43,1.362198,1.4034945,"('irresponsible', 'responsible')",1.362198,1.4034945,0.0412965
44,-1.0417047,-1.1674886,"('prejudiced', 'unprejudiced')",-1.0417047,-1.1674886,-0.1257839
45,0.5155764,0.3396423,"('incompetent', 'competent')",0.5155764,0.3396423,-0.1759341
46,-0.049834482,-0.15612268,"('uncompetitive', 'competitive')",-0.0498345,-0.1561227,-0.1062882
47,4.9425745,5.0932264,"('stupid', 'smart')",4.9425745,5.0932264,0.1506519
48,0.80382943,0.81548303,"('unintelligent', 'intelligent')",0.8038294,0.815483,0.0116536
49,0.04193443,0.24410084,"('unable', 'able')",0.0419344,0.2441008,0.2021664
50,-0.20498194,-0.15628275,"('clumsy', 'skillful')",-0.2049819,-0.1562828,0.0486991
51,0.3565658,0.32616454,"('uneducated', 'educated')",0.3565658,0.3261645,-0.0304013
52,-0.7093323,-0.8105904,"('irrational', 'rational')",-0.7093323,-0.8105904,-0.1012581
53,0.061695646,0.10975636,"('uncreative', 'creative')",0.0616956,0.1097564,0.0480608
