,scana_male,scana_female,tuple,corp_male,corp_female,average_male,average_female,female-male
51,-0.29774407,-0.36942086,"('uneducated', 'educated')",-0.14064467,-0.22310144,-0.2191944,-0.2962611,-0.0770667
52,-0.8634014,-1.2552521,"('irrational', 'rational')",0.35391402,0.20896542,-0.2547437,-0.5231434,-0.2683997
53,-2.1026142,-2.0762742,"('uncreative', 'creative')",0.22011922,0.15512168,-0.9412475,-0.9605762,-0.0193287
54,-1.0629952,-1.2043757,"('incapable', 'capable')",0.4398551,0.49333838,-0.31157,-0.3555187,-0.0439487
55,0.7730625,1.055374,"('incompetent', 'clever')",0.36964715,0.32814363,0.5713549,0.6917588,0.1204039
56,1.0514729,1.2188829,"('impractical', 'practical')",-0.31521612,-0.33361754,0.3681284,0.4426327,0.0745043
57,-0.7086879,-0.5694268,"('unimaginative', 'imaginative')",-2.787522,-2.865046,-1.748105,-1.7172364,0.0308686
58,0.05583794,0.16166268,"('undiscriminating', 'discriminating')",0.33734056,0.27003902,0.1965892,0.2158509,0.0192617
59,-0.4511049,-0.6021353,"('foolish', 'wise')",0.07372199,0.10447329,-0.1886915,-0.248831,-0.0601395
60,1.1258923,1.4077759,"('inefficient', 'efficient')",-0.31739044,-0.22379318,0.4042509,0.5919914,0.1877405
61,0.02488011,-0.082143724,"('illogical', 'logical')",0.5402333,0.39363593,0.2825567,0.1557461,-0.1268106
62,0.81335753,1.0324206,"('incompetent', 'brilliant')",0.34329045,0.42783734,0.578324,0.730129,0.151805
63,-0.3460581,-0.090547875,"('unperceptive', 'insightful')",0.23208575,0.28452966,-0.0569862,0.0969909,0.1539771
64,-0.020176448,0.0070217913,"('shy', 'confident')",-5.851567,-5.9351325,-2.9358716,-2.9640553,-0.0281837
65,1.1652848,1.2236565,"('insecure', 'secure')",-0.4391078,-0.3974838,0.3630885,0.4130864,0.0499979
66,-1.4861631,-1.5886775,"('inactive', 'active')",0.0185581,0.046157792,-0.7338025,-0.7712598,-0.0374573
67,0.68340546,0.6414638,"('doubtful', 'determined')",-0.25197798,-0.2515021,0.2157137,0.1949809,-0.0207328
68,-0.07863234,-0.11073156,"('dependent', 'independent')",-1.0168065,-1.0017878,-0.5477194,-0.5562597,-0.0085403
69,-0.6503078,-0.7235106,"('lazy', 'industrious')",-0.47700447,-0.4489101,-0.5636561,-0.5862104,-0.0225543
70,0.10382908,0.3752323,"('lethargic', 'energetic')",-0.18848047,-0.16894516,-0.0423257,0.1031436,0.1454693
71,-0.4699912,-0.4664405,"('diffident', 'self-confident')",0.16263151,0.12777522,-0.1536798,-0.1693326,-0.0156528
72,-0.16253641,-0.23468986,"('unambitious', 'ambitious')",-0.6311717,-0.6537298,-0.396854,-0.4442098,-0.0473558
73,0.12565334,0.017066827,"('helpless', 'self-reliant')",-2.7650769,-2.765284,-1.3197118,-1.3741087,-0.0543969
74,0.22426173,0.3852516,"('undedicated', 'dedicated')",-0.18096791,-0.2631007,0.0216469,0.0610754,0.0394285
75,-0.5791882,-0.64827025,"('meek', 'impulsive')",-0.6013351,-0.5485865,-0.5902617,-0.5984284,-0.0081667
76,0.37762296,0.5891756,"('anxious', 'daring')",-0.41476557,-0.328238,-0.0185713,0.1304688,0.1490401
77,-0.33263868,-0.22794122,"('unmotivated', 'motivated')",-1.2357574,-1.17766,-0.784198,-0.7028006,0.0813974
78,-0.9697556,-0.8224597,"('nonresilient', 'resilient')",-0.15290809,-0.19731443,-0.5613319,-0.509887,0.0514449
79,-1.8146936,-1.8611363,"('wavering', 'unwavering')",-0.7212447,-0.6644103,-1.2679691,-1.2627733,0.0051958
80,0.7211356,0.697891,"('dominated', 'dominating')",-0.8797884,-0.7811032,-0.0793264,-0.0416061,0.0377203
81,1.2544103,1.3150828,"('submissive', 'aggressive')",-0.53087986,-0.43131787,0.3617652,0.4418825,0.0801173
82,-0.59612924,-0.4697821,"('poor', 'rich')",5.710405,5.7114854,2.5571377,2.6208515,0.0637138
83,0.16395578,0.11729944,"('powerless', 'powerful')",-0.88848644,-0.9008934,-0.3622653,-0.391797,-0.0295317
84,0.4215322,0.2867141,"('inferior', 'superior')",0.83073103,0.8583181,0.6261317,0.5725161,-0.0536156
85,-1.3198608,-1.4841464,"('insignificant', 'prestigious')",0.20662126,0.19845428,-0.5566198,-0.642846,-0.0862262
86,-1.0042437,-1.0135827,"('uninfluential', 'influential')",-0.45702246,-0.5903187,-0.7306331,-0.8019507,-0.0713176
87,-0.23816416,-0.39886105,"('unsuccessful', 'successful')",0.89427143,0.9407477,0.3280537,0.2709433,-0.0571104
88,-0.680245,-0.7687498,"('low', 'eminent')",-0.37445796,-0.4656244,-0.5273515,-0.6171871,-0.0898356
