,dow_male,dow_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.78821635,0.6473104,"('unsociable', 'sociable')",0.029366907,-0.200531,0.4087916,0.2233897,-0.1854019
1,1.1852161,1.0920582,"('unfriendly', 'friendly')",1.3130841,1.1778222,1.24915,1.1349401,-0.1142099
2,0.95876986,0.98233044,"('unlikable', 'likable')",0.36900002,0.45543903,0.6638849,0.7188847,0.0549998
3,-0.49339846,-0.31005797,"('repellent', 'pleasant')",0.44996807,0.46376035,-0.0217152,0.0768512,0.0985664
4,-0.66348946,-0.8261628,"('disliked', 'liked')",-6.2266245,-6.320999,-3.4450569,-3.573581,-0.1285241
5,-0.2403629,-0.39473093,"('distant', 'outgoing')",-0.54128146,-0.47175282,-0.3908222,-0.4332419,-0.0424197
6,0.050250262,-0.063964136,"('distant', 'open')",-0.2088171,-0.16583967,-0.0792834,-0.1149019,-0.0356185
7,0.38477412,0.526956,"('insensitive', 'sensitive')",0.85007036,0.7375429,0.6174222,0.6322495,0.0148273
8,0.5859471,0.53393877,"('unaffectionate', 'affectionate')",0.54003084,0.51168925,0.562989,0.522814,-0.040175
9,1.2320145,1.1908329,"('unaffectionate', 'caring')",0.74484324,0.72529113,0.9884289,0.958062,-0.0303669
10,0.9048004,0.9981625,"('unsympathetic', 'sympathetic')",0.4624765,0.223595,0.6836385,0.6108788,-0.0727597
11,-0.21451592,-0.18657131,"('unhelpful', 'helpful')",2.2267177,2.1853247,1.0061009,0.9993767,-0.0067242
12,1.4025235,1.382469,"('unsupportive', 'supportive')",-1.0917845,-1.2074857,0.1553695,0.0874917,-0.0678778
13,-0.479831,-0.4985971,"('impolite', 'polite')",-0.4345233,-0.5020801,-0.4571772,-0.5003386,-0.0431614
14,1.0217915,0.9483739,"('antisocial', 'social')",-0.55502576,-0.5994373,0.2333829,0.1744683,-0.0589146
15,-0.31616607,-0.48999652,"('boring', 'funny')",0.11992955,0.11669138,-0.0981183,-0.1866526,-0.0885343
16,-1.1565636,-1.1350925,"('unpopular', 'popular')",0.41210398,0.4050017,-0.3722298,-0.3650454,0.0071844
17,-0.78280133,-0.7582883,"('nasty', 'nice')",-0.38322905,-0.24462017,-0.5830152,-0.5014542,0.081561
18,-0.8272691,-0.9135275,"('disagreeable', 'welcoming')",-0.5151369,-0.56163526,-0.671203,-0.7375814,-0.0663784
19,-0.16118102,-0.20926267,"('inhospitable', 'hospitable')",-0.11869894,-0.08643322,-0.13994,-0.147848,-0.007908
20,0.5122611,0.5241402,"('rough', 'thoughtful')",1.4848273,1.4230927,0.9985442,0.9736165,-0.0249277
21,-0.1938045,-0.20759402,"('immoral', 'moral')",-0.29655078,-0.3450825,-0.2451776,-0.2763382,-0.0311606
