,tofu_male,tofu_female,tuple,average_male,average_female,female-male
0,-0.9102288,-0.9963231,"('unsociable', 'sociable')",-0.9102288,-0.9963231,-0.0860943
1,1.6514144,1.6699506,"('unfriendly', 'friendly')",1.6514144,1.6699506,0.0185362
2,0.88101655,0.93134105,"('unlikable', 'likable')",0.8810166,0.9313411,0.0503245
3,-0.59155446,-0.5684457,"('repellent', 'pleasant')",-0.5915545,-0.5684457,0.0231088
4,-3.1232374,-3.0400834,"('disliked', 'liked')",-3.1232374,-3.0400834,0.083154
5,0.22719045,0.285756,"('distant', 'outgoing')",0.2271904,0.285756,0.0585656
6,0.85073835,0.9284372,"('distant', 'open')",0.8507383,0.9284372,0.0776989
7,-0.059689537,-0.058456644,"('insensitive', 'sensitive')",-0.0596895,-0.0584566,0.0012329
8,1.1757274,1.225434,"('unaffectionate', 'affectionate')",1.1757274,1.2254339,0.0497065
9,0.82963467,0.8601992,"('unaffectionate', 'caring')",0.8296347,0.8601992,0.0305645
10,-0.8234273,-0.8124759,"('unsympathetic', 'sympathetic')",-0.8234273,-0.8124759,0.0109514
11,0.33615804,0.35722166,"('unhelpful', 'helpful')",0.336158,0.3572217,0.0210637
12,-0.93429124,-0.874693,"('unsupportive', 'supportive')",-0.9342912,-0.874693,0.0595982
13,-0.8291032,-0.91122824,"('impolite', 'polite')",-0.8291032,-0.9112282,-0.082125
14,-0.7169208,-0.8800035,"('antisocial', 'social')",-0.7169208,-0.8800035,-0.1630827
15,0.7982194,0.8120549,"('boring', 'funny')",0.7982194,0.8120549,0.0138355
16,0.40313303,0.504101,"('unpopular', 'popular')",0.403133,0.504101,0.100968
17,-0.17343724,-0.103137866,"('nasty', 'nice')",-0.1734372,-0.1031379,0.0702993
18,0.14849053,0.1461646,"('disagreeable', 'welcoming')",0.1484905,0.1461646,-0.0023259
19,-0.022232566,0.10032305,"('inhospitable', 'hospitable')",-0.0222326,0.1003231,0.1225557
20,0.4763542,0.4503632,"('rough', 'thoughtful')",0.4763542,0.4503632,-0.025991
21,-0.5763736,-0.5015928,"('immoral', 'moral')",-0.5763736,-0.5015928,0.0747808
22,-0.6039654,-0.6197985,"('untrustworthy', 'trustworthy')",-0.6039654,-0.6197985,-0.0158331
23,2.2781377,2.1955025,"('insincere', 'sincere')",2.2781377,2.1955025,-0.0826352
24,0.33043906,0.20970535,"('dishonest', 'honest')",0.3304391,0.2097054,-0.1207337
25,0.8801552,0.8749244,"('egoistic', 'altruistic')",0.8801552,0.8749244,-0.0052308
26,1.3095406,1.2525976,"('hardhearted', 'benevolent')",1.3095406,1.2525976,-0.056943
27,1.4282995,1.3763849,"('hardhearted', 'softhearted')",1.4282995,1.3763849,-0.0519146
28,0.58472735,0.58010393,"('disloyal', 'loyal')",0.5847273,0.5801039,-0.0046234
29,-0.418171,-0.4571792,"('unfair', 'fair')",-0.418171,-0.4571792,-0.0390082
30,-0.09092455,-0.21905008,"('intolerant', 'tolerant')",-0.0909246,-0.2190501,-0.1281255
31,-0.16017865,-0.0465502,"('evil', 'good')",-0.1601786,-0.0465502,0.1136284
32,0.43152475,0.31140572,"('unkind', 'kind')",0.4315248,0.3114057,-0.1201191
33,0.27835295,0.27253953,"('wrong', 'right')",0.2783529,0.2725395,-0.0058134
34,2.6850526,2.8391426,"('mean', 'honorable')",2.6850526,2.8391426,0.15409
35,0.41577953,0.42292094,"('corrupt', 'incorrupt')",0.4157795,0.4229209,0.0071414
36,0.48196808,0.5414697,"('hostile', 'amicable')",0.4819681,0.5414697,0.0595016
37,-0.10465388,-0.13853174,"('fake', 'genuine')",-0.1046539,-0.1385317,-0.0338778
38,-0.5296811,-0.43821856,"('untruthful', 'truthful')",-0.5296811,-0.4382186,0.0914625
39,0.017779402,0.011720095,"('exploitative', 'cooperative')",0.0177794,0.0117201,-0.0060593
40,-0.6072368,-0.7310847,"('stingy', 'generous')",-0.6072368,-0.7310847,-0.1238479
41,0.76804113,0.8120506,"('unforgiving', 'forgiving')",0.7680411,0.8120506,0.0440095
42,-1.7342876,-1.6839176,"('unreliable', 'reliable')",-1.7342876,-1.6839176,0.05037
43,-0.67176425,-0.6839708,"('irresponsible', 'responsible')",-0.6717643,-0.6839708,-0.0122065
44,-1.0614045,-1.0857853,"('prejudiced', 'unprejudiced')",-1.0614045,-1.0857853,-0.0243808
45,-0.56409734,-0.5110288,"('incompetent', 'competent')",-0.5640973,-0.5110288,0.0530685
46,-1.4832699,-1.4578556,"('uncompetitive', 'competitive')",-1.4832699,-1.4578556,0.0254143
47,2.3636887,2.3011189,"('stupid', 'smart')",2.3636887,2.3011189,-0.0625698
48,0.19391811,0.18466909,"('unintelligent', 'intelligent')",0.1939181,0.1846691,-0.009249
49,-0.4819067,-0.31164297,"('unable', 'able')",-0.4819067,-0.311643,0.1702637
50,0.1836834,0.21943957,"('clumsy', 'skillful')",0.1836834,0.2194396,0.0357562
51,-0.5262918,-0.6481889,"('uneducated', 'educated')",-0.5262918,-0.6481889,-0.1218971
52,0.747225,0.67615396,"('irrational', 'rational')",0.747225,0.676154,-0.071071
53,-0.22822203,-0.2029808,"('uncreative', 'creative')",-0.228222,-0.2029808,0.0252412
54,0.66908205,0.7063326,"('incapable', 'capable')",0.669082,0.7063326,0.0372506
55,-0.3582603,-0.34994355,"('incompetent', 'clever')",-0.3582603,-0.3499435,0.0083168
56,-0.44503266,-0.4755058,"('impractical', 'practical')",-0.4450327,-0.4755058,-0.0304731
57,-2.3499305,-2.290997,"('unimaginative', 'imaginative')",-2.3499305,-2.290997,0.0589335
