,medco_male,medco_female,tuple,health_male,health_female,solutions_male,solutions_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.68531954,-0.71147424,"('unsociable', 'sociable')",0.40276688,0.2837002,0.5682813,0.44269553,-0.5761961,-0.6971177,-0.0726169,-0.170549,-0.0979321
1,-1.6428505,-1.6063228,"('unfriendly', 'friendly')",1.3419223,1.3367039,0.43071702,0.3280917,2.0103233,1.9508756,0.535028,0.5023371,-0.0326909
2,0.82183206,0.83029014,"('unlikable', 'likable')",1.3055738,1.2900912,1.6480469,1.7039768,1.0593535,1.1511915,1.2087015,1.2438874,0.0351859
3,-0.4610343,-0.43215021,"('repellent', 'pleasant')",-1.3665975,-1.2050004,0.018684313,0.0594187,-0.16063422,-0.1378271,-0.4923955,-0.4288898,0.0635057
4,0.23885635,0.2745254,"('disliked', 'liked')",0.9784566,0.9784581,0.3601,0.3877828,-5.3027983,-5.4889746,-0.9313463,-0.962052,-0.0307057
5,-0.008244565,0.049162276,"('distant', 'outgoing')",0.546944,0.6888567,0.020273332,0.100105405,0.07668251,0.12502159,0.1589138,0.2407865,0.0818727
6,-0.333906,-0.23548992,"('distant', 'open')",0.6944437,0.8763979,-0.11975631,-0.04741591,0.6016142,0.6264556,0.2105989,0.3049869,0.094388
7,-0.9624917,-0.9105321,"('insensitive', 'sensitive')",-0.25217873,-0.23436788,0.44405484,0.4152901,0.2756779,0.30677846,-0.1237344,-0.1057078,0.0180266
8,-1.458139,-1.4831015,"('unaffectionate', 'affectionate')",0.29440057,0.2677381,-1.3198773,-1.3209516,0.53652793,0.52449894,-0.4867719,-0.502954,-0.0161821
9,-0.7502281,-0.707209,"('unaffectionate', 'caring')",1.3726256,1.3758202,0.5686497,0.5428856,1.1495155,1.1907947,0.5851407,0.6005729,0.0154322
10,-1.2205026,-1.1804645,"('unsympathetic', 'sympathetic')",-0.17191651,-0.16127327,-0.1535955,-0.19090098,-0.61212057,-0.5998193,-0.5395338,-0.5331146,0.0064192
11,-0.3120848,-0.2883953,"('unhelpful', 'helpful')",0.052317113,-0.008702174,1.6131892,1.5998882,1.6475072,1.7150191,0.7502322,0.7544525,0.0042203
12,0.6319922,0.7783536,"('unsupportive', 'supportive')",2.8852396,3.0485673,1.8503649,1.9883451,-1.4635686,-1.4392996,0.976007,1.0939916,0.1179846
