,book_male,book_female,tuple,average_male,average_female,female-male
0,0.14041452,0.03859982,"('unsociable', 'sociable')",0.1404145,0.0385998,-0.1018147
1,1.2805698,1.2117243,"('unfriendly', 'friendly')",1.2805698,1.2117243,-0.0688455
2,0.35158837,0.4633664,"('unlikable', 'likable')",0.3515884,0.4633664,0.111778
3,0.58085966,0.7910612,"('repellent', 'pleasant')",0.5808597,0.7910612,0.2102015
4,-6.63865,-6.583785,"('disliked', 'liked')",-6.6386499,-6.5837851,0.0548648
5,-0.39006954,-0.2859728,"('distant', 'outgoing')",-0.3900695,-0.2859728,0.1040967
6,-0.31289518,-0.18247284,"('distant', 'open')",-0.3128952,-0.1824728,0.1304224
7,0.9912956,1.0633674,"('insensitive', 'sensitive')",0.9912956,1.0633674,0.0720718
8,0.8258183,0.8140843,"('unaffectionate', 'affectionate')",0.8258183,0.8140843,-0.011734
9,1.815329,1.9265872,"('unaffectionate', 'caring')",1.815329,1.9265872,0.1112582
10,1.1654387,1.1696717,"('unsympathetic', 'sympathetic')",1.1654387,1.1696717,0.004233
11,2.3060572,2.3528469,"('unhelpful', 'helpful')",2.3060572,2.3528469,0.0467897
12,-0.81734025,-0.69264483,"('unsupportive', 'supportive')",-0.8173403,-0.6926448,0.1246955
13,0.12955934,0.01735793,"('impolite', 'polite')",0.1295593,0.0173579,-0.1122014
14,0.62785554,0.5276458,"('antisocial', 'social')",0.6278555,0.5276458,-0.1002097
15,0.46354115,0.35591692,"('boring', 'funny')",0.4635412,0.3559169,-0.1076243
16,-0.19428712,-0.08556189,"('unpopular', 'popular')",-0.1942871,-0.0855619,0.1087252
17,0.261645,0.31788677,"('nasty', 'nice')",0.261645,0.3178868,0.0562418
18,-0.5380562,-0.44396257,"('disagreeable', 'welcoming')",-0.5380562,-0.4439626,0.0940936
19,-0.33483824,-0.19974035,"('inhospitable', 'hospitable')",-0.3348382,-0.1997404,0.1350978
20,0.42974573,0.26438314,"('rough', 'thoughtful')",0.4297457,0.2643831,-0.1653626
21,0.40006882,0.54337424,"('immoral', 'moral')",0.4000688,0.5433742,0.1433054
22,-0.3670095,-0.29700878,"('untrustworthy', 'trustworthy')",-0.3670095,-0.2970088,0.0700007
23,6.379741,6.4012594,"('insincere', 'sincere')",6.3797412,6.4012594,0.0215182
24,1.7154665,1.7759129,"('dishonest', 'honest')",1.7154665,1.7759129,0.0604464
25,0.7126118,0.73654723,"('egoistic', 'altruistic')",0.7126118,0.7365472,0.0239354
26,0.88799024,0.5242738,"('hardhearted', 'benevolent')",0.8879902,0.5242738,-0.3637164
27,1.6256181,1.469614,"('hardhearted', 'softhearted')",1.6256181,1.469614,-0.1560041
28,0.8575366,0.82612497,"('disloyal', 'loyal')",0.8575366,0.826125,-0.0314116
29,-0.37675744,-0.48458084,"('unfair', 'fair')",-0.3767574,-0.4845808,-0.1078234
30,0.6754073,0.7362646,"('intolerant', 'tolerant')",0.6754073,0.7362646,0.0608573
31,-1.2236066,-1.1980169,"('evil', 'good')",-1.2236066,-1.1980169,0.0255897
32,1.4001788,1.2916192,"('unkind', 'kind')",1.4001788,1.2916192,-0.1085596
33,0.036017634,0.14544375,"('wrong', 'right')",0.0360176,0.1454438,0.1094262
34,4.329572,4.5468984,"('mean', 'honorable')",4.3295722,4.5468984,0.2173262
35,-1.2275205,-1.3012011,"('corrupt', 'incorrupt')",-1.2275205,-1.3012011,-0.0736806
36,-1.0230998,-1.0606848,"('hostile', 'amicable')",-1.0230998,-1.0606848,-0.037585
37,0.53973943,0.5224521,"('fake', 'genuine')",0.5397394,0.5224521,-0.0172873
