,booking_male,booking_female,tuple,holdings_male,holdings_female,inc_male,inc_female,average_male,average_female,female-male
0,1.0035338,0.9131818,"('unsociable', 'sociable')",0.2716776,0.039491788,0.049695637,-0.05027207,0.4416357,0.3008005,-0.1408352
1,1.0428026,0.9649303,"('unfriendly', 'friendly')",0.2111431,0.042532586,1.6655458,1.4670645,0.9731638,0.8248425,-0.1483213
2,0.83277744,1.0177829,"('unlikable', 'likable')",1.8083807,1.9271322,0.7645625,0.8661707,1.1352402,1.270362,0.1351218
3,-0.8254518,-0.64072996,"('repellent', 'pleasant')",0.3938751,0.44362617,0.18148507,0.29735732,-0.0833639,0.0334178,0.1167817
4,-1.418629,-1.4384059,"('disliked', 'liked')",0.29284975,0.34570792,-6.156924,-6.171193,-2.4275676,-2.4212971,0.0062705
5,-0.25874978,-0.33535412,"('distant', 'outgoing')",-0.65506196,-0.5605183,-0.07756777,-0.10060991,-0.3304598,-0.3321608,-0.001701
6,-0.8345871,-0.9389764,"('distant', 'open')",-1.1322694,-1.0591593,0.39742938,0.3063957,-0.5231424,-0.5639133,-0.0407709
7,0.7315249,0.76328975,"('insensitive', 'sensitive')",0.37946585,0.35993868,0.75781,0.7693443,0.6229336,0.6308575,0.0079239
8,0.9997478,1.0074494,"('unaffectionate', 'affectionate')",-0.27495664,-0.25754023,0.5836499,0.46875513,0.436147,0.4062214,-0.0299256
9,1.9855819,1.9741087,"('unaffectionate', 'caring')",0.14810464,0.10249211,1.2209837,1.1870089,1.1182234,1.0878699,-0.0303535
10,0.7596338,0.85393643,"('unsympathetic', 'sympathetic')",-0.194183,-0.31243277,0.115385875,0.14423877,0.2269456,0.2285808,0.0016352
11,0.80156636,0.83309615,"('unhelpful', 'helpful')",0.29512128,0.2871663,2.2460432,2.3646345,1.1142437,1.1616323,0.0473886
12,1.1802803,1.2919129,"('unsupportive', 'supportive')",0.5217122,0.64849585,-1.5228884,-1.5275189,0.0597014,0.1376299,0.0779285
13,0.8911862,0.87559015,"('impolite', 'polite')",0.32696047,0.26109248,0.2720143,0.2291534,0.4967203,0.4552787,-0.0414416
14,1.5352235,1.5411747,"('antisocial', 'social')",1.8425171,1.814141,-0.1903873,-0.1730396,1.0624511,1.0607587,-0.0016924
15,0.72030675,0.53736633,"('boring', 'funny')",-0.9849338,-0.93317086,0.6569655,0.5275906,0.1307795,0.0439287,-0.0868508
16,-0.65187067,-0.52097696,"('unpopular', 'popular')",-0.58735025,-0.40918398,0.43620455,0.5611548,-0.2676721,-0.1230021,0.14467
17,0.29504225,0.47838685,"('nasty', 'nice')",-0.8750869,-0.7503766,-0.14902018,-0.13367948,-0.2430216,-0.1352231,0.1077985
18,0.8783117,0.8867946,"('disagreeable', 'welcoming')",0.11617783,0.1957539,-0.27221054,-0.350956,0.2407597,0.2438642,0.0031045
19,-1.191798,-1.2320281,"('inhospitable', 'hospitable')",-0.7607009,-0.70419365,-0.027107313,-0.033533916,-0.6598688,-0.6565853,0.0032835
20,-0.47280896,-0.3593905,"('rough', 'thoughtful')",-0.39347923,-0.31591147,0.6353486,0.6296213,-0.0769799,-0.0152269,0.061753
21,0.34690717,0.34663907,"('immoral', 'moral')",0.24316698,0.19608241,-0.36501193,-0.30963787,0.0750208,0.0776945,0.0026737
22,-0.30591938,-0.3051234,"('untrustworthy', 'trustworthy')",0.30760983,0.2900505,-0.8138427,-0.7759206,-0.2707174,-0.2636645,0.0070529
23,0.94184935,1.0091895,"('insincere', 'sincere')",0.020801397,-0.07651928,6.069628,6.069615,2.3440928,2.334095,-0.0099978
24,0.83149004,0.7783339,"('dishonest', 'honest')",-0.34347445,-0.3608218,0.9620373,0.9246034,0.483351,0.4473718,-0.0359792
