,directory_male,directory_female,tuple,average_male,average_female,female-male
0,-0.009336688,-0.16572925,"('unsociable', 'sociable')",-0.0093367,-0.1657293,-0.1563926
1,1.4498978,1.4082158,"('unfriendly', 'friendly')",1.4498978,1.4082158,-0.041682
2,0.2787338,0.5232439,"('unlikable', 'likable')",0.2787338,0.5232439,0.2445101
3,0.45182288,0.70353305,"('repellent', 'pleasant')",0.4518229,0.7035331,0.2517102
4,-7.459785,-7.461112,"('disliked', 'liked')",-7.459785,-7.461112,-0.001327
5,-0.7320275,-0.5712006,"('distant', 'outgoing')",-0.7320275,-0.5712006,0.1608269
6,-0.13968307,-0.078447446,"('distant', 'open')",-0.1396831,-0.0784474,0.0612357
7,1.2566334,1.1568072,"('insensitive', 'sensitive')",1.2566334,1.1568072,-0.0998262
8,0.82846725,0.864556,"('unaffectionate', 'affectionate')",0.8284672,0.864556,0.0360888
9,1.3534471,1.4099395,"('unaffectionate', 'caring')",1.3534471,1.4099395,0.0564924
10,1.2524016,1.1677582,"('unsympathetic', 'sympathetic')",1.2524016,1.1677582,-0.0846434
11,1.7582356,1.8079842,"('unhelpful', 'helpful')",1.7582356,1.8079842,0.0497486
12,-1.5535886,-1.6019663,"('unsupportive', 'supportive')",-1.5535886,-1.6019663,-0.0483777
13,-0.45979524,-0.30670476,"('impolite', 'polite')",-0.4597952,-0.3067048,0.1530904
14,-0.03228472,-0.1995715,"('antisocial', 'social')",-0.0322847,-0.1995715,-0.1672868
15,0.1782971,0.15121302,"('boring', 'funny')",0.1782971,0.151213,-0.0270841
16,-0.23620878,-0.21297917,"('unpopular', 'popular')",-0.2362088,-0.2129792,0.0232296
17,-0.018137425,0.07962853,"('nasty', 'nice')",-0.0181374,0.0796285,0.0977659
18,-0.8398987,-0.62859315,"('disagreeable', 'welcoming')",-0.8398987,-0.6285931,0.2113056
19,-0.7684264,-0.6603988,"('inhospitable', 'hospitable')",-0.7684264,-0.6603988,0.1080276
20,1.1000404,1.0150708,"('rough', 'thoughtful')",1.1000404,1.0150708,-0.0849696
21,-0.43463475,-0.28630435,"('immoral', 'moral')",-0.4346347,-0.2863044,0.1483303
22,-0.20214319,-0.21598968,"('untrustworthy', 'trustworthy')",-0.2021432,-0.2159897,-0.0138465
23,6.1378884,6.2137914,"('insincere', 'sincere')",6.1378884,6.2137914,0.075903
24,1.2471122,1.2391331,"('dishonest', 'honest')",1.2471122,1.2391331,-0.0079791
25,0.25546467,0.31943536,"('egoistic', 'altruistic')",0.2554647,0.3194354,0.0639707
26,1.7481496,1.1750038,"('hardhearted', 'benevolent')",1.7481496,1.1750038,-0.5731458
27,1.7353057,1.5223976,"('hardhearted', 'softhearted')",1.7353057,1.5223976,-0.2129081
28,1.1027594,0.94856447,"('disloyal', 'loyal')",1.1027594,0.9485645,-0.1541949
29,-0.47500914,-0.6523639,"('unfair', 'fair')",-0.4750091,-0.6523639,-0.1773548
30,0.58955187,0.71640325,"('intolerant', 'tolerant')",0.5895519,0.7164032,0.1268513
31,-1.120532,-1.1535423,"('evil', 'good')",-1.120532,-1.1535423,-0.0330103
32,1.2801418,1.1605781,"('unkind', 'kind')",1.2801418,1.1605781,-0.1195637
33,-0.26958907,-0.35755232,"('wrong', 'right')",-0.2695891,-0.3575523,-0.0879632
34,4.352294,4.5922112,"('mean', 'honorable')",4.352294,4.5922112,0.2399172
35,-0.77537334,-1.08855,"('corrupt', 'incorrupt')",-0.7753733,-1.08855,-0.3131767
36,-0.43685663,-0.53145623,"('hostile', 'amicable')",-0.4368566,-0.5314562,-0.0945996
37,0.6567603,0.77590775,"('fake', 'genuine')",0.6567603,0.7759078,0.1191475
38,-0.21330974,-0.22295788,"('untruthful', 'truthful')",-0.2133097,-0.2229579,-0.0096482
39,0.09839526,0.12041244,"('exploitative', 'cooperative')",0.0983953,0.1204124,0.0220171
40,-1.4789858,-1.5786077,"('stingy', 'generous')",-1.4789858,-1.5786077,-0.0996219
41,0.25664586,0.12846212,"('unforgiving', 'forgiving')",0.2566459,0.1284621,-0.1281838
42,-1.8205367,-1.7893199,"('unreliable', 'reliable')",-1.8205367,-1.7893199,0.0312168
43,1.3399506,1.4078637,"('irresponsible', 'responsible')",1.3399506,1.4078637,0.0679131
44,-1.3560997,-1.1477286,"('prejudiced', 'unprejudiced')",-1.3560997,-1.1477286,0.2083711
45,0.61067635,0.24073327,"('incompetent', 'competent')",0.6106763,0.2407333,-0.369943
46,-0.45885426,-0.50946057,"('uncompetitive', 'competitive')",-0.4588543,-0.5094606,-0.0506063
47,4.8978457,4.9952927,"('stupid', 'smart')",4.8978457,4.9952927,0.097447
48,0.40713328,0.34344214,"('unintelligent', 'intelligent')",0.4071333,0.3434421,-0.0636912
49,-0.29403475,0.0030540638,"('unable', 'able')",-0.2940347,0.0030541,0.2970888
50,-0.11621136,-0.08575368,"('clumsy', 'skillful')",-0.1162114,-0.0857537,0.0304577
51,-0.543791,-0.40462297,"('uneducated', 'educated')",-0.543791,-0.404623,0.139168
52,-0.40286165,-0.58544075,"('irrational', 'rational')",-0.4028617,-0.5854408,-0.1825791
53,0.16931044,0.13310024,"('uncreative', 'creative')",0.1693104,0.1331002,-0.0362102
54,0.9564234,1.0930095,"('incapable', 'capable')",0.9564234,1.0930095,0.1365861
55,0.49667087,0.50986993,"('incompetent', 'clever')",0.4966709,0.5098699,0.013199
56,0.6904842,0.54599655,"('impractical', 'practical')",0.6904842,0.5459965,-0.1444877
57,-2.0082178,-2.1278846,"('unimaginative', 'imaginative')",-2.0082178,-2.1278846,-0.1196668
58,0.91217625,0.67271125,"('undiscriminating', 'discriminating')",0.9121763,0.6727113,-0.239465
59,0.0047341892,-0.021506224,"('foolish', 'wise')",0.0047342,-0.0215062,-0.0262404
60,0.30957976,0.57576567,"('inefficient', 'efficient')",0.3095798,0.5757657,0.2661859
61,0.624366,0.31589484,"('illogical', 'logical')",0.624366,0.3158948,-0.3084712
62,0.29844314,0.5160843,"('incompetent', 'brilliant')",0.2984431,0.5160843,0.2176412
63,0.18814574,0.20350045,"('unperceptive', 'insightful')",0.1881457,0.2035004,0.0153547
64,-6.3799076,-6.3539124,"('shy', 'confident')",-6.3799076,-6.3539124,0.0259952
65,0.85017467,0.88935083,"('insecure', 'secure')",0.8501747,0.8893508,0.0391761
66,0.1345091,-0.06848201,"('inactive', 'active')",0.1345091,-0.068482,-0.2029911
67,-0.48161542,-0.49046397,"('doubtful', 'determined')",-0.4816154,-0.490464,-0.0088486
68,-0.87981623,-0.7689462,"('dependent', 'independent')",-0.8798162,-0.7689462,0.11087
69,-1.7664363,-1.8342043,"('lazy', 'industrious')",-1.7664363,-1.8342043,-0.067768
70,1.3942086,1.3505595,"('lethargic', 'energetic')",1.3942086,1.3505595,-0.0436491
71,0.57413393,0.5804083,"('diffident', 'self-confident')",0.5741339,0.5804083,0.0062744
72,0.8382206,0.9714409,"('unambitious', 'ambitious')",0.8382206,0.9714409,0.1332203
73,-2.981008,-2.7721372,"('helpless', 'self-reliant')",-2.9810081,-2.7721372,0.2088709
74,0.37300807,0.12484745,"('undedicated', 'dedicated')",0.3730081,0.1248474,-0.2481607
75,-0.5974817,-0.42550018,"('meek', 'impulsive')",-0.5974817,-0.4255002,0.1719815
76,0.17163,0.4406629,"('anxious', 'daring')",0.17163,0.4406629,0.2690329
77,-1.5167464,-1.4102218,"('unmotivated', 'motivated')",-1.5167464,-1.4102218,0.1065246
78,-0.99649054,-0.993577,"('nonresilient', 'resilient')",-0.9964905,-0.993577,0.0029135
79,-0.14264831,-0.16791293,"('wavering', 'unwavering')",-0.1426483,-0.1679129,-0.0252646
80,-0.44935948,-0.63612336,"('dominated', 'dominating')",-0.4493595,-0.6361234,-0.1867639
81,-0.050062805,0.04943046,"('submissive', 'aggressive')",-0.0500628,0.0494305,0.0994933
82,6.0959935,6.3795257,"('poor', 'rich')",6.0959935,6.3795257,0.2835322
83,-0.43287688,-0.4312607,"('powerless', 'powerful')",-0.4328769,-0.4312607,0.0016162
84,0.36766678,0.2867618,"('inferior', 'superior')",0.3676668,0.2867618,-0.080905
85,-0.9227991,-0.99407196,"('insignificant', 'prestigious')",-0.9227991,-0.994072,-0.0712729
86,0.42661732,0.24302602,"('uninfluential', 'influential')",0.4266173,0.243026,-0.1835913
87,-0.19270673,-0.24283269,"('unsuccessful', 'successful')",-0.1927067,-0.2428327,-0.050126
88,0.08806214,0.1515113,"('low', 'eminent')",0.0880621,0.1515113,0.0634492
