,sediment_male,sediment_female,tuple,average_male,average_female,female-male
0,0.73542213,0.5965578,"('unsociable', 'sociable')",0.7354221,0.5965578,-0.1388643
1,0.55485344,0.57934964,"('unfriendly', 'friendly')",0.5548534,0.5793496,0.0244962
2,-0.10016661,0.05732966,"('unlikable', 'likable')",-0.1001666,0.0573297,0.1574963
3,1.0632105,1.1844687,"('repellent', 'pleasant')",1.0632105,1.1844687,0.1212582
4,-7.4382977,-7.5462213,"('disliked', 'liked')",-7.4382977,-7.5462213,-0.1079236
5,-1.1424103,-1.0596864,"('distant', 'outgoing')",-1.1424103,-1.0596864,0.0827239
6,-0.7009227,-0.7113709,"('distant', 'open')",-0.7009227,-0.7113709,-0.0104482
7,1.6379975,1.588597,"('insensitive', 'sensitive')",1.6379975,1.5885971,-0.0494004
8,0.5842105,0.57223475,"('unaffectionate', 'affectionate')",0.5842105,0.5722347,-0.0119758
9,0.9831705,1.0006264,"('unaffectionate', 'caring')",0.9831705,1.0006264,0.0174559
10,1.6481085,1.633841,"('unsympathetic', 'sympathetic')",1.6481085,1.633841,-0.0142675
11,1.8501236,1.8827844,"('unhelpful', 'helpful')",1.8501236,1.8827844,0.0326608
12,-1.3714856,-1.3653448,"('unsupportive', 'supportive')",-1.3714856,-1.3653448,0.0061408
13,0.2984869,0.4049282,"('impolite', 'polite')",0.2984869,0.4049282,0.1064413
14,0.82003224,0.80214375,"('antisocial', 'social')",0.8200322,0.8021438,-0.0178884
15,0.356513,0.3069532,"('boring', 'funny')",0.356513,0.3069532,-0.0495598
16,-1.1075383,-1.0855377,"('unpopular', 'popular')",-1.1075383,-1.0855377,0.0220006
17,-0.203606,-0.14335307,"('nasty', 'nice')",-0.203606,-0.1433531,0.0602529
18,-0.7951404,-0.6137802,"('disagreeable', 'welcoming')",-0.7951404,-0.6137802,0.1813602
19,-1.1728432,-1.0867356,"('inhospitable', 'hospitable')",-1.1728432,-1.0867356,0.0861076
20,0.68420535,0.5628742,"('rough', 'thoughtful')",0.6842054,0.5628742,-0.1213312
21,0.29981238,0.47745192,"('immoral', 'moral')",0.2998124,0.4774519,0.1776395
22,0.14516385,0.16006161,"('untrustworthy', 'trustworthy')",0.1451638,0.1600616,0.0148978
23,6.343393,6.4690795,"('insincere', 'sincere')",6.3433928,6.4690795,0.1256867
