,infrastructure_male,infrastructure_female,tuple,average_male,average_female,female-male
0,-0.16319764,-0.19602793,"('unsociable', 'sociable')",-0.1631976,-0.1960279,-0.0328303
1,1.2853472,1.0417868,"('unfriendly', 'friendly')",1.2853472,1.0417868,-0.2435604
2,0.39610386,0.42459932,"('unlikable', 'likable')",0.3961039,0.4245993,0.0284954
3,0.2696196,0.4683929,"('repellent', 'pleasant')",0.2696196,0.4683929,0.1987733
4,-6.359066,-6.740068,"('disliked', 'liked')",-6.359066,-6.740068,-0.381002
5,-0.15354675,-0.28114355,"('distant', 'outgoing')",-0.1535468,-0.2811435,-0.1275967
6,0.02882047,-0.089089,"('distant', 'open')",0.0288205,-0.089089,-0.1179095
7,1.0434667,1.105098,"('insensitive', 'sensitive')",1.0434667,1.105098,0.0616313
8,1.0421473,0.88251215,"('unaffectionate', 'affectionate')",1.0421473,0.8825122,-0.1596351
9,1.5555335,1.5246724,"('unaffectionate', 'caring')",1.5555335,1.5246724,-0.0308611
10,0.21930775,0.42781788,"('unsympathetic', 'sympathetic')",0.2193078,0.4278179,0.2085101
11,2.2378418,2.3812025,"('unhelpful', 'helpful')",2.2378418,2.3812025,0.1433607
12,-0.7921691,-0.86076653,"('unsupportive', 'supportive')",-0.7921691,-0.8607665,-0.0685974
13,-0.3999433,-0.22083198,"('impolite', 'polite')",-0.3999433,-0.220832,0.1791113
14,0.57108444,0.661604,"('antisocial', 'social')",0.5710844,0.661604,0.0905196
15,0.1665488,0.02159306,"('boring', 'funny')",0.1665488,0.0215931,-0.1449557
16,-0.16761519,-0.19298956,"('unpopular', 'popular')",-0.1676152,-0.1929896,-0.0253744
17,-0.12405518,-0.046986848,"('nasty', 'nice')",-0.1240552,-0.0469868,0.0770684
18,-0.856354,-0.8914894,"('disagreeable', 'welcoming')",-0.856354,-0.8914894,-0.0351354
19,-0.40274847,-0.4351073,"('inhospitable', 'hospitable')",-0.4027485,-0.4351073,-0.0323588
20,0.23981781,0.1667943,"('rough', 'thoughtful')",0.2398178,0.1667943,-0.0730235
21,-0.37754846,-0.14041932,"('immoral', 'moral')",-0.3775485,-0.1404193,0.2371292
22,-0.85417795,-0.77627534,"('untrustworthy', 'trustworthy')",-0.854178,-0.7762753,0.0779027
23,6.2524576,6.4667683,"('insincere', 'sincere')",6.2524576,6.4667683,0.2143107
24,1.121904,1.2056246,"('dishonest', 'honest')",1.121904,1.2056246,0.0837206
25,0.94662863,0.81384695,"('egoistic', 'altruistic')",0.9466286,0.8138469,-0.1327817
26,1.6606838,1.425681,"('hardhearted', 'benevolent')",1.6606838,1.425681,-0.2350028
27,0.9611072,0.9587483,"('hardhearted', 'softhearted')",0.9611072,0.9587483,-0.0023589
28,1.1769547,1.1047369,"('disloyal', 'loyal')",1.1769547,1.1047369,-0.0722178
29,-0.73272884,-0.86281615,"('unfair', 'fair')",-0.7327288,-0.8628162,-0.1300874
30,1.0942945,1.2672892,"('intolerant', 'tolerant')",1.0942945,1.2672892,0.1729947
31,-1.3250501,-1.480617,"('evil', 'good')",-1.3250501,-1.480617,-0.1555669
32,1.0825361,1.0628963,"('unkind', 'kind')",1.0825361,1.0628963,-0.0196398
33,0.37281054,0.21839108,"('wrong', 'right')",0.3728105,0.2183911,-0.1544194
34,4.7794294,5.1354513,"('mean', 'honorable')",4.7794294,5.1354513,0.3560219
35,-1.0299789,-1.3372226,"('corrupt', 'incorrupt')",-1.0299789,-1.3372226,-0.3072437
36,-0.4555512,-0.7606932,"('hostile', 'amicable')",-0.4555512,-0.7606932,-0.305142
37,0.6887044,0.6581573,"('fake', 'genuine')",0.6887044,0.6581573,-0.0305471
38,0.7013605,0.7137152,"('untruthful', 'truthful')",0.7013605,0.7137152,0.0123547
39,0.085177146,0.24738878,"('exploitative', 'cooperative')",0.0851771,0.2473888,0.1622117
40,-1.5926697,-1.8241524,"('stingy', 'generous')",-1.5926697,-1.8241524,-0.2314827
41,0.22105993,0.13047388,"('unforgiving', 'forgiving')",0.2210599,0.1304739,-0.090586
42,-3.0552833,-2.9363027,"('unreliable', 'reliable')",-3.0552833,-2.9363027,0.1189806
43,0.86652017,1.0419204,"('irresponsible', 'responsible')",0.8665202,1.0419204,0.1754002
44,-1.3529899,-1.3390644,"('prejudiced', 'unprejudiced')",-1.3529899,-1.3390644,0.0139255
45,0.30312026,0.30783072,"('incompetent', 'competent')",0.3031203,0.3078307,0.0047104
46,-0.98045653,-0.91823226,"('uncompetitive', 'competitive')",-0.9804565,-0.9182323,0.0622242
47,5.1399136,5.4215684,"('stupid', 'smart')",5.1399136,5.4215684,0.2816548
48,-0.059991337,0.016516367,"('unintelligent', 'intelligent')",-0.0599913,0.0165164,0.0765077
49,-0.7359955,-0.47949022,"('unable', 'able')",-0.7359955,-0.4794902,0.2565053
50,-0.6657431,-0.64104986,"('clumsy', 'skillful')",-0.6657431,-0.6410499,0.0246932
51,0.3167252,0.35073814,"('uneducated', 'educated')",0.3167252,0.3507381,0.0340129
52,-0.06360948,-0.26893094,"('irrational', 'rational')",-0.0636095,-0.2689309,-0.2053214
53,0.22429198,0.07835892,"('uncreative', 'creative')",0.224292,0.0783589,-0.1459331
54,0.6052314,0.6644306,"('incapable', 'capable')",0.6052314,0.6644306,0.0591992
55,0.021760762,0.20732723,"('incompetent', 'clever')",0.0217608,0.2073272,0.1855664
56,0.45946348,0.5927271,"('impractical', 'practical')",0.4594635,0.5927271,0.1332636
57,-2.0026674,-2.2334266,"('unimaginative', 'imaginative')",-2.0026674,-2.2334266,-0.2307592
58,0.33860266,0.27593127,"('undiscriminating', 'discriminating')",0.3386027,0.2759313,-0.0626714
59,0.48623207,0.4004802,"('foolish', 'wise')",0.4862321,0.4004802,-0.0857519
60,0.21426043,0.597249,"('inefficient', 'efficient')",0.2142604,0.597249,0.3829886
61,0.32834944,0.23002045,"('illogical', 'logical')",0.3283494,0.2300204,-0.098329
62,0.5876861,0.84332675,"('incompetent', 'brilliant')",0.5876861,0.8433267,0.2556406
63,0.7171524,0.78911316,"('unperceptive', 'insightful')",0.7171524,0.7891132,0.0719608
64,-5.96723,-6.016719,"('shy', 'confident')",-5.9672298,-6.0167189,-0.0494891
65,-0.5329971,-0.24932253,"('insecure', 'secure')",-0.5329971,-0.2493225,0.2836746
66,0.29087484,0.06909181,"('inactive', 'active')",0.2908748,0.0690918,-0.221783
67,-0.09328301,0.002943487,"('doubtful', 'determined')",-0.093283,0.0029435,0.0962265
68,-1.5314229,-1.4104338,"('dependent', 'independent')",-1.5314229,-1.4104338,0.1209891
69,-0.9316509,-1.1643074,"('lazy', 'industrious')",-0.9316509,-1.1643074,-0.2326565
70,0.7164973,0.8406951,"('lethargic', 'energetic')",0.7164973,0.8406951,0.1241978
71,0.9099978,0.84266233,"('diffident', 'self-confident')",0.9099978,0.8426623,-0.0673355
72,0.7784645,0.8229174,"('unambitious', 'ambitious')",0.7784645,0.8229174,0.0444529
73,-3.158122,-3.1946967,"('helpless', 'self-reliant')",-3.1581221,-3.1946967,-0.0365746
74,0.05956716,0.047795475,"('undedicated', 'dedicated')",0.0595672,0.0477955,-0.0117717
75,-0.5592298,-0.6950698,"('meek', 'impulsive')",-0.5592298,-0.6950698,-0.13584
76,-0.5995246,-0.4211412,"('anxious', 'daring')",-0.5995246,-0.4211412,0.1783834
77,-1.0765764,-0.8952695,"('unmotivated', 'motivated')",-1.0765764,-0.8952695,0.1813069
78,-0.28403035,-0.38467973,"('nonresilient', 'resilient')",-0.2840303,-0.3846797,-0.1006494
79,0.14399269,-0.021633826,"('wavering', 'unwavering')",0.1439927,-0.0216338,-0.1656265
80,0.141525,0.19289356,"('dominated', 'dominating')",0.141525,0.1928936,0.0513686
81,-0.34085193,-0.12388374,"('submissive', 'aggressive')",-0.3408519,-0.1238837,0.2169682
82,5.3517456,5.5777025,"('poor', 'rich')",5.3517456,5.5777025,0.2259569
83,-0.16268715,-0.1273838,"('powerless', 'powerful')",-0.1626872,-0.1273838,0.0353034
84,-0.32737982,-0.26597756,"('inferior', 'superior')",-0.3273798,-0.2659776,0.0614022
85,0.13430348,-0.11241673,"('insignificant', 'prestigious')",0.1343035,-0.1124167,-0.2467202
86,0.6357301,0.537274,"('uninfluential', 'influential')",0.6357301,0.537274,-0.0984561
87,0.17327261,0.22590268,"('unsuccessful', 'successful')",0.1732726,0.2259027,0.0526301
88,0.3045715,0.23203857,"('low', 'eminent')",0.3045715,0.2320386,-0.0725329
