,leggett_male,leggett_female,tuple,&_male,&_female,platt_male,platt_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.5449919,-1.7297013,"('unsociable', 'sociable')",0.3542564,0.32265517,-0.09395364,-0.17134802,-0.60434306,-0.7540344,-0.472258,-0.5831071,-0.1108491
1,-1.9300737,-2.0558069,"('unfriendly', 'friendly')",-0.6184399,-0.70231014,-0.6596248,-0.7987693,1.7580471,1.5974889,-0.3625228,-0.4898493,-0.1273265
2,-0.44056636,-0.31676036,"('unlikable', 'likable')",0.8774142,0.98324716,0.14263983,0.26620796,0.2055559,0.29039362,0.1962609,0.3057721,0.1095112
3,-1.3806734,-1.3329726,"('repellent', 'pleasant')",-0.013456808,0.07865372,-1.0070891,-0.9823076,-0.3506541,-0.31490695,-0.6879684,-0.6378834,0.050085
4,0.96249455,0.8488575,"('disliked', 'liked')",-0.06422698,-0.19780695,0.22024769,0.13204315,-5.304441,-5.28661,-1.0464814,-1.125879,-0.0793976
5,0.80387396,0.8220145,"('distant', 'outgoing')",-0.4675895,-0.49718454,0.26943025,0.34847173,0.24590605,0.24590892,0.2129052,0.2298027,0.0168975
6,0.73261124,0.7807255,"('distant', 'open')",-0.5635902,-0.5768523,0.58764756,0.67484266,0.699283,0.653484,0.3639879,0.38305,0.0190621
7,-1.3889445,-1.4245508,"('insensitive', 'sensitive')",-0.3205647,-0.15566933,-0.5031148,-0.49131525,0.4554133,0.39541844,-0.4393027,-0.4190292,0.0202735
8,-0.5604783,-0.60440624,"('unaffectionate', 'affectionate')",-0.3701082,-0.40663823,1.5319145,1.4939097,1.1384945,0.97224385,0.4349556,0.3637773,-0.0711783
9,-1.4654995,-1.5513022,"('unaffectionate', 'caring')",-0.43581542,-0.44174215,0.6680055,0.6157985,1.1778775,1.0285386,-0.013858,-0.0871768,-0.0733188
10,-2.2681262,-2.3466833,"('unsympathetic', 'sympathetic')",0.05863982,0.14773656,-0.8089279,-0.9189941,-0.2936273,-0.40564495,-0.8280104,-0.8808964,-0.052886
11,-1.9984585,-2.018784,"('unhelpful', 'helpful')",-1.0878156,-0.9767269,-1.207849,-1.2012839,1.2454537,1.224033,-0.7621673,-0.7431905,0.0189768
12,-1.5389239,-1.5828738,"('unsupportive', 'supportive')",0.5354229,0.6909292,0.10810678,0.111454464,-1.2157419,-1.1841719,-0.527784,-0.4911655,0.0366185
13,-1.4827662,-1.5383198,"('impolite', 'polite')",0.09817524,0.18089473,-0.019811295,-0.065979525,-0.8227998,-0.8488201,-0.5568005,-0.5680562,-0.0112557
14,-1.2355672,-1.2746837,"('antisocial', 'social')",0.9833784,1.0359627,-0.24283405,-0.26300716,-1.0240378,-1.0389111,-0.3797652,-0.3851598,-0.0053946
15,0.23258153,0.23463714,"('boring', 'funny')",0.23671758,0.16729096,0.5971408,0.59582865,0.6099006,0.56935996,0.4190851,0.3917792,-0.0273059
16,-0.28156754,-0.2570993,"('unpopular', 'popular')",0.018883936,0.13545531,-0.77767783,-0.7304786,0.24857554,0.2799365,-0.1979465,-0.1430465,0.0549
17,0.13274415,0.14723155,"('nasty', 'nice')",0.23228773,0.31965202,0.16950043,0.20912021,-0.48590872,-0.46766087,0.0121559,0.0520857,0.0399298
18,-0.7362931,-0.7102954,"('disagreeable', 'welcoming')",0.07625573,0.29318267,-0.28624296,-0.23986414,-0.6706581,-0.6845482,-0.4042346,-0.3353813,0.0688533
19,0.757433,0.8278235,"('inhospitable', 'hospitable')",-1.2679014,-1.1436359,0.63084316,0.7134608,0.1786483,0.18823828,0.0747558,0.1464717,0.0717159
20,-0.20480467,-0.23872034,"('rough', 'thoughtful')",0.78094745,0.8259346,0.19568416,0.21535906,1.38825,1.3183777,0.5400193,0.5302378,-0.0097815
21,-1.2561337,-1.2636566,"('immoral', 'moral')",0.45223695,0.60017747,-2.2333822,-2.2577305,-1.3273885,-1.3009591,-1.0911669,-1.0555422,0.0356247
22,-0.6102715,-0.7018772,"('untrustworthy', 'trustworthy')",-0.10016567,-0.13830447,-0.5594965,-0.59270626,-1.0691351,-1.1436753,-0.5847672,-0.6441408,-0.0593736
23,-2.8121524,-2.8970559,"('insincere', 'sincere')",-0.94330573,-0.8364145,-0.2981857,-0.27142295,4.359855,4.164813,0.0765529,0.0399799,-0.036573
24,-1.370734,-1.4470813,"('dishonest', 'honest')",-0.5888799,-0.53608036,-0.064430326,-0.089979716,0.26504794,0.17423168,-0.439749,-0.4747274,-0.0349784
25,0.3530513,0.34890375,"('egoistic', 'altruistic')",-0.16795343,-0.15375799,1.7527288,1.7771143,1.3229679,1.2901442,0.8151987,0.8156011,0.0004024
26,-0.49697575,-0.5482567,"('hardhearted', 'benevolent')",1.4128057,1.3310009,1.3159453,1.1401927,2.0230253,1.9340624,1.0637002,0.9642498,-0.0994504
