,great-grandfather_male,great-grandfather_female,tuple,average_male,average_female,female-male
0,-0.30829751,-0.62405926,"('unsociable', 'sociable')",-0.3082975,-0.6240593,-0.3157618
1,-0.044965714,-0.13482909,"('unfriendly', 'friendly')",-0.0449657,-0.1348291,-0.0898634
2,-0.86344117,-0.5942136,"('unlikable', 'likable')",-0.8634412,-0.5942136,0.2692276
3,-0.802563,-0.54116684,"('repellent', 'pleasant')",-0.802563,-0.5411668,0.2613962
4,1.0691785,1.0625521,"('disliked', 'liked')",1.0691785,1.0625521,-0.0066264
5,-1.113898,-1.1872443,"('distant', 'outgoing')",-1.113898,-1.1872443,-0.0733463
6,-1.4421235,-1.5361493,"('distant', 'open')",-1.4421235,-1.5361493,-0.0940258
7,-0.52507156,-0.5666127,"('insensitive', 'sensitive')",-0.5250716,-0.5666127,-0.0415411
8,0.65082884,0.44161576,"('unaffectionate', 'affectionate')",0.6508288,0.4416158,-0.209213
9,0.16705537,0.008902542,"('unaffectionate', 'caring')",0.1670554,0.0089025,-0.1581529
10,-1.1172376,-1.4462746,"('unsympathetic', 'sympathetic')",-1.1172376,-1.4462746,-0.329037
11,-0.8747281,-0.99553216,"('unhelpful', 'helpful')",-0.8747281,-0.9955322,-0.1208041
12,-0.25178036,-0.33868808,"('unsupportive', 'supportive')",-0.2517804,-0.3386881,-0.0869077
13,-0.42874593,-0.55889875,"('impolite', 'polite')",-0.4287459,-0.5588987,-0.1301528
14,-1.172432,-1.2025564,"('antisocial', 'social')",-1.1724319,-1.2025564,-0.0301245
15,1.0309304,1.1625855,"('boring', 'funny')",1.0309304,1.1625855,0.1316551
16,-0.92870057,-0.63657457,"('unpopular', 'popular')",-0.9287006,-0.6365746,0.292126
17,0.47373194,0.51112473,"('nasty', 'nice')",0.4737319,0.5111247,0.0373928
18,0.19810297,0.37835297,"('disagreeable', 'welcoming')",0.198103,0.378353,0.18025
19,0.5602121,0.48359352,"('inhospitable', 'hospitable')",0.5602121,0.4835935,-0.0766186
20,0.49175683,0.37411743,"('rough', 'thoughtful')",0.4917568,0.3741174,-0.1176394
21,-0.79004663,-0.76495206,"('immoral', 'moral')",-0.7900466,-0.7649521,0.0250945
22,-0.9292449,-0.9472458,"('untrustworthy', 'trustworthy')",-0.9292449,-0.9472458,-0.0180009
23,0.41366497,0.38212678,"('insincere', 'sincere')",0.413665,0.3821268,-0.0315382
24,-0.54754126,-0.6360784,"('dishonest', 'honest')",-0.5475413,-0.6360784,-0.0885371
25,0.3217146,0.5769887,"('egoistic', 'altruistic')",0.3217146,0.5769887,0.2552741
26,1.7106715,1.311684,"('hardhearted', 'benevolent')",1.7106715,1.311684,-0.3989875
27,-0.8167414,-1.076969,"('hardhearted', 'softhearted')",-0.8167414,-1.076969,-0.2602276
28,0.16677645,-0.06532515,"('disloyal', 'loyal')",0.1667764,-0.0653251,-0.2321015
29,-0.7144748,-0.7601276,"('unfair', 'fair')",-0.7144748,-0.7601276,-0.0456528
30,0.1842396,0.3291481,"('intolerant', 'tolerant')",0.1842396,0.3291481,0.1449085
31,-1.1499845,-1.027309,"('evil', 'good')",-1.1499845,-1.0273089,0.1226756
32,0.6450916,0.45310995,"('unkind', 'kind')",0.6450916,0.4531099,-0.1919817
33,-0.276399,-0.26956004,"('wrong', 'right')",-0.276399,-0.26956,0.006839
34,0.6489466,0.48960078,"('mean', 'honorable')",0.6489466,0.4896008,-0.1593458
35,0.39538345,0.3999825,"('corrupt', 'incorrupt')",0.3953834,0.3999825,0.0045991
36,0.52266014,0.42732114,"('hostile', 'amicable')",0.5226601,0.4273211,-0.095339
37,0.62909555,0.40175617,"('fake', 'genuine')",0.6290956,0.4017562,-0.2273394
38,-0.7126422,-0.8240674,"('untruthful', 'truthful')",-0.7126422,-0.8240674,-0.1114252
39,-0.98323274,-0.91973275,"('exploitative', 'cooperative')",-0.9832327,-0.9197327,0.0635
40,0.83507204,0.8069335,"('stingy', 'generous')",0.835072,0.8069335,-0.0281385
41,-0.47717965,-0.49264058,"('unforgiving', 'forgiving')",-0.4771796,-0.4926406,-0.015461
42,0.3869849,0.4693211,"('unreliable', 'reliable')",0.3869849,0.4693211,0.0823362
43,-1.1251175,-1.3197012,"('irresponsible', 'responsible')",-1.1251175,-1.3197012,-0.1945837
44,-1.4331901,-1.3416319,"('prejudiced', 'unprejudiced')",-1.4331901,-1.3416319,0.0915582
45,-0.59471977,-0.76101327,"('incompetent', 'competent')",-0.5947198,-0.7610133,-0.1662935
46,-1.1317859,-1.4759032,"('uncompetitive', 'competitive')",-1.1317859,-1.4759032,-0.3441173
47,-0.52814746,-0.57621616,"('stupid', 'smart')",-0.5281475,-0.5762162,-0.0480687
48,-0.2727588,-0.24130708,"('unintelligent', 'intelligent')",-0.2727588,-0.2413071,0.0314517
49,-1.0187228,-0.68051726,"('unable', 'able')",-1.0187228,-0.6805173,0.3382055
50,1.1698192,1.3600681,"('clumsy', 'skillful')",1.1698192,1.3600681,0.1902489
51,1.3014519,1.4145514,"('uneducated', 'educated')",1.3014519,1.4145514,0.1130995
52,-1.4773233,-1.2166272,"('irrational', 'rational')",-1.4773233,-1.2166272,0.2606961
53,-0.5148441,-0.7522794,"('uncreative', 'creative')",-0.5148441,-0.7522794,-0.2374353
54,-0.5148888,-0.28918517,"('incapable', 'capable')",-0.5148888,-0.2891852,0.2257036
55,-0.095456,0.08387573,"('incompetent', 'clever')",-0.095456,0.0838757,0.1793317
56,1.1599793,0.9428298,"('impractical', 'practical')",1.1599793,0.9428298,-0.2171495
57,-0.67631197,-0.9942878,"('unimaginative', 'imaginative')",-0.676312,-0.9942878,-0.3179758
58,-0.2733088,-0.7969627,"('undiscriminating', 'discriminating')",-0.2733088,-0.7969627,-0.5236539
59,-0.1054679,0.23253566,"('foolish', 'wise')",-0.1054679,0.2325357,0.3380036
60,-0.9847452,-0.8131948,"('inefficient', 'efficient')",-0.9847452,-0.8131948,0.1715504
61,-1.532777,-1.67361,"('illogical', 'logical')",-1.532777,-1.67361,-0.140833
62,-0.559147,-0.2379408,"('incompetent', 'brilliant')",-0.559147,-0.2379408,0.3212062
63,-1.1498262,-1.2093908,"('unperceptive', 'insightful')",-1.1498262,-1.2093908,-0.0595646
64,-0.41745722,-0.18989089,"('shy', 'confident')",-0.4174572,-0.1898909,0.2275663
65,0.46843165,0.4779259,"('insecure', 'secure')",0.4684317,0.4779259,0.0094942
66,1.7169539,1.1373608,"('inactive', 'active')",1.7169539,1.1373608,-0.5795931
67,0.060811456,0.12413177,"('doubtful', 'determined')",0.0608115,0.1241318,0.0633203
68,-1.7311685,-1.6967518,"('dependent', 'independent')",-1.7311685,-1.6967518,0.0344167
69,-0.9420871,-0.7299119,"('lazy', 'industrious')",-0.9420871,-0.7299119,0.2121752
70,0.46659175,0.15328684,"('lethargic', 'energetic')",0.4665917,0.1532868,-0.3133049
71,0.28984633,0.1230667,"('diffident', 'self-confident')",0.2898463,0.1230667,-0.1667796
