,ust_male,ust_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.23056969,-0.34238648,"('unsociable', 'sociable')",-0.13323407,-0.23869361,-0.1819019,-0.29054,-0.1086381
1,-1.2560241,-1.2383432,"('unfriendly', 'friendly')",1.6013651,1.541619,0.1726705,0.1516379,-0.0210326
2,0.74389374,0.82725847,"('unlikable', 'likable')",0.65677744,0.6941463,0.7003356,0.7607024,0.0603668
3,0.4192002,0.45673788,"('repellent', 'pleasant')",0.302615,0.31761503,0.3609076,0.3871765,0.0262689
4,-0.13570839,-0.25488493,"('disliked', 'liked')",-6.023217,-6.096886,-3.0794628,-3.1758854,-0.0964226
5,-1.6420077,-1.5670509,"('distant', 'outgoing')",-0.57505,-0.57182324,-1.1085289,-1.069437,0.0390919
6,-2.1359997,-2.010502,"('distant', 'open')",-0.2674399,-0.28930107,-1.2017198,-1.1499016,0.0518182
7,0.012349077,-0.0064076353,"('insensitive', 'sensitive')",0.48943776,0.5219368,0.2508934,0.2577646,0.0068712
8,-1.5055623,-1.4599487,"('unaffectionate', 'affectionate')",0.47814286,0.41705894,-0.5137097,-0.5214449,-0.0077352
9,-1.2422252,-1.2176125,"('unaffectionate', 'caring')",0.80911285,0.777171,-0.2165562,-0.2202207,-0.0036645
10,0.18452057,0.14112972,"('unsympathetic', 'sympathetic')",-0.53491455,-0.53578347,-0.175197,-0.1973269,-0.0221299
11,0.37122428,0.3530238,"('unhelpful', 'helpful')",1.503841,1.5383787,0.9375327,0.9457012,0.0081685
12,-0.29871103,-0.2292872,"('unsupportive', 'supportive')",-1.9753423,-1.9481783,-1.1370267,-1.0887327,0.048294
13,0.24890047,0.16118002,"('impolite', 'polite')",-0.4717087,-0.47915655,-0.1114041,-0.1589883,-0.0475842
14,0.7850822,0.6957779,"('antisocial', 'social')",-0.13092059,-0.20077445,0.3270808,0.2475017,-0.0795791
15,0.10045292,0.037422754,"('boring', 'funny')",0.64766693,0.6395713,0.3740599,0.338497,-0.0355629
16,-0.2001347,-0.2388057,"('unpopular', 'popular')",0.8527246,0.8166005,0.326295,0.2888974,-0.0373976
17,-0.10541898,-0.057117432,"('nasty', 'nice')",-0.4101787,-0.38595995,-0.2577989,-0.2215387,0.0362602
18,-0.5740848,-0.576655,"('disagreeable', 'welcoming')",-0.26263982,-0.30590567,-0.4183623,-0.4412803,-0.022918
19,-0.9588987,-0.8812373,"('inhospitable', 'hospitable')",-0.25664526,-0.21193248,-0.607772,-0.5465849,0.0611871
20,0.50238955,0.5425986,"('rough', 'thoughtful')",1.3195868,1.3078809,0.9109882,0.9252397,0.0142515
21,1.1931086,1.1221297,"('immoral', 'moral')",-0.015194975,0.01839178,0.5889568,0.5702607,-0.0186961
22,0.18931532,0.10123669,"('untrustworthy', 'trustworthy')",-0.97264457,-1.0499369,-0.3916646,-0.4743501,-0.0826855
23,-0.00583106,-0.032440618,"('insincere', 'sincere')",5.482735,5.402074,2.738452,2.6848166,-0.0536354
24,0.13229828,0.10591278,"('dishonest', 'honest')",0.6154946,0.5639375,0.3738964,0.3349251,-0.0389713
25,-0.5060928,-0.5031456,"('egoistic', 'altruistic')",1.4742144,1.4826816,0.4840608,0.489768,0.0057072
26,-0.17339309,-0.13921961,"('hardhearted', 'benevolent')",1.9205248,1.9007379,0.8735659,0.8807591,0.0071932
27,-0.46856773,-0.44863537,"('hardhearted', 'softhearted')",1.2568649,1.219326,0.3941486,0.3853453,-0.0088033
28,-0.15934572,-0.28103328,"('disloyal', 'loyal')",1.071162,0.9297077,0.4559081,0.3243372,-0.1315709
29,-0.8914033,-0.9832177,"('unfair', 'fair')",-0.52438504,-0.66215724,-0.7078942,-0.8226875,-0.1147933
30,1.04075,0.96416557,"('intolerant', 'tolerant')",1.6080226,1.5422055,1.3243864,1.2531855,-0.0712009
31,-1.4489539,-1.2802008,"('evil', 'good')",-0.9832859,-1.0093125,-1.2161199,-1.1447567,0.0713632
32,0.39861083,0.27899802,"('unkind', 'kind')",1.058735,0.93515563,0.7286729,0.6070768,-0.1215961
33,-0.01920636,-0.0715369,"('wrong', 'right')",-0.7940247,-0.8403924,-0.4066155,-0.4559647,-0.0493492
34,-0.013242856,0.15481007,"('mean', 'honorable')",5.893021,5.993322,2.9398892,3.0740659,0.1341767
