,gilead_male,gilead_female,tuple,sciences_male,sciences_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.8656916,-0.9279675,"('unsociable', 'sociable')",0.03473927,0.0072755516,-0.49356878,-0.5946019,-0.441507,-0.5050979,-0.0635909
1,-1.4424822,-1.6679461,"('unfriendly', 'friendly')",-0.48082373,-0.75281423,1.70326,1.5353963,-0.0733487,-0.2951214,-0.2217727
2,0.34021735,0.3585389,"('unlikable', 'likable')",0.4674909,0.4752639,0.4706701,0.5308128,0.4261261,0.4548719,0.0287458
3,-1.0097922,-0.96447146,"('repellent', 'pleasant')",-0.08674034,-0.057593733,0.029239522,0.037981585,-0.3557643,-0.3280279,0.0277364
4,0.26116693,0.16383478,"('disliked', 'liked')",-0.36693174,-0.5152221,-5.546539,-5.707941,-1.8841012,-2.0197762,-0.135675
5,-0.92052954,-1.0094422,"('distant', 'outgoing')",-0.8455031,-0.9562058,0.037338614,-0.03177309,-0.5762314,-0.665807,-0.0895756
6,-0.7114072,-0.8049259,"('distant', 'open')",-0.97395796,-1.1387559,0.6386126,0.5208483,-0.3489175,-0.4742779,-0.1253604
7,-0.8420767,-0.80220276,"('insensitive', 'sensitive')",-0.46098432,-0.39231178,0.3749334,0.3644077,-0.3093759,-0.2767023,0.0326736
8,-0.3041358,-0.4286275,"('unaffectionate', 'affectionate')",0.1586575,0.0660024,0.8294775,0.6387247,0.2279997,0.0920332,-0.1359665
9,-0.9013681,-1.0320525,"('unaffectionate', 'caring')",0.17971241,0.106320545,0.8408507,0.74950373,0.0397317,-0.0587427,-0.0984744
10,-1.7969688,-1.777318,"('unsympathetic', 'sympathetic')",-1.1373081,-1.0773165,-0.77118266,-0.7721878,-1.2351532,-1.2089408,0.0262124
11,-1.2897898,-1.2823969,"('unhelpful', 'helpful')",-0.03295808,0.056008853,1.0878271,1.200639,-0.0783069,-0.008583,0.0697239
12,-0.34116486,-0.35864127,"('unsupportive', 'supportive')",-0.15607886,-0.08273078,-1.9818494,-2.0110068,-0.8263644,-0.8174596,0.0089048
13,-1.3318462,-1.2651166,"('impolite', 'polite')",-1.0162526,-0.946185,-0.6131872,-0.59415364,-0.9870954,-0.9351517,0.0519437
14,-0.23189694,-0.20408793,"('antisocial', 'social')",0.6358965,0.7262313,-0.6734779,-0.68608403,-0.0898261,-0.0546469,0.0351792
15,0.41684234,0.3494958,"('boring', 'funny')",-0.15021981,-0.20686334,0.6926951,0.6793226,0.3197725,0.273985,-0.0457875
16,0.10348669,0.047336534,"('unpopular', 'popular')",0.17697085,0.10587842,0.96730554,0.91958654,0.4159211,0.3576005,-0.0583206
17,-0.3161348,-0.3335202,"('nasty', 'nice')",-0.31659803,-0.3061582,-0.13158385,-0.061027728,-0.2547722,-0.2335687,0.0212035
18,0.55893826,0.5146375,"('disagreeable', 'welcoming')",0.16176656,0.15575933,-0.22126159,-0.3366884,0.1664811,0.1112361,-0.055245
