,hershey_male,hershey_female,tuple,co_male,co_female,average_male,average_female,female-male
0,-0.42730296,-0.45001084,"('unsociable', 'sociable')",-0.29714444,-0.3731358,-0.3622237,-0.4115733,-0.0493496
1,0.49185282,0.6755109,"('unfriendly', 'friendly')",1.3927839,1.2492211,0.9423183,0.962366,0.0200477
2,-0.06199461,-0.08872271,"('unlikable', 'likable')",0.49119967,0.55102205,0.2146025,0.2311497,0.0165472
3,-1.2498932,-1.053045,"('repellent', 'pleasant')",0.25819647,0.29286626,-0.4958484,-0.3800894,0.115759
4,0.4677192,0.45066035,"('disliked', 'liked')",-6.944769,-6.9765487,-3.2385249,-3.2629442,-0.0244193
5,0.636044,0.6959125,"('distant', 'outgoing')",-0.4959066,-0.50152117,0.0700687,0.0971957,0.027127
6,0.34235093,0.4716574,"('distant', 'open')",-0.27155936,-0.2737601,0.0353958,0.0989486,0.0635528
7,-0.49380654,-0.41962424,"('insensitive', 'sensitive')",-0.2973452,-0.2573164,-0.3955759,-0.3384703,0.0571056
8,0.46414274,0.43499106,"('unaffectionate', 'affectionate')",0.85226643,0.7510371,0.6582046,0.5930141,-0.0651905
9,0.41669473,0.41241837,"('unaffectionate', 'caring')",1.1747336,1.1209229,0.7957142,0.7666706,-0.0290436
10,-0.84504056,-0.7680705,"('unsympathetic', 'sympathetic')",-0.4481328,-0.4543067,-0.6465867,-0.6111886,0.0353981
11,-1.1253692,-1.230417,"('unhelpful', 'helpful')",1.565708,1.574326,0.2201694,0.1719545,-0.0482149
12,-0.21756445,-0.12863415,"('unsupportive', 'supportive')",-2.1700337,-2.10599,-1.193799,-1.1173121,0.0764869
13,-0.73486584,-0.89133525,"('impolite', 'polite')",-0.6953193,-0.6993412,-0.7150925,-0.7953382,-0.0802457
14,-0.17802764,-0.24802774,"('antisocial', 'social')",-0.3915349,-0.4707989,-0.2847813,-0.3594133,-0.074632
15,0.5081665,0.4030598,"('boring', 'funny')",0.4388737,0.38079163,0.4735201,0.3919257,-0.0815944
16,-0.39784274,-0.28242728,"('unpopular', 'popular')",-0.24392574,-0.3096558,-0.3208842,-0.2960415,0.0248427
17,-0.6535225,-0.656926,"('nasty', 'nice')",-0.29553062,-0.31838673,-0.4745266,-0.4876564,-0.0131298
18,-0.35478267,-0.23157245,"('disagreeable', 'welcoming')",-1.0306423,-1.0559617,-0.6927125,-0.6437671,0.0489454
19,-0.66503257,-0.6416926,"('inhospitable', 'hospitable')",-0.35759065,-0.34343418,-0.5113116,-0.4925634,0.0187482
20,-0.0068137087,0.092742346,"('rough', 'thoughtful')",0.48753598,0.43068463,0.2403611,0.2617135,0.0213524
21,-0.69628096,-0.653595,"('immoral', 'moral')",-0.9752901,-0.9108108,-0.8357855,-0.7822029,0.0535826
22,-0.8259994,-0.8607559,"('untrustworthy', 'trustworthy')",-1.0257849,-1.082358,-0.9258921,-0.971557,-0.0456649
23,-0.9023907,-0.8795164,"('insincere', 'sincere')",5.7686405,5.64704,2.433125,2.3837616,-0.0493634
24,-0.06274426,-0.09534944,"('dishonest', 'honest')",0.8514217,0.8396659,0.3943387,0.3721582,-0.0221805
25,1.2752686,1.3841884,"('egoistic', 'altruistic')",1.1805918,1.1631992,1.2279302,1.2736938,0.0457636
26,1.3086046,1.3827257,"('hardhearted', 'benevolent')",1.4672717,1.3802267,1.3879381,1.3814762,-0.0064619
27,0.38066682,0.44340587,"('hardhearted', 'softhearted')",0.96882105,0.9057303,0.674744,0.6745681,-0.0001759
28,-0.37055987,-0.43293518,"('disloyal', 'loyal')",0.94884545,0.7980416,0.2891428,0.1825532,-0.1065896
29,-0.28403422,-0.36651126,"('unfair', 'fair')",-0.61436903,-0.64856154,-0.4492016,-0.5075364,-0.0583348
