,hormel_male,hormel_female,tuple,foods_male,foods_female,corp_male,corp_female,average_male,average_female,female-male
0,-1.3323293,-1.5653219,"('unsociable', 'sociable')",0.73364115,0.5413265,-0.6490459,-0.7939518,-0.4159114,-0.6059824,-0.190071
1,-0.84309244,-0.7118797,"('unfriendly', 'friendly')",0.7624626,0.69008523,1.487989,1.4296608,0.4691197,0.4692888,0.0001691
2,0.46186575,0.35996053,"('unlikable', 'likable')",0.52890456,0.45408767,0.5642961,0.5854618,0.5183555,0.4665033,-0.0518522
3,-1.2442956,-1.200836,"('repellent', 'pleasant')",-1.4236935,-1.27653,0.46514067,0.553639,-0.7342829,-0.6412423,0.0930406
4,0.65852356,0.6187598,"('disliked', 'liked')",0.057908673,0.07725395,-7.2323685,-7.2430205,-2.1719788,-2.1823355,-0.0103567
5,0.6084346,0.68071055,"('distant', 'outgoing')",0.36599004,0.38767385,-0.13681568,-0.035175227,0.279203,0.3444031,0.0652001
6,0.23819667,0.36337087,"('distant', 'open')",0.18939933,0.24024907,-0.09202895,0.010533586,0.1118557,0.2047178,0.0928621
7,-1.1410327,-1.2418289,"('insensitive', 'sensitive')",-0.040072255,0.08478367,0.21606754,0.23997098,-0.3216791,-0.3056914,0.0159877
8,-0.20696181,-0.1975919,"('unaffectionate', 'affectionate')",0.71829766,0.7062973,1.0915104,1.0756401,0.5342821,0.5281152,-0.0061669
9,-0.96584463,-0.93427026,"('unaffectionate', 'caring')",0.8122929,0.8469318,1.4559582,1.5447726,0.4341355,0.4858114,0.0516759
10,-2.240852,-2.458771,"('unsympathetic', 'sympathetic')",-0.38455078,-0.4576105,-1.0648372,-1.1305639,-1.23008,-1.3489817,-0.1189017
11,-1.2564021,-1.310066,"('unhelpful', 'helpful')",-0.3192503,-0.289344,1.3439081,1.4942207,-0.0772481,-0.0350631,0.042185
12,-0.31044078,-0.32791615,"('unsupportive', 'supportive')",0.6194843,0.6767874,-2.3268328,-2.3338583,-0.6725965,-0.6616623,0.0109342
