,genworth_male,genworth_female,tuple,financial_male,financial_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.48639122,-0.5593811,"('unsociable', 'sociable')",0.6935675,0.5242382,-0.40687373,-0.48118788,-0.0665658,-0.1721103,-0.1055445
1,-1.381553,-1.3385085,"('unfriendly', 'friendly')",1.2348775,1.0804582,2.2559206,2.0737753,0.7030817,0.6052417,-0.09784
2,0.016517583,0.13321903,"('unlikable', 'likable')",2.313383,2.4140277,0.6846267,0.83971107,1.0048424,1.1289859,0.1241435
3,-0.4924232,-0.4169952,"('repellent', 'pleasant')",-0.1554125,-0.12284974,0.015514933,0.049687397,-0.2107736,-0.1633858,0.0473878
4,-0.24311931,-0.23530488,"('disliked', 'liked')",-0.20616566,-0.25711292,-6.274874,-6.329783,-2.2413864,-2.2740669,-0.0326805
5,-0.6772266,-0.60654086,"('distant', 'outgoing')",0.39818218,0.36327335,-0.031947285,-0.054408163,-0.1036639,-0.0992252,0.0044387
6,-1.2335035,-1.1163056,"('distant', 'open')",-0.47955006,-0.5082882,0.48228887,0.38783896,-0.4102549,-0.4122516,-0.0019967
7,0.3878899,0.36803344,"('insensitive', 'sensitive')",0.62594205,0.6609026,0.7683558,0.697418,0.5940626,0.5754513,-0.0186113
8,-0.7713823,-0.68238,"('unaffectionate', 'affectionate')",0.16541103,0.15459932,0.97047466,0.87414706,0.1215011,0.1154554,-0.0060457
9,-0.84829766,-0.80844754,"('unaffectionate', 'caring')",1.3898925,1.315928,1.3875611,1.33298,0.6430519,0.6134868,-0.0295651
10,0.09742104,0.08195731,"('unsympathetic', 'sympathetic')",-0.49923462,-0.46600497,-0.34081143,-0.371527,-0.2475417,-0.2518582,-0.0043165
11,-0.20027241,-0.18801337,"('unhelpful', 'helpful')",0.35889477,0.32822284,1.9870231,2.0617106,0.7152151,0.7339733,0.0187582
12,0.38228834,0.46120325,"('unsupportive', 'supportive')",1.1616511,1.2752045,-1.5302218,-1.5050269,0.0045726,0.0771269,0.0725543
13,0.49107757,0.42638892,"('impolite', 'polite')",0.60730475,0.6233609,-0.21613212,-0.24797687,0.2940834,0.2672577,-0.0268257
14,0.5224776,0.5097671,"('antisocial', 'social')",1.6994628,1.7708695,-0.79911697,-0.78458285,0.4742745,0.4986846,0.0244101
15,0.3655485,0.32384318,"('boring', 'funny')",-0.084935725,-0.0796805,0.41413447,0.38630247,0.2315824,0.210155,-0.0214274
16,-1.1549971,-1.0939283,"('unpopular', 'popular')",-0.6464575,-0.61521316,0.3744964,0.36405072,-0.4756527,-0.4483636,0.0272891
17,0.40490934,0.44043204,"('nasty', 'nice')",-0.25944787,-0.18280897,-0.5227119,-0.44221893,-0.1257501,-0.061532,0.0642181
18,-0.48454505,-0.43102655,"('disagreeable', 'welcoming')",-0.17715602,-0.09250735,-0.30726236,-0.37736106,-0.3229878,-0.3002983,0.0226895
19,-0.2871818,-0.20746063,"('inhospitable', 'hospitable')",-0.47985846,-0.533403,0.06270799,0.079436384,-0.2347774,-0.2204758,0.0143016
20,-0.46066713,-0.45263866,"('rough', 'thoughtful')",-0.05480208,-0.031204965,0.7623343,0.69753253,0.0822884,0.0712296,-0.0110588
21,0.31622714,0.2782361,"('immoral', 'moral')",0.8167116,0.84790236,-0.66287947,-0.60575014,0.1566864,0.1734628,0.0167764
22,0.62305665,0.5976283,"('untrustworthy', 'trustworthy')",-0.22842433,-0.2627675,-0.9290131,-0.96589005,-0.1781269,-0.2103431,-0.0322162
23,-0.34863397,-0.40645292,"('insincere', 'sincere')",0.72953284,0.65985227,5.9349523,5.826881,2.1052837,2.0267601,-0.0785236
24,0.41576815,0.36458516,"('dishonest', 'honest')",0.2392574,0.20277008,0.8065583,0.7145675,0.4871946,0.4273076,-0.059887
25,-0.6685026,-0.6219322,"('egoistic', 'altruistic')",-0.15438138,-0.13518752,1.6877526,1.6334597,0.2882895,0.2921133,0.0038238
26,-0.015342273,0.018080248,"('hardhearted', 'benevolent')",1.4328064,1.5372758,1.7271737,1.673327,1.0482126,1.0762277,0.0280151
27,0.002747763,0.030116607,"('hardhearted', 'softhearted')",0.023711177,0.023449602,1.7010206,1.5361459,0.5758265,0.529904,-0.0459225
28,-0.7815034,-0.82626754,"('disloyal', 'loyal')",0.035365023,-0.118253894,1.0487345,0.94764966,0.1008654,0.0010427,-0.0998227
29,-0.37303883,-0.44548008,"('unfair', 'fair')",-0.38986543,-0.44989318,-0.49572492,-0.6404067,-0.4195431,-0.5119267,-0.0923836
30,1.098743,1.0647347,"('intolerant', 'tolerant')",0.93056226,0.8984842,1.186079,1.126734,1.0717947,1.0299843,-0.0418104
31,-0.96586967,-0.8058602,"('evil', 'good')",-1.0359166,-1.0199974,-0.8834346,-0.9695352,-0.9617403,-0.9317976,0.0299427
32,0.4957717,0.47909462,"('unkind', 'kind')",0.4384982,0.41524783,1.1269195,1.067102,0.6870631,0.6538148,-0.0332483
