,facsimile_male,facsimile_female,tuple,average_male,average_female,female-male
0,-1.568136,-1.7510211,"('unsociable', 'sociable')",-1.568136,-1.7510211,-0.1828851
1,-0.5454905,-0.7515519,"('unfriendly', 'friendly')",-0.5454905,-0.7515519,-0.2060614
2,0.01878751,0.19380131,"('unlikable', 'likable')",0.0187875,0.1938013,0.1750138
3,-1.1256746,-1.0544274,"('repellent', 'pleasant')",-1.1256746,-1.0544274,0.0712472
4,-0.28336293,-0.27594906,"('disliked', 'liked')",-0.2833629,-0.2759491,0.0074138
5,-0.18254976,-0.103560075,"('distant', 'outgoing')",-0.1825498,-0.1035601,0.0789897
6,-0.025973424,-0.00045758113,"('distant', 'open')",-0.0259734,-0.0004576,0.0255158
7,-0.8579067,-0.7990205,"('insensitive', 'sensitive')",-0.8579067,-0.7990205,0.0588862
8,-1.0790256,-1.175686,"('unaffectionate', 'affectionate')",-1.0790256,-1.175686,-0.0966604
9,-1.6004767,-1.7235967,"('unaffectionate', 'caring')",-1.6004767,-1.7235967,-0.12312
10,-2.0605605,-2.2185361,"('unsympathetic', 'sympathetic')",-2.0605605,-2.2185361,-0.1579756
11,-1.9265966,-1.8850354,"('unhelpful', 'helpful')",-1.9265966,-1.8850354,0.0415612
12,-2.3209062,-2.2970238,"('unsupportive', 'supportive')",-2.3209062,-2.2970238,0.0238824
13,-0.94024765,-1.0620052,"('impolite', 'polite')",-0.9402477,-1.0620052,-0.1217575
14,-0.79561526,-0.831525,"('antisocial', 'social')",-0.7956153,-0.831525,-0.0359097
15,0.103526235,0.07516832,"('boring', 'funny')",0.1035262,0.0751683,-0.0283579
16,0.17759977,0.20971724,"('unpopular', 'popular')",0.1775998,0.2097172,0.0321174
17,-0.056968994,-0.00791556,"('nasty', 'nice')",-0.056969,-0.0079156,0.0490534
18,-0.83353215,-0.75190043,"('disagreeable', 'welcoming')",-0.8335322,-0.7519004,0.0816318
19,-0.5124123,-0.48644555,"('inhospitable', 'hospitable')",-0.5124123,-0.4864455,0.0259668
20,0.37031397,0.38272092,"('rough', 'thoughtful')",0.370314,0.3827209,0.0124069
21,-0.7862031,-0.7819078,"('immoral', 'moral')",-0.7862031,-0.7819078,0.0042953
22,0.9960962,0.9926893,"('untrustworthy', 'trustworthy')",0.9960962,0.9926893,-0.0034069
23,-0.94810766,-1.0106391,"('insincere', 'sincere')",-0.9481077,-1.0106391,-0.0625314
24,-1.0992407,-1.1381634,"('dishonest', 'honest')",-1.0992407,-1.1381634,-0.0389227
25,0.32454535,0.3472888,"('egoistic', 'altruistic')",0.3245454,0.3472888,0.0227434
26,0.32516074,0.11230439,"('hardhearted', 'benevolent')",0.3251607,0.1123044,-0.2128563
27,-0.8301541,-0.785649,"('hardhearted', 'softhearted')",-0.8301541,-0.785649,0.0445051
28,-1.0456945,-1.3442063,"('disloyal', 'loyal')",-1.0456945,-1.3442063,-0.2985118
29,-0.27112356,-0.32956743,"('unfair', 'fair')",-0.2711236,-0.3295674,-0.0584438
30,-1.3473668,-1.3606832,"('intolerant', 'tolerant')",-1.3473668,-1.3606832,-0.0133164
31,0.39592505,0.3543988,"('evil', 'good')",0.395925,0.3543988,-0.0415262
32,-0.6732329,-0.7431286,"('unkind', 'kind')",-0.6732329,-0.7431286,-0.0698957
33,0.69589114,0.68310577,"('wrong', 'right')",0.6958911,0.6831058,-0.0127853
34,0.79904246,0.95236754,"('mean', 'honorable')",0.7990425,0.9523675,0.153325
35,1.7747686,1.726471,"('corrupt', 'incorrupt')",1.7747686,1.7264709,-0.0482977
36,2.0118775,1.8344319,"('hostile', 'amicable')",2.0118775,1.8344319,-0.1774456
37,-1.3350431,-1.3257394,"('fake', 'genuine')",-1.3350431,-1.3257394,0.0093037
38,-0.62411815,-0.65580815,"('untruthful', 'truthful')",-0.6241181,-0.6558082,-0.0316901
39,0.05080059,0.110407844,"('exploitative', 'cooperative')",0.0508006,0.1104078,0.0596072
40,0.63855594,0.5672975,"('stingy', 'generous')",0.6385559,0.5672975,-0.0712584
41,-0.5363231,-0.60177773,"('unforgiving', 'forgiving')",-0.5363231,-0.6017777,-0.0654546
42,-0.28206134,-0.14587955,"('unreliable', 'reliable')",-0.2820613,-0.1458796,0.1361817
43,-2.474592,-2.4934454,"('irresponsible', 'responsible')",-2.474592,-2.4934454,-0.0188534
44,0.72038555,0.8628322,"('prejudiced', 'unprejudiced')",0.7203856,0.8628322,0.1424466
45,-0.8277375,-0.871408,"('incompetent', 'competent')",-0.8277375,-0.871408,-0.0436705
46,-1.3576212,-1.4641321,"('uncompetitive', 'competitive')",-1.3576212,-1.4641321,-0.1065109
47,1.037793,1.2219782,"('stupid', 'smart')",1.037793,1.2219782,0.1841852
48,-1.4463989,-1.603842,"('unintelligent', 'intelligent')",-1.4463989,-1.603842,-0.1574431
49,-0.088055454,-0.031995036,"('unable', 'able')",-0.0880555,-0.031995,0.0560605
50,0.39170277,0.43890655,"('clumsy', 'skillful')",0.3917028,0.4389066,0.0472038
51,-0.34587622,-0.4212432,"('uneducated', 'educated')",-0.3458762,-0.4212432,-0.075367
52,-0.34611315,-0.35888836,"('irrational', 'rational')",-0.3461131,-0.3588884,-0.0127753
53,0.13099778,-0.020307943,"('uncreative', 'creative')",0.1309978,-0.0203079,-0.1513057
54,-0.0830827,-0.0046110675,"('incapable', 'capable')",-0.0830827,-0.0046111,0.0784716
55,-1.5066376,-1.5473522,"('incompetent', 'clever')",-1.5066376,-1.5473522,-0.0407146
56,-0.9429405,-0.947429,"('impractical', 'practical')",-0.9429405,-0.947429,-0.0044885
57,-1.6196103,-1.7368952,"('unimaginative', 'imaginative')",-1.6196103,-1.7368952,-0.1172849
58,-0.5973349,-0.70406246,"('undiscriminating', 'discriminating')",-0.5973349,-0.7040625,-0.1067276
59,0.00081271306,0.030562244,"('foolish', 'wise')",0.0008127,0.0305622,0.0297495
60,-1.8220017,-1.7459797,"('inefficient', 'efficient')",-1.8220017,-1.7459797,0.076022
61,-0.22495191,-0.3377347,"('illogical', 'logical')",-0.2249519,-0.3377347,-0.1127828
62,-1.6732576,-1.5174832,"('incompetent', 'brilliant')",-1.6732576,-1.5174832,0.1557744
63,-0.6878888,-0.69597065,"('unperceptive', 'insightful')",-0.6878888,-0.6959707,-0.0080819
64,-1.6040024,-1.5008348,"('shy', 'confident')",-1.6040024,-1.5008348,0.1031676
65,-0.5572683,-0.6325779,"('insecure', 'secure')",-0.5572683,-0.6325779,-0.0753096
66,-0.024895359,-0.12686683,"('inactive', 'active')",-0.0248954,-0.1268668,-0.1019714
67,0.33280662,0.32713985,"('doubtful', 'determined')",0.3328066,0.3271399,-0.0056667
68,-0.35056248,-0.2647075,"('dependent', 'independent')",-0.3505625,-0.2647075,0.085855
69,1.7636818,1.9502673,"('lazy', 'industrious')",1.7636818,1.9502673,0.1865855
70,-0.46836025,-0.5037241,"('lethargic', 'energetic')",-0.4683602,-0.5037241,-0.0353639
