,general_male,general_female,tuple,mills_male,mills_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.08557908,-0.15599501,"('unsociable', 'sociable')",0.14647347,0.099063896,-0.023299348,-0.11610992,0.0125317,-0.0576803,-0.070212
1,-1.0503297,-0.9821523,"('unfriendly', 'friendly')",0.2532236,0.19473554,1.6108257,1.5909696,0.2712399,0.2678509,-0.003389
2,-0.078981146,0.038244616,"('unlikable', 'likable')",-0.19211493,-0.011247434,0.28789812,0.4295211,0.0056007,0.1521728,0.1465721
3,-1.0138828,-0.91632116,"('repellent', 'pleasant')",-0.48551324,-0.20369315,0.5573153,0.6171121,-0.3140269,-0.1676341,0.1463928
4,0.09958655,-0.1309562,"('disliked', 'liked')",0.51656175,0.37631008,-6.6096177,-6.431815,-1.9978231,-2.0621538,-0.0643307
5,-1.063118,-1.1554134,"('distant', 'outgoing')",0.27518386,0.0046733133,-0.24738309,-0.30670223,-0.3451057,-0.4858141,-0.1407084
6,-1.5134479,-1.5501094,"('distant', 'open')",-0.4244792,-0.6425129,0.40687096,0.2898981,-0.510352,-0.6342413,-0.1238893
7,-0.35100588,-0.15735124,"('insensitive', 'sensitive')",-0.20143254,0.026784632,1.3496984,1.4133036,0.2657533,0.427579,0.1618257
8,0.2738171,0.36027503,"('unaffectionate', 'affectionate')",0.28479752,0.3080734,0.7990077,0.73944193,0.4525408,0.4692635,0.0167227
9,0.44400066,0.4729578,"('unaffectionate', 'caring')",0.609595,0.58887535,1.3133311,1.3014196,0.7889756,0.7877509,-0.0012247
10,-0.3523194,-0.21956515,"('unsympathetic', 'sympathetic')",-0.58806616,-0.35656554,0.3347648,0.30814815,-0.2018736,-0.0893275,0.1125461
11,0.24137343,0.29741094,"('unhelpful', 'helpful')",-0.92760354,-0.76169956,2.1349697,2.191112,0.4829132,0.5756078,0.0926946
12,1.146618,1.2301669,"('unsupportive', 'supportive')",0.39189273,0.5373786,-1.8069257,-1.6656505,-0.0894716,0.033965,0.1234366
13,0.25013715,0.3690921,"('impolite', 'polite')",0.061221074,0.13847333,-0.036989197,-0.041242227,0.0914563,0.1554411,0.0639848
14,0.8397415,0.72039944,"('antisocial', 'social')",1.1690731,1.19772,-0.13524401,-0.12944666,0.6245235,0.5962243,-0.0282992
15,0.65145016,0.4794787,"('boring', 'funny')",0.5750663,0.39835075,0.5663106,0.49885565,0.597609,0.458895,-0.138714
16,-0.74927056,-0.817573,"('unpopular', 'popular')",-0.92925596,-0.9107464,0.30704373,0.37688217,-0.4571609,-0.4504791,0.0066818
17,-0.72373945,-0.65005136,"('nasty', 'nice')",-0.45559928,-0.37915787,0.007338347,-0.023588166,-0.3906668,-0.3509325,0.0397343
