,legacy_male,legacy_female,tuple,average_male,average_female,female-male
0,0.057175234,-0.05537595,"('unsociable', 'sociable')",0.0571752,-0.0553759,-0.1125511
1,1.3412153,1.3590418,"('unfriendly', 'friendly')",1.3412153,1.3590418,0.0178265
2,0.21165906,0.36048046,"('unlikable', 'likable')",0.2116591,0.3604805,0.1488214
3,0.7255309,0.72291607,"('repellent', 'pleasant')",0.7255309,0.7229161,-0.0026148
4,-7.079781,-7.2910933,"('disliked', 'liked')",-7.0797811,-7.2910933,-0.2113122
5,-0.6236456,-0.56037414,"('distant', 'outgoing')",-0.6236456,-0.5603741,0.0632715
6,-0.2552955,-0.23821728,"('distant', 'open')",-0.2552955,-0.2382173,0.0170782
7,1.1483803,1.145153,"('insensitive', 'sensitive')",1.1483803,1.145153,-0.0032273
8,1.3146956,1.2688663,"('unaffectionate', 'affectionate')",1.3146956,1.2688663,-0.0458293
9,1.8200873,1.9491149,"('unaffectionate', 'caring')",1.8200873,1.9491149,0.1290276
10,1.014049,0.9443028,"('unsympathetic', 'sympathetic')",1.0140491,0.9443028,-0.0697463
11,1.69823,1.8216366,"('unhelpful', 'helpful')",1.69823,1.8216366,0.1234066
12,-1.0666023,-1.0130707,"('unsupportive', 'supportive')",-1.0666023,-1.0130707,0.0535316
13,0.16729589,0.19516838,"('impolite', 'polite')",0.1672959,0.1951684,0.0278725
14,0.48108932,0.41481355,"('antisocial', 'social')",0.4810893,0.4148135,-0.0662758
15,0.39632803,0.31538585,"('boring', 'funny')",0.396328,0.3153858,-0.0809422
16,-0.8227273,-0.7712893,"('unpopular', 'popular')",-0.8227273,-0.7712893,0.051438
17,0.049320243,0.1015587,"('nasty', 'nice')",0.0493202,0.1015587,0.0522385
18,-0.32116014,-0.29892588,"('disagreeable', 'welcoming')",-0.3211601,-0.2989259,0.0222342
19,-0.28103393,-0.1269119,"('inhospitable', 'hospitable')",-0.2810339,-0.1269119,0.154122
20,0.76319,0.63785154,"('rough', 'thoughtful')",0.76319,0.6378515,-0.1253385
21,-0.050195344,0.034232948,"('immoral', 'moral')",-0.0501953,0.0342329,0.0844282
22,-0.21730796,-0.29135334,"('untrustworthy', 'trustworthy')",-0.217308,-0.2913533,-0.0740453
23,6.6461344,6.9069734,"('insincere', 'sincere')",6.6461344,6.9069734,0.260839
24,1.7891158,1.7205936,"('dishonest', 'honest')",1.7891158,1.7205936,-0.0685222
25,0.89522994,0.8928031,"('egoistic', 'altruistic')",0.8952299,0.8928031,-0.0024268
26,1.410896,1.3469195,"('hardhearted', 'benevolent')",1.4108959,1.3469195,-0.0639764
27,1.5639511,1.3488687,"('hardhearted', 'softhearted')",1.5639511,1.3488687,-0.2150824
28,1.3707967,1.2424171,"('disloyal', 'loyal')",1.3707967,1.2424171,-0.1283796
29,-0.3217582,-0.52413905,"('unfair', 'fair')",-0.3217582,-0.524139,-0.2023808
