,expeditors_male,expeditors_female,tuple,international_male,international_female,wa_male,wa_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.82048637,-0.9864278,"('unsociable', 'sociable')",0.12065819,0.04052706,0.5542624,0.47109658,-0.63065475,-0.69899166,-0.1940551,-0.293449,-0.0993939
1,-1.7195928,-1.7094849,"('unfriendly', 'friendly')",-0.9014482,-1.0001469,-0.6657543,-0.6566808,1.8240488,1.6999131,-0.3656867,-0.4165999,-0.0509132
2,0.46435028,0.49972647,"('unlikable', 'likable')",1.1040936,1.0984097,1.2078578,1.2600524,0.44987333,0.49970174,0.8065437,0.8394726,0.0329289
3,-0.85005784,-0.7695684,"('repellent', 'pleasant')",0.23450135,0.35435638,1.6212174,1.7081065,0.48589683,0.5817834,0.3728894,0.4686695,0.0957801
4,0.48923767,0.47541928,"('disliked', 'liked')",-0.27906656,-0.36278313,-1.8768549,-1.961775,-6.6262193,-6.7978253,-2.0732257,-2.161741,-0.0885153
5,0.0155056305,0.17658463,"('distant', 'outgoing')",-0.63430685,-0.60557336,-2.4377935,-2.3859267,-0.016584855,0.013643122,-0.7682949,-0.7003181,0.0679768
6,-0.5938081,-0.41163424,"('distant', 'open')",-0.75720584,-0.69869274,-2.448784,-2.3914285,0.4916133,0.5690815,-0.8270462,-0.7331685,0.0938777
7,-0.1372337,-0.12917855,"('insensitive', 'sensitive')",0.5107891,0.5307702,1.8071522,1.8971703,1.0576231,1.1293414,0.8095827,0.8570258,0.0474431
8,-1.767938,-1.7496735,"('unaffectionate', 'affectionate')",-1.260132,-1.332033,-2.8790097,-2.8111176,0.80101955,0.71812,-1.276515,-1.293676,-0.017161
9,-1.3943412,-1.3750281,"('unaffectionate', 'caring')",-0.36496237,-0.40496346,-0.73471105,-0.70977885,1.3293173,1.305225,-0.2911744,-0.2961363,-0.0049619
10,-1.0568599,-1.1373113,"('unsympathetic', 'sympathetic')",-0.27573943,-0.1687249,1.483407,1.5353682,-0.4790355,-0.39734414,-0.0820569,-0.042003,0.0400539
