,type_male,type_female,tuple,average_male,average_female,female-male
0,-0.009655461,-0.032142073,"('unsociable', 'sociable')",-0.0096555,-0.0321421,-0.0224866
1,1.7622837,1.7700772,"('unfriendly', 'friendly')",1.7622837,1.7700772,0.0077935
2,0.5210349,0.69169575,"('unlikable', 'likable')",0.5210349,0.6916957,0.1706608
3,0.8551959,1.0676837,"('repellent', 'pleasant')",0.8551959,1.0676837,0.2124878
4,-7.138935,-6.9300175,"('disliked', 'liked')",-7.1389351,-6.9300175,0.2089176
5,-0.06379638,0.1483064,"('distant', 'outgoing')",-0.0637964,0.1483064,0.2121028
6,0.16384777,0.3651898,"('distant', 'open')",0.1638478,0.3651898,0.201342
7,1.5579579,1.5623285,"('insensitive', 'sensitive')",1.5579579,1.5623285,0.0043706
8,1.1770515,1.1452249,"('unaffectionate', 'affectionate')",1.1770515,1.1452249,-0.0318266
9,1.4869531,1.5557939,"('unaffectionate', 'caring')",1.4869531,1.5557939,0.0688408
10,1.3238086,1.3483315,"('unsympathetic', 'sympathetic')",1.3238086,1.3483315,0.0245229
11,2.2118,2.1464808,"('unhelpful', 'helpful')",2.2118001,2.1464808,-0.0653193
12,-0.9846253,-0.9184528,"('unsupportive', 'supportive')",-0.9846253,-0.9184528,0.0661725
13,0.2437689,0.17621294,"('impolite', 'polite')",0.2437689,0.1762129,-0.067556
14,0.021796256,-0.040756248,"('antisocial', 'social')",0.0217963,-0.0407562,-0.0625525
15,0.068373896,0.10559532,"('boring', 'funny')",0.0683739,0.1055953,0.0372214
16,-0.6603593,-0.47422245,"('unpopular', 'popular')",-0.6603593,-0.4742225,0.1861368
17,-0.3205611,-0.2126981,"('nasty', 'nice')",-0.3205611,-0.2126981,0.107863
18,-0.27167165,-0.23418856,"('disagreeable', 'welcoming')",-0.2716717,-0.2341886,0.0374831
19,-0.055462543,0.063784495,"('inhospitable', 'hospitable')",-0.0554625,0.0637845,0.119247
20,0.8391162,0.6889534,"('rough', 'thoughtful')",0.8391162,0.6889534,-0.1501628
21,0.2822047,0.38419378,"('immoral', 'moral')",0.2822047,0.3841938,0.1019891
22,0.020988587,0.024806553,"('untrustworthy', 'trustworthy')",0.0209886,0.0248066,0.003818
23,6.9970336,7.0027456,"('insincere', 'sincere')",6.9970336,7.0027456,0.005712
24,2.3144238,2.3147993,"('dishonest', 'honest')",2.3144238,2.3147993,0.0003755
25,0.48722857,0.39706117,"('egoistic', 'altruistic')",0.4872286,0.3970612,-0.0901674
26,0.23689252,0.17806053,"('hardhearted', 'benevolent')",0.2368925,0.1780605,-0.058832
27,1.5719669,1.5405304,"('hardhearted', 'softhearted')",1.5719669,1.5405304,-0.0314365
28,1.4728397,1.4827335,"('disloyal', 'loyal')",1.4728397,1.4827335,0.0098938
29,-0.17410615,-0.2671202,"('unfair', 'fair')",-0.1741062,-0.2671202,-0.093014
30,1.1025316,0.95071584,"('intolerant', 'tolerant')",1.1025316,0.9507158,-0.1518158
31,-1.3680277,-1.2932135,"('evil', 'good')",-1.3680277,-1.2932135,0.0748142
32,1.5865005,1.47209,"('unkind', 'kind')",1.5865005,1.47209,-0.1144105
33,-0.7277763,-0.68101704,"('wrong', 'right')",-0.7277763,-0.681017,0.0467593
34,4.684278,4.843416,"('mean', 'honorable')",4.684278,4.8434162,0.1591382
35,-0.8278212,-0.8601632,"('corrupt', 'incorrupt')",-0.8278212,-0.8601632,-0.032342
36,-1.009073,-0.9577898,"('hostile', 'amicable')",-1.009073,-0.9577898,0.0512832
37,0.9547267,0.9008684,"('fake', 'genuine')",0.9547267,0.9008684,-0.0538583
38,0.3276555,0.22939616,"('untruthful', 'truthful')",0.3276555,0.2293962,-0.0982593
39,-0.23863831,-0.2436567,"('exploitative', 'cooperative')",-0.2386383,-0.2436567,-0.0050184
40,-1.0250745,-0.97120404,"('stingy', 'generous')",-1.0250745,-0.971204,0.0538705
41,-0.22288588,-0.2616585,"('unforgiving', 'forgiving')",-0.2228859,-0.2616585,-0.0387726
42,-1.7631888,-1.6673815,"('unreliable', 'reliable')",-1.7631888,-1.6673815,0.0958073
43,1.601086,1.517037,"('irresponsible', 'responsible')",1.601086,1.517037,-0.084049
44,-1.4356047,-1.6355138,"('prejudiced', 'unprejudiced')",-1.4356047,-1.6355138,-0.1999091
45,0.33916622,0.47614855,"('incompetent', 'competent')",0.3391662,0.4761485,0.1369823
46,-0.35311678,-0.28352463,"('uncompetitive', 'competitive')",-0.3531168,-0.2835246,0.0695922
47,5.594493,5.817328,"('stupid', 'smart')",5.5944929,5.817328,0.2228351
48,1.1971195,1.121523,"('unintelligent', 'intelligent')",1.1971195,1.121523,-0.0755965
49,0.20942459,0.43408954,"('unable', 'able')",0.2094246,0.4340895,0.2246649
50,0.26279026,0.45484743,"('clumsy', 'skillful')",0.2627903,0.4548474,0.1920571
51,1.1102566,1.067587,"('uneducated', 'educated')",1.1102566,1.067587,-0.0426696
52,-0.5424127,-0.4851825,"('irrational', 'rational')",-0.5424127,-0.4851825,0.0572302
53,0.7077071,0.71783805,"('uncreative', 'creative')",0.7077071,0.717838,0.0101309
54,1.338892,1.4999717,"('incapable', 'capable')",1.338892,1.4999717,0.1610797
55,1.14462,1.1188465,"('incompetent', 'clever')",1.1446199,1.1188465,-0.0257734
56,0.7636844,0.7970795,"('impractical', 'practical')",0.7636844,0.7970795,0.0333951
57,-2.4651587,-2.3257756,"('unimaginative', 'imaginative')",-2.4651587,-2.3257756,0.1393831
58,-0.13733673,-0.13807012,"('undiscriminating', 'discriminating')",-0.1373367,-0.1380701,-0.0007334
59,0.041884836,0.27968204,"('foolish', 'wise')",0.0418848,0.279682,0.2377972
60,0.5728904,0.5561514,"('inefficient', 'efficient')",0.5728904,0.5561514,-0.016739
61,0.5397178,0.48655254,"('illogical', 'logical')",0.5397178,0.4865525,-0.0531653
62,1.7088614,1.799975,"('incompetent', 'brilliant')",1.7088614,1.799975,0.0911136
63,1.2534643,1.4101729,"('unperceptive', 'insightful')",1.2534643,1.4101729,0.1567086
64,-5.6940646,-5.549775,"('shy', 'confident')",-5.6940646,-5.5497751,0.1442895
65,0.9936588,0.9218156,"('insecure', 'secure')",0.9936588,0.9218156,-0.0718432
66,0.004109528,0.06796588,"('inactive', 'active')",0.0041095,0.0679659,0.0638564
67,-1.1680406,-1.1432885,"('doubtful', 'determined')",-1.1680406,-1.1432885,0.0247521
68,-0.12531865,-0.024038224,"('dependent', 'independent')",-0.1253186,-0.0240382,0.1012804
69,-1.9011192,-1.814052,"('lazy', 'industrious')",-1.9011192,-1.814052,0.0870672
70,1.5012987,1.555997,"('lethargic', 'energetic')",1.5012987,1.555997,0.0546983
71,0.57230145,0.8318044,"('diffident', 'self-confident')",0.5723014,0.8318044,0.259503
72,1.1394287,1.0834717,"('unambitious', 'ambitious')",1.1394287,1.0834717,-0.055957
73,-2.7348063,-2.6176689,"('helpless', 'self-reliant')",-2.7348063,-2.6176689,0.1171374
74,0.4291783,0.4077325,"('undedicated', 'dedicated')",0.4291783,0.4077325,-0.0214458
75,-0.7791056,-0.65542006,"('meek', 'impulsive')",-0.7791056,-0.6554201,0.1236855
76,1.1090614,1.0029795,"('anxious', 'daring')",1.1090614,1.0029795,-0.1060819
77,-1.0354551,-1.0335093,"('unmotivated', 'motivated')",-1.0354551,-1.0335093,0.0019458
78,-0.17456001,-0.11853018,"('nonresilient', 'resilient')",-0.17456,-0.1185302,0.0560298
79,-0.14578931,0.012736807,"('wavering', 'unwavering')",-0.1457893,0.0127368,0.1585261
80,0.18744375,0.06777949,"('dominated', 'dominating')",0.1874437,0.0677795,-0.1196642
81,0.33566976,0.30169368,"('submissive', 'aggressive')",0.3356698,0.3016937,-0.0339761
82,6.5034595,6.786361,"('poor', 'rich')",6.5034595,6.7863612,0.2829017
83,-0.27092046,-0.28632176,"('powerless', 'powerful')",-0.2709205,-0.2863218,-0.0154013
84,0.10316258,0.08062835,"('inferior', 'superior')",0.1031626,0.0806284,-0.0225342
85,-1.3194534,-1.2587695,"('insignificant', 'prestigious')",-1.3194534,-1.2587695,0.0606839
86,0.79738545,0.91699916,"('uninfluential', 'influential')",0.7973855,0.9169992,0.1196137
87,0.20889057,0.40236077,"('unsuccessful', 'successful')",0.2088906,0.4023608,0.1934702
88,0.026919432,0.16496155,"('low', 'eminent')",0.0269194,0.1649615,0.1380421
