,leidos_male,leidos_female,tuple,holdings_male,holdings_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.7808304,-0.9336525,"('unsociable', 'sociable')",0.37348002,0.11496742,-0.22122465,-0.327627,-0.209525,-0.382104,-0.172579
1,-1.1932378,-1.219001,"('unfriendly', 'friendly')",-0.2851141,-0.39527398,1.4697628,1.3395184,-0.002863,-0.0915855,-0.0887225
2,1.1626065,1.2546899,"('unlikable', 'likable')",1.7543043,1.8271258,0.8886606,0.9635071,1.2685238,1.348441,0.0799172
3,-0.07096703,-0.03125179,"('repellent', 'pleasant')",0.5696828,0.5338018,0.28455538,0.2714815,0.2610904,0.2580105,-0.0030799
4,-0.2124343,-0.1726786,"('disliked', 'liked')",-0.24421336,-0.32361948,-6.0759053,-6.120114,-2.1775177,-2.2054707,-0.027953
5,-0.54916567,-0.47138163,"('distant', 'outgoing')",-1.056297,-0.98014045,-0.39816323,-0.38513088,-0.6678753,-0.6122177,0.0556576
6,-0.97165024,-0.8787335,"('distant', 'open')",-1.3087869,-1.2485945,0.28364143,0.22011678,-0.6655985,-0.6357371,0.0298614
7,0.17902133,0.062374793,"('insensitive', 'sensitive')",0.40145743,0.3115787,0.44016922,0.38904196,0.340216,0.2543318,-0.0858842
8,-0.38925502,-0.37298125,"('unaffectionate', 'affectionate')",-0.6357733,-0.5939332,0.46715227,0.3855977,-0.1859587,-0.1937723,-0.0078136
9,-0.85725987,-0.9124349,"('unaffectionate', 'caring')",-0.07296883,-0.14890808,0.91901034,0.84443474,-0.0037395,-0.0723027,-0.0685632
10,-0.84053767,-0.9588969,"('unsympathetic', 'sympathetic')",-0.017989727,-0.14586374,-0.3223664,-0.39392796,-0.3936313,-0.4995629,-0.1059316
11,-0.47601426,-0.5886173,"('unhelpful', 'helpful')",-0.3246013,-0.45466632,1.784646,1.7732513,0.3280102,0.2433225,-0.0846877
12,-0.2694242,-0.18056779,"('unsupportive', 'supportive')",0.018498205,0.08648348,-1.8362879,-1.7943072,-0.6957379,-0.6294638,0.0662741
13,-0.50411385,-0.59390134,"('impolite', 'polite')",0.16537175,0.06453091,-0.12137915,-0.18674071,-0.1533738,-0.2387037,-0.0853299
14,0.72749186,0.66131246,"('antisocial', 'social')",2.289418,2.1842952,-0.30918124,-0.36828753,0.9025762,0.8257734,-0.0768028
15,-0.24222748,-0.33790645,"('boring', 'funny')",-0.9581574,-1.0066174,0.51105595,0.4478154,-0.2297763,-0.2989028,-0.0691265
16,-0.7846351,-0.71556985,"('unpopular', 'popular')",-1.1443987,-1.0277883,0.37702537,0.38976502,-0.5173361,-0.4511977,0.0661384
17,-0.28404135,-0.2521454,"('nasty', 'nice')",-1.1956462,-1.1065729,-0.39030185,-0.3547325,-0.6233298,-0.5711503,0.0521795
18,0.46163988,0.4999341,"('disagreeable', 'welcoming')",0.04896915,0.063744485,-0.4151073,-0.4656837,0.0318339,0.032665,0.0008311
19,-1.229415,-1.133493,"('inhospitable', 'hospitable')",-1.397897,-1.3121219,-0.3354484,-0.2925226,-0.9875869,-0.9127125,0.0748744
20,0.5875036,0.5600884,"('rough', 'thoughtful')",0.3852239,0.4888653,1.1555439,1.129137,0.7094239,0.7260302,0.0166063
21,0.025103994,-0.09736795,"('immoral', 'moral')",0.6276236,0.50667393,-0.57827,-0.577668,0.0248192,-0.0561207,-0.0809399
