,brush_male,brush_female,tuple,average_male,average_female,female-male
0,0.063301966,-0.101017326,"('unsociable', 'sociable')",0.063302,-0.1010173,-0.1643193
1,1.7550085,1.8659778,"('unfriendly', 'friendly')",1.7550085,1.8659778,0.1109693
2,0.75015587,0.9183967,"('unlikable', 'likable')",0.7501559,0.9183967,0.1682408
3,1.1297487,1.3060502,"('repellent', 'pleasant')",1.1297487,1.3060502,0.1763015
4,-7.1586514,-7.0550194,"('disliked', 'liked')",-7.1586514,-7.0550194,0.103632
5,-0.007695932,0.09140593,"('distant', 'outgoing')",-0.0076959,0.0914059,0.0991018
6,0.118455395,0.25044656,"('distant', 'open')",0.1184554,0.2504466,0.1319912
7,1.5746715,1.6344845,"('insensitive', 'sensitive')",1.5746715,1.6344845,0.059813
8,1.2319303,1.2812663,"('unaffectionate', 'affectionate')",1.2319303,1.2812663,0.049336
9,1.7904553,1.8724083,"('unaffectionate', 'caring')",1.7904553,1.8724083,0.081953
10,1.3788283,1.3708158,"('unsympathetic', 'sympathetic')",1.3788283,1.3708158,-0.0080125
11,2.1608012,2.1094332,"('unhelpful', 'helpful')",2.1608012,2.1094332,-0.051368
12,-0.9815863,-0.97997856,"('unsupportive', 'supportive')",-0.9815863,-0.9799786,0.0016077
13,0.35996553,0.2110631,"('impolite', 'polite')",0.3599655,0.2110631,-0.1489024
14,0.26892707,0.075200066,"('antisocial', 'social')",0.2689271,0.0752001,-0.193727
15,0.55961037,0.62097335,"('boring', 'funny')",0.5596104,0.6209733,0.0613629
16,-0.62822264,-0.5326282,"('unpopular', 'popular')",-0.6282226,-0.5326282,0.0955944
17,-0.2722604,-0.25950766,"('nasty', 'nice')",-0.2722604,-0.2595077,0.0127527
18,-0.112807855,-0.11200501,"('disagreeable', 'welcoming')",-0.1128079,-0.112005,0.0008029
19,-0.05106592,0.105500385,"('inhospitable', 'hospitable')",-0.0510659,0.1055004,0.1565663
20,1.1343895,1.1065784,"('rough', 'thoughtful')",1.1343895,1.1065784,-0.0278111
21,0.5540783,0.57063746,"('immoral', 'moral')",0.5540783,0.5706375,0.0165592
22,-0.040186424,-0.12065542,"('untrustworthy', 'trustworthy')",-0.0401864,-0.1206554,-0.080469
23,6.8010755,6.8267484,"('insincere', 'sincere')",6.8010755,6.8267484,0.0256729
24,2.4035175,2.4497142,"('dishonest', 'honest')",2.4035175,2.4497142,0.0461967
25,0.6180381,0.60528535,"('egoistic', 'altruistic')",0.6180381,0.6052853,-0.0127528
26,0.2547377,0.28054452,"('hardhearted', 'benevolent')",0.2547377,0.2805445,0.0258068
27,1.8471276,1.7969202,"('hardhearted', 'softhearted')",1.8471276,1.7969202,-0.0502074
28,1.1962569,1.2275412,"('disloyal', 'loyal')",1.1962569,1.2275412,0.0312843
29,-0.27422646,-0.3067749,"('unfair', 'fair')",-0.2742265,-0.3067749,-0.0325484
30,1.3138678,1.1708636,"('intolerant', 'tolerant')",1.3138678,1.1708636,-0.1430042
31,-1.2460113,-1.0670667,"('evil', 'good')",-1.2460113,-1.0670667,0.1789446
32,1.5791843,1.513802,"('unkind', 'kind')",1.5791843,1.5138021,-0.0653822
33,-0.5995135,-0.58489126,"('wrong', 'right')",-0.5995135,-0.5848913,0.0146222
34,4.484087,4.6336827,"('mean', 'honorable')",4.484087,4.6336827,0.1495957
35,-0.72252,-0.72162825,"('corrupt', 'incorrupt')",-0.72252,-0.7216282,0.0008918
36,-0.8211397,-0.7152981,"('hostile', 'amicable')",-0.8211397,-0.7152981,0.1058416
37,1.1847289,1.2195671,"('fake', 'genuine')",1.1847289,1.2195671,0.0348382
38,0.21349405,0.1427201,"('untruthful', 'truthful')",0.213494,0.1427201,-0.0707739
39,0.019692639,0.010148414,"('exploitative', 'cooperative')",0.0196926,0.0101484,-0.0095442
40,-1.2040029,-1.219657,"('stingy', 'generous')",-1.2040029,-1.2196569,-0.015654
41,0.049132414,0.008627664,"('unforgiving', 'forgiving')",0.0491324,0.0086277,-0.0405047
42,-1.5963831,-1.5325358,"('unreliable', 'reliable')",-1.5963831,-1.5325358,0.0638473
43,1.5526589,1.4317689,"('irresponsible', 'responsible')",1.5526589,1.4317689,-0.12089
44,-1.2565204,-1.4171222,"('prejudiced', 'unprejudiced')",-1.2565204,-1.4171222,-0.1606018
45,0.63432395,0.6855244,"('incompetent', 'competent')",0.634324,0.6855244,0.0512004
46,-0.3154526,-0.33477262,"('uncompetitive', 'competitive')",-0.3154526,-0.3347726,-0.01932
47,5.2981853,5.4176683,"('stupid', 'smart')",5.2981853,5.4176683,0.119483
48,1.3605995,1.3420383,"('unintelligent', 'intelligent')",1.3605995,1.3420383,-0.0185612
49,0.36764196,0.5593271,"('unable', 'able')",0.367642,0.5593271,0.1916851
50,0.06864151,0.27567777,"('clumsy', 'skillful')",0.0686415,0.2756778,0.2070363
51,1.0076907,1.00712,"('uneducated', 'educated')",1.0076907,1.00712,-0.0005707
52,-0.6460086,-0.51435226,"('irrational', 'rational')",-0.6460086,-0.5143523,0.1316563
53,0.75178385,0.83478045,"('uncreative', 'creative')",0.7517838,0.8347805,0.0829967
54,1.4286748,1.6427433,"('incapable', 'capable')",1.4286748,1.6427433,0.2140685
55,1.2944268,1.2234018,"('incompetent', 'clever')",1.2944268,1.2234018,-0.071025
56,1.0173328,0.97161674,"('impractical', 'practical')",1.0173328,0.9716167,-0.0457161
57,-2.491888,-2.3628092,"('unimaginative', 'imaginative')",-2.491888,-2.3628092,0.1290788
58,-0.07216847,-0.009975674,"('undiscriminating', 'discriminating')",-0.0721685,-0.0099757,0.0621928
59,0.0152401365,0.21133384,"('foolish', 'wise')",0.0152401,0.2113338,0.1960937
60,0.8310994,0.705,"('inefficient', 'efficient')",0.8310994,0.705,-0.1260994
