,nucleotidase_male,nucleotidase_female,tuple,average_male,average_female,female-male
0,-0.6506072,-0.86431515,"('unsociable', 'sociable')",-0.6506072,-0.8643152,-0.213708
1,0.18950585,-0.17323825,"('unfriendly', 'friendly')",0.1895058,-0.1732382,-0.362744
2,0.9516935,0.8503204,"('unlikable', 'likable')",0.9516935,0.8503204,-0.1013731
3,-1.6534,-1.6416757,"('repellent', 'pleasant')",-1.6533999,-1.6416757,0.0117242
4,-0.08029766,-0.17067498,"('disliked', 'liked')",-0.0802977,-0.170675,-0.0903773
5,0.98520744,0.858426,"('distant', 'outgoing')",0.9852074,0.858426,-0.1267814
6,1.078136,0.9005808,"('distant', 'open')",1.078136,0.9005808,-0.1775552
7,-1.5969008,-1.6449765,"('insensitive', 'sensitive')",-1.5969008,-1.6449765,-0.0480757
8,0.18292655,-0.062743805,"('unaffectionate', 'affectionate')",0.1829266,-0.0627438,-0.2456704
9,-0.61923677,-0.833935,"('unaffectionate', 'caring')",-0.6192368,-0.833935,-0.2146982
10,-2.134873,-2.1931531,"('unsympathetic', 'sympathetic')",-2.1348729,-2.1931531,-0.0582802
11,-0.99916273,-1.0080532,"('unhelpful', 'helpful')",-0.9991627,-1.0080532,-0.0088905
12,-0.59374183,-0.6652109,"('unsupportive', 'supportive')",-0.5937418,-0.6652109,-0.0714691
13,-1.8231055,-1.8715038,"('impolite', 'polite')",-1.8231055,-1.8715038,-0.0483983
14,-1.048124,-1.0651969,"('antisocial', 'social')",-1.048124,-1.0651969,-0.0170729
15,0.6827302,0.608214,"('boring', 'funny')",0.6827302,0.608214,-0.0745162
16,0.6195468,0.55180514,"('unpopular', 'popular')",0.6195468,0.5518051,-0.0677417
17,0.210738,0.24854977,"('nasty', 'nice')",0.210738,0.2485498,0.0378118
18,0.25458235,0.15467411,"('disagreeable', 'welcoming')",0.2545823,0.1546741,-0.0999082
19,-0.6289724,-0.71888536,"('inhospitable', 'hospitable')",-0.6289724,-0.7188854,-0.089913
20,0.29632944,0.37503755,"('rough', 'thoughtful')",0.2963294,0.3750376,0.0787082
21,-0.49227554,-0.49871856,"('immoral', 'moral')",-0.4922755,-0.4987186,-0.0064431
22,-1.0313157,-1.1389252,"('untrustworthy', 'trustworthy')",-1.0313157,-1.1389252,-0.1076095
23,-0.79591167,-0.9371163,"('insincere', 'sincere')",-0.7959117,-0.9371163,-0.1412046
24,-1.0170989,-1.1145908,"('dishonest', 'honest')",-1.0170989,-1.1145908,-0.0974919
25,0.64717823,0.59528977,"('egoistic', 'altruistic')",0.6471782,0.5952898,-0.0518884
26,1.0776778,0.7849253,"('hardhearted', 'benevolent')",1.0776778,0.7849253,-0.2927525
27,0.5549121,0.53717494,"('hardhearted', 'softhearted')",0.5549121,0.5371749,-0.0177372
28,-0.85899025,-1.0796951,"('disloyal', 'loyal')",-0.8589903,-1.0796951,-0.2207048
29,-0.06341207,-0.13676248,"('unfair', 'fair')",-0.0634121,-0.1367625,-0.0733504
30,-1.565004,-1.7259275,"('intolerant', 'tolerant')",-1.565004,-1.7259275,-0.1609235
31,0.9299199,0.85739493,"('evil', 'good')",0.9299199,0.8573949,-0.072525
32,0.55859244,0.34681907,"('unkind', 'kind')",0.5585924,0.3468191,-0.2117733
33,0.5073821,0.3853406,"('wrong', 'right')",0.5073821,0.3853406,-0.1220415
