,friction_male,friction_female,tuple,average_male,average_female,female-male
0,-0.24702185,-0.28888547,"('unsociable', 'sociable')",-0.2470219,-0.2888855,-0.0418636
1,1.7267122,1.6827083,"('unfriendly', 'friendly')",1.7267122,1.6827083,-0.0440039
2,-0.1293637,-0.17428678,"('unlikable', 'likable')",-0.1293637,-0.1742868,-0.0449231
3,0.22753255,0.37523997,"('repellent', 'pleasant')",0.2275326,0.37524,0.1477074
4,-7.7966833,-7.860213,"('disliked', 'liked')",-7.7966833,-7.8602128,-0.0635295
5,-0.5766756,-0.5192185,"('distant', 'outgoing')",-0.5766756,-0.5192185,0.0574571
6,0.10513235,0.064647265,"('distant', 'open')",0.1051323,0.0646473,-0.040485
7,0.90958095,1.0273163,"('insensitive', 'sensitive')",0.9095809,1.0273163,0.1177354
8,1.758168,1.6963631,"('unaffectionate', 'affectionate')",1.758168,1.6963631,-0.0618049
9,2.000604,1.9945393,"('unaffectionate', 'caring')",2.0006039,1.9945393,-0.0060646
10,0.7754018,0.8442292,"('unsympathetic', 'sympathetic')",0.7754018,0.8442292,0.0688274
11,1.4480445,1.5096818,"('unhelpful', 'helpful')",1.4480445,1.5096818,0.0616373
12,-1.8310912,-1.8511454,"('unsupportive', 'supportive')",-1.8310912,-1.8511454,-0.0200542
13,-0.5154147,-0.5395552,"('impolite', 'polite')",-0.5154147,-0.5395552,-0.0241405
14,-0.0011973334,-0.07134855,"('antisocial', 'social')",-0.0011973,-0.0713485,-0.0701512
15,0.04869934,-0.016567126,"('boring', 'funny')",0.0486993,-0.0165671,-0.0652664
16,-0.629899,-0.6111092,"('unpopular', 'popular')",-0.629899,-0.6111092,0.0187898
17,-0.46723086,-0.4483747,"('nasty', 'nice')",-0.4672309,-0.4483747,0.0188562
18,-0.7026382,-0.6654036,"('disagreeable', 'welcoming')",-0.7026382,-0.6654036,0.0372346
19,-0.53427845,-0.5395168,"('inhospitable', 'hospitable')",-0.5342785,-0.5395168,-0.0052383
20,0.8222475,0.8010701,"('rough', 'thoughtful')",0.8222475,0.8010701,-0.0211774
21,-0.71644163,-0.6482612,"('immoral', 'moral')",-0.7164416,-0.6482612,0.0681804
22,-0.8489549,-0.904849,"('untrustworthy', 'trustworthy')",-0.8489549,-0.904849,-0.0558941
23,6.474302,6.5548887,"('insincere', 'sincere')",6.4743018,6.5548887,0.0805869
24,1.6208935,1.5048296,"('dishonest', 'honest')",1.6208935,1.5048296,-0.1160639
25,1.0188408,0.89772975,"('egoistic', 'altruistic')",1.0188408,0.8977298,-0.121111
26,1.1518118,1.0463562,"('hardhearted', 'benevolent')",1.1518118,1.0463562,-0.1054556
