,agenda_male,agenda_female,tuple,average_male,average_female,female-male
0,0.3494854,0.24681228,"('unsociable', 'sociable')",0.3494854,0.2468123,-0.1026731
1,1.2220408,1.0857952,"('unfriendly', 'friendly')",1.2220408,1.0857952,-0.1362456
2,0.16706231,0.24569651,"('unlikable', 'likable')",0.1670623,0.2456965,0.0786342
3,1.3877017,1.410016,"('repellent', 'pleasant')",1.3877017,1.4100159,0.0223142
4,-7.323241,-7.298805,"('disliked', 'liked')",-7.3232412,-7.2988052,0.024436
5,-0.38848218,-0.3547524,"('distant', 'outgoing')",-0.3884822,-0.3547524,0.0337298
6,-0.07816201,-0.04823099,"('distant', 'open')",-0.078162,-0.048231,0.029931
7,1.5884566,1.5427029,"('insensitive', 'sensitive')",1.5884566,1.5427029,-0.0457537
8,1.1883516,1.1344978,"('unaffectionate', 'affectionate')",1.1883516,1.1344978,-0.0538538
9,2.01712,2.0229497,"('unaffectionate', 'caring')",2.0171199,2.0229497,0.0058298
10,1.2299132,1.3246809,"('unsympathetic', 'sympathetic')",1.2299132,1.3246809,0.0947677
11,2.150778,2.1536248,"('unhelpful', 'helpful')",2.1507781,2.1536248,0.0028467
12,-1.1127886,-0.9793217,"('unsupportive', 'supportive')",-1.1127886,-0.9793217,0.1334669
13,0.27904332,0.14441906,"('impolite', 'polite')",0.2790433,0.1444191,-0.1346242
14,0.11784813,0.09597839,"('antisocial', 'social')",0.1178481,0.0959784,-0.0218697
15,0.10013021,0.017379815,"('boring', 'funny')",0.1001302,0.0173798,-0.0827504
16,-0.8647585,-0.79989946,"('unpopular', 'popular')",-0.8647585,-0.7998995,0.064859
17,-0.87688637,-0.7688134,"('nasty', 'nice')",-0.8768864,-0.7688134,0.108073
18,-0.4365704,-0.45512515,"('disagreeable', 'welcoming')",-0.4365704,-0.4551252,-0.0185548
19,-0.45230833,-0.34654328,"('inhospitable', 'hospitable')",-0.4523083,-0.3465433,0.105765
20,0.50484926,0.36693722,"('rough', 'thoughtful')",0.5048493,0.3669372,-0.1379121
21,0.31205577,0.4448893,"('immoral', 'moral')",0.3120558,0.4448893,0.1328335
22,-0.04913991,-0.07253244,"('untrustworthy', 'trustworthy')",-0.0491399,-0.0725324,-0.0233925
23,7.212957,7.085098,"('insincere', 'sincere')",7.2129569,7.0850978,-0.1278591
24,2.1839142,2.1546023,"('dishonest', 'honest')",2.1839142,2.1546023,-0.0293119
25,0.87135506,0.73726594,"('egoistic', 'altruistic')",0.8713551,0.7372659,-0.1340892
26,0.2665416,0.19533578,"('hardhearted', 'benevolent')",0.2665416,0.1953358,-0.0712058
27,2.0552008,1.7971479,"('hardhearted', 'softhearted')",2.0552008,1.7971479,-0.2580529
28,1.2664181,1.2054731,"('disloyal', 'loyal')",1.2664181,1.2054731,-0.060945
29,-0.87980944,-1.0002934,"('unfair', 'fair')",-0.8798094,-1.0002934,-0.120484
30,1.036772,1.0798565,"('intolerant', 'tolerant')",1.036772,1.0798565,0.0430845
