,lymphocyte_male,lymphocyte_female,tuple,average_male,average_female,female-male
0,-1.3042505,-1.3853066,"('unsociable', 'sociable')",-1.3042505,-1.3853066,-0.0810561
1,-0.04306208,-0.16264886,"('unfriendly', 'friendly')",-0.0430621,-0.1626489,-0.1195868
2,0.27804318,0.26369226,"('unlikable', 'likable')",0.2780432,0.2636923,-0.0143509
3,-2.0181537,-1.8334401,"('repellent', 'pleasant')",-2.0181537,-1.8334401,0.1847136
4,-0.35019037,-0.33481795,"('disliked', 'liked')",-0.3501904,-0.3348179,0.0153725
5,0.899489,0.8936238,"('distant', 'outgoing')",0.899489,0.8936238,-0.0058652
6,1.2473904,1.2372316,"('distant', 'open')",1.2473904,1.2372316,-0.0101588
7,-1.6376245,-1.6085762,"('insensitive', 'sensitive')",-1.6376245,-1.6085762,0.0290483
8,0.86125493,0.7135915,"('unaffectionate', 'affectionate')",0.8612549,0.7135915,-0.1476634
9,0.5876811,0.5023002,"('unaffectionate', 'caring')",0.5876811,0.5023002,-0.0853809
10,-3.0468152,-3.0285993,"('unsympathetic', 'sympathetic')",-3.0468152,-3.0285993,0.0182159
11,-0.86408114,-0.85094774,"('unhelpful', 'helpful')",-0.8640811,-0.8509477,0.0131334
12,0.07289588,0.14929196,"('unsupportive', 'supportive')",0.0728959,0.149292,0.0763961
13,-1.7843293,-1.8547862,"('impolite', 'polite')",-1.7843293,-1.8547862,-0.0704569
14,-1.2043556,-1.198797,"('antisocial', 'social')",-1.2043556,-1.198797,0.0055586
15,0.8413172,0.6475127,"('boring', 'funny')",0.8413172,0.6475127,-0.1938045
16,0.4803028,0.4885977,"('unpopular', 'popular')",0.4803028,0.4885977,0.0082949
17,-0.47398946,-0.39547494,"('nasty', 'nice')",-0.4739895,-0.3954749,0.0785146
18,-0.018987171,-0.034513697,"('disagreeable', 'welcoming')",-0.0189872,-0.0345137,-0.0155265
19,-0.47151408,-0.41713893,"('inhospitable', 'hospitable')",-0.4715141,-0.4171389,0.0543752
20,-0.6169176,-0.59103245,"('rough', 'thoughtful')",-0.6169176,-0.5910324,0.0258852
21,-1.2944101,-1.2477702,"('immoral', 'moral')",-1.2944101,-1.2477702,0.0466399
22,-1.1793922,-1.201844,"('untrustworthy', 'trustworthy')",-1.1793922,-1.201844,-0.0224518
23,-0.75653696,-0.80365044,"('insincere', 'sincere')",-0.756537,-0.8036504,-0.0471134
24,-1.2739042,-1.3109343,"('dishonest', 'honest')",-1.2739042,-1.3109343,-0.0370301
25,0.56350464,0.4767667,"('egoistic', 'altruistic')",0.5635046,0.4767667,-0.0867379
26,1.368692,1.1275207,"('hardhearted', 'benevolent')",1.368692,1.1275207,-0.2411713
27,0.31004095,0.24777235,"('hardhearted', 'softhearted')",0.310041,0.2477724,-0.0622686
28,-1.0291111,-1.1611335,"('disloyal', 'loyal')",-1.0291111,-1.1611335,-0.1320224
29,-0.26379508,-0.25691062,"('unfair', 'fair')",-0.2637951,-0.2569106,0.0068845
30,-1.4514636,-1.4428271,"('intolerant', 'tolerant')",-1.4514636,-1.4428271,0.0086365
31,1.021228,1.0613308,"('evil', 'good')",1.021228,1.0613308,0.0401028
32,0.21443641,0.046736993,"('unkind', 'kind')",0.2144364,0.046737,-0.1676994
