,marriott_male,marriott_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.13210484,-0.2957309,"('unsociable', 'sociable')",0.1366277,0.08889775,-0.622641,-0.8077677,-0.2060394,-0.3382003,-0.1321609
1,3.095757,2.9089847,"('unfriendly', 'friendly')",0.91461325,0.71171606,2.402651,2.144406,2.1376737,1.9217024,-0.2159713
2,1.0984361,1.1550678,"('unlikable', 'likable')",1.7722389,1.8661453,0.76889867,0.8398958,1.2131913,1.2870363,0.073845
3,-1.8845309,-1.7833956,"('repellent', 'pleasant')",-0.54232585,-0.44793788,-0.029991046,0.0053131822,-0.8189493,-0.7420068,0.0769425
4,0.24363409,0.09181654,"('disliked', 'liked')",0.27502328,0.19255783,-5.9732213,-6.0848956,-1.818188,-1.9335071,-0.1153191
5,2.1662881,2.1266391,"('distant', 'outgoing')",0.22048093,0.12493492,0.3012503,0.3319701,0.8960064,0.8611814,-0.034825
6,2.4144237,2.4263213,"('distant', 'open')",0.24323797,0.12934949,1.0707138,1.0640478,1.2427918,1.2065729,-0.0362189
7,-0.31805685,-0.29591215,"('insensitive', 'sensitive')",-0.4829934,-0.42344666,0.7266859,0.64973277,-0.0247881,-0.0232087,0.0015794
8,1.4683512,1.4821306,"('unaffectionate', 'affectionate')",-0.12563586,-0.2626356,1.1438786,0.9891051,0.8288647,0.7362,-0.0926647
9,1.7442886,1.6931546,"('unaffectionate', 'caring')",0.4041673,0.33466828,1.5127125,1.4003984,1.2203894,1.1427404,-0.077649
10,-1.9201545,-1.9599655,"('unsympathetic', 'sympathetic')",-1.3885303,-1.224492,-0.73199487,-0.8173848,-1.3468933,-1.3339473,0.012946
11,-2.0151906,-1.9482087,"('unhelpful', 'helpful')",-0.5412945,-0.42570907,1.1138948,1.175434,-0.4808635,-0.3994946,0.0813689
12,0.89322174,0.91542935,"('unsupportive', 'supportive')",0.86235017,1.0026739,-1.3880243,-1.4313729,0.1225158,0.1622434,0.0397276
13,-1.0129793,-1.0297257,"('impolite', 'polite')",0.2046538,0.27107725,-0.7236351,-0.7080842,-0.5106535,-0.4889109,0.0217426
14,-0.76087654,-0.7515256,"('antisocial', 'social')",0.97080773,1.0945954,-0.82492185,-0.85156596,-0.2049969,-0.1694987,0.0354982
15,0.3661395,0.28151923,"('boring', 'funny')",-0.012212604,-0.16585335,0.6460522,0.6087037,0.3333264,0.2414565,-0.0918699
16,0.93672353,0.9523321,"('unpopular', 'popular')",1.1624941,1.1120199,1.0725011,1.0456547,1.0572395,1.0366689,-0.0205706
17,0.50191545,0.5356797,"('nasty', 'nice')",-0.97070396,-0.9170916,-0.637361,-0.53676,-0.3687165,-0.3060573,0.0626592
18,2.0296478,1.9011711,"('disagreeable', 'welcoming')",1.7975978,1.8624934,0.24365208,0.11937714,1.3569659,1.2943472,-0.0626187
19,1.1954867,1.1737783,"('inhospitable', 'hospitable')",-0.39480722,-0.44915783,0.52384454,0.5375228,0.441508,0.4207144,-0.0207936
20,0.18426552,0.2197451,"('rough', 'thoughtful')",0.70990014,0.7526421,1.2146873,1.1046565,0.702951,0.6923478,-0.0106032
21,-2.202166,-2.312462,"('immoral', 'moral')",-0.11841548,0.05852557,-1.220075,-1.2656507,-1.1802189,-1.1731958,0.0070231
22,-1.3420011,-1.4111365,"('untrustworthy', 'trustworthy')",-0.15917574,-0.09602715,-0.91550356,-1.0437307,-0.8055601,-0.8502981,-0.044738
23,-1.0332248,-1.1070472,"('insincere', 'sincere')",-0.7795878,-0.7306216,5.1621284,5.0584826,1.1164386,1.0736046,-0.042834
24,-1.0337454,-1.121186,"('dishonest', 'honest')",-0.42780453,-0.38636675,0.5890435,0.4812695,-0.2908355,-0.3420944,-0.0512589
25,1.1407217,1.045795,"('egoistic', 'altruistic')",0.64689916,0.5641519,1.73874,1.6220293,1.1754536,1.0773253,-0.0981283
26,3.3496826,3.211614,"('hardhearted', 'benevolent')",1.667936,1.613086,1.9038428,1.7676219,2.3071539,2.1974406,-0.1097133
27,0.7989908,0.8047516,"('hardhearted', 'softhearted')",-0.087467045,-0.19858989,1.4942718,1.2791115,0.7352652,0.6284244,-0.1068408
28,-0.82016003,-0.9871028,"('disloyal', 'loyal')",-0.43247434,-0.51697284,0.8315722,0.64041144,-0.1403541,-0.2878881,-0.147534
29,0.09995586,0.07213502,"('unfair', 'fair')",0.01580092,-0.030811924,-0.049241565,-0.19967729,0.0221717,-0.0527847,-0.0749564
30,0.3875742,0.34434205,"('intolerant', 'tolerant')",-0.3443982,-0.27118173,0.42672622,0.415796,0.1566341,0.1629854,0.0063513
31,1.0248653,1.0034347,"('evil', 'good')",0.014586156,-0.14649308,-0.2967874,-0.4524535,0.2475547,0.1348294,-0.1127253
32,0.019183628,-0.045186702,"('unkind', 'kind')",-0.21643546,-0.2588821,0.8896811,0.6827931,0.2308098,0.1262414,-0.1045684
33,1.938756,1.7437505,"('wrong', 'right')",1.3511987,1.240191,0.30739042,0.23243308,1.199115,1.0721249,-0.1269901
34,0.20409708,0.33920467,"('mean', 'honorable')",-0.1751993,0.01374476,5.7138844,5.829319,1.9142607,2.0607562,0.1464955
35,1.415558,1.3581684,"('corrupt', 'incorrupt')",0.6825951,0.4284332,0.5805996,0.43243116,0.8929176,0.7396776,-0.15324
36,2.4849832,2.4568105,"('hostile', 'amicable')",1.6157537,1.352427,1.1275134,0.93716156,1.74275,1.582133,-0.160617
37,-0.63113683,-0.6368448,"('fake', 'genuine')",-0.6246898,-0.6677911,0.4617145,0.42233962,-0.2647041,-0.2940988,-0.0293947
38,-1.3239077,-1.3074946,"('untruthful', 'truthful')",-0.6305573,-0.58444273,-0.23628396,-0.19478047,-0.7302496,-0.6955726,0.034677
39,0.8354686,0.90011376,"('exploitative', 'cooperative')",1.0597544,1.1228157,0.28271365,0.2640265,0.7259789,0.7623186,0.0363397
40,0.9411965,0.8738537,"('stingy', 'generous')",0.6748705,0.70841557,-0.9295015,-1.0734767,0.2288552,0.1695975,-0.0592577
41,0.27300227,0.16597031,"('unforgiving', 'forgiving')",0.43753725,0.47066674,0.2289965,0.08138155,0.3131787,0.2393395,-0.0738392
42,-0.30282968,-0.2582705,"('unreliable', 'reliable')",0.657334,0.8083371,-2.93677,-2.8916662,-0.8607552,-0.7805332,0.080222
43,0.13865775,0.20888592,"('irresponsible', 'responsible')",-0.13637039,-0.0066976473,0.41534486,0.41919523,0.1392107,0.2071278,0.0679171
