,wells_male,wells_female,tuple,fargo_male,fargo_female,&_male,&_female,co_male,co_female,average_male,average_female,female-male
0,-1.7690312,-1.9173187,"('unsociable', 'sociable')",-1.1310576,-1.2780029,-0.5563447,-0.63798845,-0.22117883,-0.40093136,-0.9194031,-1.0585604,-0.1391573
1,1.4958351,1.36993,"('unfriendly', 'friendly')",1.5927318,1.5124815,1.2044829,1.137568,1.3430982,1.0903969,1.409037,1.2775941,-0.1314429
2,1.2160223,1.375693,"('unlikable', 'likable')",0.6764059,0.7552063,1.5756074,1.6471525,0.88950616,1.0241495,1.0893855,1.2005503,0.1111648
3,-0.80109084,-0.77514136,"('repellent', 'pleasant')",-1.332272,-1.2786592,-0.87444115,-0.83210015,0.6456497,0.68562347,-0.5905386,-0.5500693,0.0404693
4,0.48655087,0.4764216,"('disliked', 'liked')",0.52749664,0.554565,0.53266793,0.54655516,-5.3402824,-4.906877,-0.9483917,-0.8323338,0.1160579
5,1.7101595,1.7539228,"('distant', 'outgoing')",2.2641704,2.2463932,1.5907164,1.6014243,0.5513289,0.6251749,1.5290937,1.5567288,0.0276351
6,1.2357546,1.2857976,"('distant', 'open')",2.0595138,2.0533228,1.4084606,1.400943,0.26960123,0.27626264,1.2433326,1.2540816,0.010749
7,-0.92078227,-0.89222157,"('insensitive', 'sensitive')",-1.2629355,-1.2303404,-1.0060806,-0.9606482,-0.6351597,-0.690399,-0.9562395,-0.9434022,0.0128373
8,0.19845882,0.13166456,"('unaffectionate', 'affectionate')",0.9516666,0.87116104,0.44599664,0.36419383,0.25222442,-0.020460598,0.4620866,0.3366397,-0.1254469
9,0.8630274,0.7849999,"('unaffectionate', 'caring')",1.3066226,1.2409611,0.5276024,0.4398362,0.9410616,0.7051975,0.9095786,0.7927487,-0.1168299
10,-1.5855322,-1.6101441,"('unsympathetic', 'sympathetic')",-1.7585388,-1.8351688,-1.3187376,-1.4283444,-0.32796094,-0.56203467,-1.2476923,-1.358923,-0.1112307
11,-0.96237916,-1.0624492,"('unhelpful', 'helpful')",-0.7457483,-0.8250839,-1.3505028,-1.4171944,1.5936884,1.4069164,-0.3662355,-0.4744528,-0.1082173
12,0.44743228,0.43145692,"('unsupportive', 'supportive')",0.7175371,0.677663,1.0990046,1.0805929,-1.4138724,-1.3910413,0.2125255,0.1996679,-0.0128576
13,-1.2612733,-1.3585322,"('impolite', 'polite')",-0.8236387,-0.9289593,-0.7333785,-0.7794507,-0.29781336,-0.37836504,-0.7790259,-0.8613268,-0.0823009
14,-1.6947241,-1.6504024,"('antisocial', 'social')",-1.2595532,-1.2378774,-0.5145283,-0.4955929,-1.1692014,-1.1491446,-1.1595018,-1.1332543,0.0262475
15,0.9398978,0.9391599,"('boring', 'funny')",1.0870225,1.0613109,1.0084419,1.0287844,0.36155838,0.44148645,0.8492302,0.8676854,0.0184552
16,0.92794234,0.96781224,"('unpopular', 'popular')",-0.0090919435,0.04970873,0.9167964,1.0355506,0.5020299,0.51336056,0.5844192,0.641608,0.0571888
17,0.67674434,0.7735388,"('nasty', 'nice')",-0.24270584,-0.23839648,0.51348525,0.6156051,0.04440157,0.20090035,0.2479813,0.337912,0.0899307
18,0.0020830333,0.08207725,"('disagreeable', 'welcoming')",-0.101198316,-0.1430231,0.6143864,0.6841605,-1.1919149,-1.2995696,-0.169161,-0.1690888,7.22e-05
19,0.019096091,0.0045857076,"('inhospitable', 'hospitable')",0.39121217,0.3383319,-0.17632397,-0.19217521,0.2857414,0.25444582,0.1299314,0.1012971,-0.0286343
20,-0.63537186,-0.4896164,"('rough', 'thoughtful')",-0.882589,-0.78266674,0.17378728,0.27130806,-0.21707515,-0.19520663,-0.3903122,-0.2990454,0.0912668
21,-0.8961595,-0.91648126,"('immoral', 'moral')",-1.3092601,-1.3385733,-0.71432704,-0.6832826,-1.6467171,-1.6466612,-1.1416159,-1.1462495,-0.0046336
22,-1.7041897,-1.6979964,"('untrustworthy', 'trustworthy')",-1.6355554,-1.6421244,-1.6277897,-1.6591609,-2.0968652,-2.0634687,-1.7661,-1.7656877,0.0004123
23,-0.6470467,-0.74252856,"('insincere', 'sincere')",-0.47832203,-0.5753817,-0.5667629,-0.64647174,4.166091,3.6706185,0.6184899,0.4265592,-0.1919307
24,-0.5099477,-0.5157655,"('dishonest', 'honest')",-0.6132255,-0.6526813,-0.73836255,-0.773431,-0.8478657,-0.9775686,-0.6773504,-0.7298616,-0.0525112
25,0.76800674,0.8000792,"('egoistic', 'altruistic')",1.0863142,1.1358912,1.0659024,1.1483595,1.5370657,1.5946238,1.1143222,1.1697385,0.0554163
26,1.4060739,1.441307,"('hardhearted', 'benevolent')",3.1045203,3.1310768,2.4438276,2.3791108,1.2507927,1.132132,2.0513036,2.0209067,-0.0303969
27,0.342354,0.5170603,"('hardhearted', 'softhearted')",0.10068216,0.097603366,-0.13222826,-0.0818197,0.71008736,0.5474285,0.2552238,0.2700681,0.0148443
28,-1.3327498,-1.4755118,"('disloyal', 'loyal')",-0.72479653,-0.82036406,-0.83694714,-0.9716467,-0.30310488,-0.53457534,-0.7993996,-0.9505244,-0.1511248
29,0.8544937,0.84238166,"('unfair', 'fair')",0.059356615,0.06495811,-0.12220441,-0.059348635,-0.8025653,-0.7814125,-0.0027298,0.0166447,0.0193745
30,-0.96441436,-1.078103,"('intolerant', 'tolerant')",-1.8209248,-1.9022878,-0.9351177,-1.0267066,-0.97600484,-1.003995,-1.1741154,-1.252773,-0.0786576
