,imprisonment_male,imprisonment_female,tuple,average_male,average_female,female-male
0,-0.08562811,-0.17151646,"('unsociable', 'sociable')",-0.0856281,-0.1715165,-0.0858884
1,1.4443988,1.5901109,"('unfriendly', 'friendly')",1.4443988,1.5901109,0.1457121
2,-0.09305951,0.12571776,"('unlikable', 'likable')",-0.0930595,0.1257178,0.2187773
3,0.54343104,0.7756612,"('repellent', 'pleasant')",0.543431,0.7756612,0.2322302
4,-7.038485,-7.1877127,"('disliked', 'liked')",-7.0384851,-7.1877127,-0.1492276
5,-0.029983725,0.18205017,"('distant', 'outgoing')",-0.0299837,0.1820502,0.2120339
6,0.31701884,0.45761532,"('distant', 'open')",0.3170188,0.4576153,0.1405965
7,1.0856239,1.1039586,"('insensitive', 'sensitive')",1.0856239,1.1039586,0.0183347
8,1.559716,1.5291775,"('unaffectionate', 'affectionate')",1.559716,1.5291775,-0.0305385
9,1.8625686,1.9784709,"('unaffectionate', 'caring')",1.8625686,1.9784709,0.1159023
10,0.66035134,0.6983471,"('unsympathetic', 'sympathetic')",0.6603513,0.6983471,0.0379958
11,1.6319325,1.8161254,"('unhelpful', 'helpful')",1.6319325,1.8161254,0.1841929
12,-1.2772369,-1.1652558,"('unsupportive', 'supportive')",-1.2772369,-1.1652558,0.1119811
13,-0.33485034,-0.20022853,"('impolite', 'polite')",-0.3348503,-0.2002285,0.1346218
14,0.07646576,-0.087471664,"('antisocial', 'social')",0.0764658,-0.0874717,-0.1639375
15,0.3790007,0.26831716,"('boring', 'funny')",0.3790007,0.2683172,-0.1106835
16,-0.53607404,-0.40577793,"('unpopular', 'popular')",-0.536074,-0.4057779,0.1302961
17,-0.22201264,-0.20109805,"('nasty', 'nice')",-0.2220126,-0.2010981,0.0209145
18,-0.49733976,-0.30366933,"('disagreeable', 'welcoming')",-0.4973398,-0.3036693,0.1936705
19,-0.45931205,-0.3198558,"('inhospitable', 'hospitable')",-0.4593121,-0.3198558,0.1394563
20,0.36316913,0.2767565,"('rough', 'thoughtful')",0.3631691,0.2767565,-0.0864126
21,-0.57774514,-0.28486678,"('immoral', 'moral')",-0.5777451,-0.2848668,0.2928783
22,-0.93549585,-0.7335745,"('untrustworthy', 'trustworthy')",-0.9354959,-0.7335745,0.2019214
23,6.4096045,6.679857,"('insincere', 'sincere')",6.4096045,6.6798568,0.2702523
24,1.491857,1.594403,"('dishonest', 'honest')",1.4918571,1.594403,0.1025459
25,0.9361639,0.99936306,"('egoistic', 'altruistic')",0.9361639,0.9993631,0.0631992
26,1.2637566,0.8661425,"('hardhearted', 'benevolent')",1.2637566,0.8661425,-0.3976141
27,1.6695013,1.561304,"('hardhearted', 'softhearted')",1.6695013,1.561304,-0.1081973
28,1.2802318,1.2194059,"('disloyal', 'loyal')",1.2802318,1.2194059,-0.0608259
29,-0.82060474,-0.9092827,"('unfair', 'fair')",-0.8206047,-0.9092827,-0.088678
30,0.9613537,1.0147737,"('intolerant', 'tolerant')",0.9613537,1.0147737,0.05342
31,-0.8893453,-0.92678887,"('evil', 'good')",-0.8893453,-0.9267889,-0.0374436
32,1.4503001,1.304575,"('unkind', 'kind')",1.4503001,1.304575,-0.1457251
33,-0.100670956,0.009954266,"('wrong', 'right')",-0.100671,0.0099543,0.1106253
34,4.69666,5.0628,"('mean', 'honorable')",4.69666,5.0627999,0.3661399
35,-0.6466169,-0.8594231,"('corrupt', 'incorrupt')",-0.6466169,-0.8594231,-0.2128062
