,sleep_male,sleep_female,tuple,average_male,average_female,female-male
0,-0.16463953,-0.16748103,"('unsociable', 'sociable')",-0.1646395,-0.167481,-0.0028415
1,1.2080381,1.258165,"('unfriendly', 'friendly')",1.2080381,1.258165,0.0501269
2,-0.14807773,-0.043823343,"('unlikable', 'likable')",-0.1480777,-0.0438233,0.1042544
3,0.6715581,0.680947,"('repellent', 'pleasant')",0.6715581,0.680947,0.0093889
4,-7.2433124,-7.402427,"('disliked', 'liked')",-7.2433124,-7.4024272,-0.1591148
5,-0.57573473,-0.54829174,"('distant', 'outgoing')",-0.5757347,-0.5482917,0.027443
6,0.057741776,0.0008150041,"('distant', 'open')",0.0577418,0.000815,-0.0569268
7,0.60264605,0.66594833,"('insensitive', 'sensitive')",0.6026461,0.6659483,0.0633022
8,1.1377559,1.0940701,"('unaffectionate', 'affectionate')",1.1377559,1.0940701,-0.0436858
9,1.3222705,1.4069971,"('unaffectionate', 'caring')",1.3222705,1.4069971,0.0847266
10,0.78069466,0.7334709,"('unsympathetic', 'sympathetic')",0.7806947,0.7334709,-0.0472238
11,1.1956408,1.2856646,"('unhelpful', 'helpful')",1.1956408,1.2856646,0.0900238
12,-1.9030117,-1.9010261,"('unsupportive', 'supportive')",-1.9030117,-1.9010261,0.0019856
13,-0.35254407,-0.35116166,"('impolite', 'polite')",-0.3525441,-0.3511617,0.0013824
14,0.27070174,0.20189819,"('antisocial', 'social')",0.2707017,0.2018982,-0.0688035
15,-0.022971187,-0.06341587,"('boring', 'funny')",-0.0229712,-0.0634159,-0.0404447
16,-0.50712854,-0.44518983,"('unpopular', 'popular')",-0.5071285,-0.4451898,0.0619387
17,-0.2269092,-0.15394422,"('nasty', 'nice')",-0.2269092,-0.1539442,0.072965
18,-0.19545159,-0.24603333,"('disagreeable', 'welcoming')",-0.1954516,-0.2460333,-0.0505817
19,-0.86471415,-0.87734056,"('inhospitable', 'hospitable')",-0.8647141,-0.8773406,-0.0126265
20,0.95002365,0.8657551,"('rough', 'thoughtful')",0.9500237,0.8657551,-0.0842686
21,-0.65709496,-0.60151637,"('immoral', 'moral')",-0.657095,-0.6015164,0.0555786
22,-0.59343374,-0.62539387,"('untrustworthy', 'trustworthy')",-0.5934337,-0.6253939,-0.0319602
23,5.9437957,6.0730205,"('insincere', 'sincere')",5.9437957,6.0730205,0.1292248
24,1.2695062,1.16509,"('dishonest', 'honest')",1.2695062,1.16509,-0.1044162
25,0.8453027,0.8071931,"('egoistic', 'altruistic')",0.8453027,0.8071931,-0.0381096
26,0.91670305,0.8595845,"('hardhearted', 'benevolent')",0.916703,0.8595845,-0.0571185
27,1.7017356,1.5304099,"('hardhearted', 'softhearted')",1.7017356,1.5304099,-0.1713257
28,0.9534301,0.93237287,"('disloyal', 'loyal')",0.9534301,0.9323729,-0.0210572
29,-0.38280517,-0.48065722,"('unfair', 'fair')",-0.3828052,-0.4806572,-0.097852
30,0.7377631,0.75908387,"('intolerant', 'tolerant')",0.7377631,0.7590839,0.0213208
31,-1.0586658,-1.0447776,"('evil', 'good')",-1.0586658,-1.0447776,0.0138882
32,0.89653754,0.8700924,"('unkind', 'kind')",0.8965375,0.8700924,-0.0264451
33,-0.46788874,-0.48249847,"('wrong', 'right')",-0.4678887,-0.4824985,-0.0146098
34,4.3300824,4.5324144,"('mean', 'honorable')",4.3300824,4.5324144,0.202332
35,-0.5762967,-0.8073402,"('corrupt', 'incorrupt')",-0.5762967,-0.8073402,-0.2310435
36,-0.61974543,-0.6592071,"('hostile', 'amicable')",-0.6197454,-0.6592071,-0.0394617
37,0.8200364,0.7960563,"('fake', 'genuine')",0.8200364,0.7960563,-0.0239801
38,-0.54673105,-0.46205345,"('untruthful', 'truthful')",-0.5467311,-0.4620534,0.0846777
39,0.4201599,0.38067552,"('exploitative', 'cooperative')",0.4201599,0.3806755,-0.0394844
40,-1.2398933,-1.4489597,"('stingy', 'generous')",-1.2398933,-1.4489597,-0.2090664
41,0.11879297,0.12721953,"('unforgiving', 'forgiving')",0.118793,0.1272195,0.0084265
42,-2.2228808,-2.3591385,"('unreliable', 'reliable')",-2.2228808,-2.3591385,-0.1362577
43,0.6201386,0.6689769,"('irresponsible', 'responsible')",0.6201386,0.6689769,0.0488383
44,-0.6978765,-0.7761597,"('prejudiced', 'unprejudiced')",-0.6978765,-0.7761597,-0.0782832
45,-0.14352012,-0.13621254,"('incompetent', 'competent')",-0.1435201,-0.1362125,0.0073076
46,-0.7895353,-0.87829226,"('uncompetitive', 'competitive')",-0.7895353,-0.8782923,-0.088757
47,4.888334,5.1153507,"('stupid', 'smart')",4.8883338,5.1153507,0.2270169
48,0.30299857,0.35232553,"('unintelligent', 'intelligent')",0.3029986,0.3523255,0.0493269
49,-0.13394642,-0.07005453,"('unable', 'able')",-0.1339464,-0.0700545,0.0638919
50,-0.593478,-0.593022,"('clumsy', 'skillful')",-0.593478,-0.593022,0.000456
51,0.40495846,0.30804068,"('uneducated', 'educated')",0.4049585,0.3080407,-0.0969178
52,-0.45042628,-0.5442861,"('irrational', 'rational')",-0.4504263,-0.5442861,-0.0938598
53,-0.13627668,-0.13467126,"('uncreative', 'creative')",-0.1362767,-0.1346713,0.0016054
54,0.90040386,0.9624651,"('incapable', 'capable')",0.9004039,0.9624651,0.0620612
55,0.5455112,0.55722487,"('incompetent', 'clever')",0.5455112,0.5572249,0.0117137
56,0.2598995,0.2437608,"('impractical', 'practical')",0.2598995,0.2437608,-0.0161387
57,-2.7416732,-2.8008616,"('unimaginative', 'imaginative')",-2.7416732,-2.8008616,-0.0591884
58,0.0065216646,0.019667227,"('undiscriminating', 'discriminating')",0.0065217,0.0196672,0.0131455
59,-0.34043467,-0.32912707,"('foolish', 'wise')",-0.3404347,-0.3291271,0.0113076
60,0.093060166,0.23867565,"('inefficient', 'efficient')",0.0930602,0.2386757,0.1456155
61,0.23712519,0.1465559,"('illogical', 'logical')",0.2371252,0.1465559,-0.0905693
62,0.19701105,0.32140437,"('incompetent', 'brilliant')",0.1970111,0.3214044,0.1243933
63,-0.4139052,-0.3332045,"('unperceptive', 'insightful')",-0.4139052,-0.3332045,0.0807007
64,-6.3103466,-6.45731,"('shy', 'confident')",-6.3103466,-6.4573102,-0.1469636
65,0.08722857,0.10438132,"('insecure', 'secure')",0.0872286,0.1043813,0.0171527
66,-0.069796935,-0.19795796,"('inactive', 'active')",-0.0697969,-0.197958,-0.1281611
67,-0.5027446,-0.39935657,"('doubtful', 'determined')",-0.5027446,-0.3993566,0.103388
68,-0.8110501,-0.85824186,"('dependent', 'independent')",-0.8110501,-0.8582419,-0.0471918
69,-1.9015751,-1.9064276,"('lazy', 'industrious')",-1.9015751,-1.9064276,-0.0048525
70,1.049922,0.93218285,"('lethargic', 'energetic')",1.049922,0.9321828,-0.1177392
71,0.7223383,0.7383054,"('diffident', 'self-confident')",0.7223383,0.7383054,0.0159671
