,shack_male,shack_female,tuple,average_male,average_female,female-male
0,-0.07460845,-0.3627794,"('unsociable', 'sociable')",-0.0746085,-0.3627794,-0.2881709
1,1.3207295,1.2960078,"('unfriendly', 'friendly')",1.3207295,1.2960078,-0.0247217
2,0.24479921,0.3465654,"('unlikable', 'likable')",0.2447992,0.3465654,0.1017662
3,0.24176456,0.24376048,"('repellent', 'pleasant')",0.2417646,0.2437605,0.0019959
4,-7.758802,-7.68301,"('disliked', 'liked')",-7.7588019,-7.6830101,0.0757918
5,-0.4915103,-0.2526053,"('distant', 'outgoing')",-0.4915103,-0.2526053,0.238905
6,-0.15977407,0.095564015,"('distant', 'open')",-0.1597741,0.095564,0.2553381
7,0.28373337,0.3278354,"('insensitive', 'sensitive')",0.2837334,0.3278354,0.044102
8,1.0888245,1.1732141,"('unaffectionate', 'affectionate')",1.0888245,1.1732141,0.0843896
9,1.9952532,2.0871873,"('unaffectionate', 'caring')",1.9952532,2.0871873,0.0919341
10,0.53037626,0.5230473,"('unsympathetic', 'sympathetic')",0.5303763,0.5230473,-0.007329
11,2.1539965,2.1944315,"('unhelpful', 'helpful')",2.1539965,2.1944315,0.040435
12,-1.9123825,-1.9393641,"('unsupportive', 'supportive')",-1.9123825,-1.9393641,-0.0269816
13,0.40837502,0.14456005,"('impolite', 'polite')",0.408375,0.1445601,-0.2638149
14,-0.41154897,-0.66225064,"('antisocial', 'social')",-0.411549,-0.6622506,-0.2507016
15,0.44752413,0.48934683,"('boring', 'funny')",0.4475241,0.4893468,0.0418227
16,0.0023715757,0.06706813,"('unpopular', 'popular')",0.0023716,0.0670681,0.0646965
17,-0.44857967,-0.40766588,"('nasty', 'nice')",-0.4485797,-0.4076659,0.0409138
18,-0.9919091,-1.0682802,"('disagreeable', 'welcoming')",-0.9919091,-1.0682802,-0.0763711
19,-0.7609602,-0.553527,"('inhospitable', 'hospitable')",-0.7609602,-0.553527,0.2074332
20,0.38742948,0.27213526,"('rough', 'thoughtful')",0.3874295,0.2721353,-0.1152942
21,-0.33091623,-0.41567442,"('immoral', 'moral')",-0.3309162,-0.4156744,-0.0847582
22,-0.9793341,-0.9998259,"('untrustworthy', 'trustworthy')",-0.9793341,-0.9998259,-0.0204918
23,6.824334,6.785039,"('insincere', 'sincere')",6.8243341,6.7850389,-0.0392952
24,1.6865146,1.6112721,"('dishonest', 'honest')",1.6865146,1.6112721,-0.0752425
25,0.8164377,0.7619241,"('egoistic', 'altruistic')",0.8164377,0.7619241,-0.0545136
26,0.55624115,0.4014019,"('hardhearted', 'benevolent')",0.5562412,0.4014019,-0.1548393
27,1.2088467,1.0568918,"('hardhearted', 'softhearted')",1.2088467,1.0568918,-0.1519549
28,1.2521985,1.1853616,"('disloyal', 'loyal')",1.2521985,1.1853616,-0.0668369
29,-0.87581724,-0.89789784,"('unfair', 'fair')",-0.8758172,-0.8978978,-0.0220806
30,0.9822311,0.88700736,"('intolerant', 'tolerant')",0.9822311,0.8870074,-0.0952237
31,-1.6156942,-1.4631474,"('evil', 'good')",-1.6156942,-1.4631474,0.1525468
32,1.279502,1.0965858,"('unkind', 'kind')",1.279502,1.0965858,-0.1829162
33,-0.12256519,-0.1545047,"('wrong', 'right')",-0.1225652,-0.1545047,-0.0319395
34,5.126636,5.2784443,"('mean', 'honorable')",5.126636,5.2784443,0.1518083
35,-0.69712347,-0.6788738,"('corrupt', 'incorrupt')",-0.6971235,-0.6788738,0.0182497
36,-0.40996438,-0.3865397,"('hostile', 'amicable')",-0.4099644,-0.3865397,0.0234247
37,0.51569676,0.59823895,"('fake', 'genuine')",0.5156968,0.5982389,0.0825421
38,0.31549382,0.32215133,"('untruthful', 'truthful')",0.3154938,0.3221513,0.0066575
39,0.49362004,0.40161857,"('exploitative', 'cooperative')",0.49362,0.4016186,-0.0920014
40,-2.8525531,-2.9681904,"('stingy', 'generous')",-2.8525531,-2.9681904,-0.1156373
41,-0.019885475,-0.1847718,"('unforgiving', 'forgiving')",-0.0198855,-0.1847718,-0.1648863
42,-3.0307739,-2.9151177,"('unreliable', 'reliable')",-3.0307739,-2.9151177,0.1156562
43,0.84709674,0.8285068,"('irresponsible', 'responsible')",0.8470967,0.8285068,-0.0185899
44,-1.2462834,-1.207965,"('prejudiced', 'unprejudiced')",-1.2462834,-1.207965,0.0383184
45,-0.15450896,-0.13882871,"('incompetent', 'competent')",-0.154509,-0.1388287,0.0156803
46,-0.8469418,-0.91941434,"('uncompetitive', 'competitive')",-0.8469418,-0.9194143,-0.0724725
47,5.4252467,5.562485,"('stupid', 'smart')",5.4252467,5.5624852,0.1372385
48,0.8788511,0.69301355,"('unintelligent', 'intelligent')",0.8788511,0.6930135,-0.1858376
49,-0.025374994,0.10836975,"('unable', 'able')",-0.025375,0.1083698,0.1337448
50,-0.24447715,-0.12671775,"('clumsy', 'skillful')",-0.2444772,-0.1267177,0.1177595
51,0.07860816,-0.010325342,"('uneducated', 'educated')",0.0786082,-0.0103253,-0.0889335
52,-0.33340865,-0.2792436,"('irrational', 'rational')",-0.3334087,-0.2792436,0.0541651
53,-0.054974925,0.016750524,"('uncreative', 'creative')",-0.0549749,0.0167505,0.0717254
54,1.0334814,1.2679363,"('incapable', 'capable')",1.0334814,1.2679363,0.2344549
55,0.38177392,0.26859877,"('incompetent', 'clever')",0.3817739,0.2685988,-0.1131751
56,0.9226454,0.8707165,"('impractical', 'practical')",0.9226454,0.8707165,-0.0519289
57,-3.4303,-3.3110914,"('unimaginative', 'imaginative')",-3.4303,-3.3110914,0.1192086
58,-0.495687,-0.4891044,"('undiscriminating', 'discriminating')",-0.495687,-0.4891044,0.0065826
59,-0.030387968,0.12561259,"('foolish', 'wise')",-0.030388,0.1256126,0.1560006
60,0.74429756,0.6287575,"('inefficient', 'efficient')",0.7442976,0.6287575,-0.1155401
61,0.1902337,-0.06498955,"('illogical', 'logical')",0.1902337,-0.0649896,-0.2552233
62,1.0123214,1.054272,"('incompetent', 'brilliant')",1.0123214,1.0542721,0.0419507
63,0.38514346,0.38177028,"('unperceptive', 'insightful')",0.3851435,0.3817703,-0.0033732
64,-7.0685987,-7.095841,"('shy', 'confident')",-7.0685987,-7.0958409,-0.0272422
65,0.08231822,-0.025677087,"('insecure', 'secure')",0.0823182,-0.0256771,-0.1079953
66,-0.5629806,-0.51501715,"('inactive', 'active')",-0.5629806,-0.5150172,0.0479634
67,-0.28470284,-0.22881135,"('doubtful', 'determined')",-0.2847028,-0.2288114,0.0558914
68,-0.9427042,-0.9153258,"('dependent', 'independent')",-0.9427042,-0.9153258,0.0273784
69,-1.8101676,-1.7032677,"('lazy', 'industrious')",-1.8101676,-1.7032677,0.1068999
70,0.46606848,0.544163,"('lethargic', 'energetic')",0.4660685,0.544163,0.0780945
71,0.46885848,0.50060344,"('diffident', 'self-confident')",0.4688585,0.5006034,0.0317449
72,0.4482023,0.48053688,"('unambitious', 'ambitious')",0.4482023,0.4805369,0.0323346
73,-3.6068134,-3.485423,"('helpless', 'self-reliant')",-3.6068134,-3.4854231,0.1213903
74,-0.4245643,-0.5032039,"('undedicated', 'dedicated')",-0.4245643,-0.5032039,-0.0786396
75,-1.2839437,-1.0367157,"('meek', 'impulsive')",-1.2839437,-1.0367157,0.247228
76,0.24933895,0.14741129,"('anxious', 'daring')",0.249339,0.1474113,-0.1019277
77,-1.135653,-1.1299319,"('unmotivated', 'motivated')",-1.135653,-1.1299319,0.0057211
78,-0.29247013,-0.31475303,"('nonresilient', 'resilient')",-0.2924701,-0.314753,-0.0222829
79,-0.3510032,-0.13837859,"('wavering', 'unwavering')",-0.3510032,-0.1383786,0.2126246
80,-0.81386966,-0.910249,"('dominated', 'dominating')",-0.8138697,-0.910249,-0.0963793
81,-0.37479383,-0.4160629,"('submissive', 'aggressive')",-0.3747938,-0.4160629,-0.0412691
82,6.838887,7.0359645,"('poor', 'rich')",6.8388872,7.0359645,0.1970773
83,-0.3439734,-0.47553417,"('powerless', 'powerful')",-0.3439734,-0.4755342,-0.1315608
84,0.09983796,0.14857075,"('inferior', 'superior')",0.099838,0.1485707,0.0487327
85,-1.0069839,-0.989188,"('insignificant', 'prestigious')",-1.0069839,-0.989188,0.0177959
86,0.10445445,0.03478963,"('uninfluential', 'influential')",0.1044545,0.0347896,-0.0696649
87,-0.15986592,-0.058950383,"('unsuccessful', 'successful')",-0.1598659,-0.0589504,0.1009155
88,-0.05327317,-0.037755255,"('low', 'eminent')",-0.0532732,-0.0377553,0.0155179
