,aetna_male,aetna_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-0.830355,-0.88356286,"('unsociable', 'sociable')",-0.4195332,-0.54441273,-0.6249441,-0.7139878,-0.0890437
1,-1.497184,-1.6912407,"('unfriendly', 'friendly')",1.2615502,1.0908558,-0.1178169,-0.3001924,-0.1823755
2,0.7087642,0.69029677,"('unlikable', 'likable')",0.939272,1.0276728,0.8240181,0.8589848,0.0349667
3,-0.55530995,-0.4079933,"('repellent', 'pleasant')",0.3807289,0.43298477,-0.0872905,0.0124957,0.0997862
4,-0.03594449,-0.1597824,"('disliked', 'liked')",-5.9633627,-6.033547,-2.9996536,-3.0966647,-0.0970111
5,-1.4702358,-1.488252,"('distant', 'outgoing')",-0.45347303,-0.47988948,-0.9618545,-0.9840708,-0.0222163
6,-1.4522,-1.5037647,"('distant', 'open')",-0.18840131,-0.24970385,-0.8203007,-0.8767343,-0.0564336
7,-0.39048785,-0.26991063,"('insensitive', 'sensitive')",0.2888809,0.38312203,-0.0508035,0.0566057,0.1074092
8,-1.077992,-1.2996804,"('unaffectionate', 'affectionate')",0.3959415,0.29087034,-0.3410252,-0.504405,-0.1633798
9,-1.1353693,-1.2831372,"('unaffectionate', 'caring')",0.8283529,0.77985287,-0.1535082,-0.2516422,-0.098134
10,-1.1875169,-1.0527312,"('unsympathetic', 'sympathetic')",-0.49744585,-0.46987292,-0.8424814,-0.7613021,0.0811793
11,0.038740166,0.088222325,"('unhelpful', 'helpful')",1.8880141,2.0224664,0.9633771,1.0553443,0.0919672
12,-0.09799021,-0.0021649003,"('unsupportive', 'supportive')",-1.9576057,-1.8623304,-1.0277979,-0.9322476,0.0955503
13,-0.23163778,-0.17430781,"('impolite', 'polite')",-0.46520048,-0.33483127,-0.3484191,-0.2545695,0.0938496
14,-0.23334366,-0.13983068,"('antisocial', 'social')",-0.35123459,-0.35852385,-0.2922891,-0.2491773,0.0431118
15,0.14656909,-0.07106447,"('boring', 'funny')",0.7051661,0.5994213,0.4258676,0.2641784,-0.1616892
16,-0.3613064,-0.450514,"('unpopular', 'popular')",0.7461195,0.65303826,0.1924066,0.1012621,-0.0911445
17,-0.043144923,-0.06284349,"('nasty', 'nice')",-0.09363365,-0.089077555,-0.0683893,-0.0759605,-0.0075712
18,-0.7526795,-0.76062214,"('disagreeable', 'welcoming')",-0.50168145,-0.49359518,-0.6271805,-0.6271087,7.18e-05
19,-1.5775445,-1.6091763,"('inhospitable', 'hospitable')",-0.28236842,-0.26417905,-0.9299564,-0.9366777,-0.0067213
20,0.09205544,0.13159984,"('rough', 'thoughtful')",1.1794463,1.1409694,0.6357509,0.6362846,0.0005337
21,0.08985796,0.13869268,"('immoral', 'moral')",-0.31825066,-0.25208807,-0.1141963,-0.0566977,0.0574986
22,-0.38073546,-0.32179472,"('untrustworthy', 'trustworthy')",-0.8595589,-0.8550452,-0.6201472,-0.58842,0.0317272
