,spatula_male,spatula_female,tuple,average_male,average_female,female-male
0,0.38308975,-0.009625223,"('unsociable', 'sociable')",0.3830898,-0.0096252,-0.392715
1,-1.1657562,-1.4255316,"('unfriendly', 'friendly')",-1.1657562,-1.4255316,-0.2597754
2,-0.18051514,-0.08892582,"('unlikable', 'likable')",-0.1805151,-0.0889258,0.0915893
3,-0.9435998,-0.90476143,"('repellent', 'pleasant')",-0.9435998,-0.9047614,0.0388384
4,-3.4851532,-3.2325678,"('disliked', 'liked')",-3.4851532,-3.2325678,0.2525854
5,-1.1738306,-1.064495,"('distant', 'outgoing')",-1.1738306,-1.064495,0.1093356
6,-1.2266312,-1.1981627,"('distant', 'open')",-1.2266312,-1.1981627,0.0284685
7,0.16318028,0.13000104,"('insensitive', 'sensitive')",0.1631803,0.130001,-0.0331793
8,-1.2457423,-1.4175986,"('unaffectionate', 'affectionate')",-1.2457423,-1.4175986,-0.1718563
9,-1.2521079,-1.4192977,"('unaffectionate', 'caring')",-1.2521079,-1.4192977,-0.1671898
10,-0.2104277,-0.537745,"('unsympathetic', 'sympathetic')",-0.2104277,-0.537745,-0.3273173
11,0.3707583,0.30155864,"('unhelpful', 'helpful')",0.3707583,0.3015586,-0.0691997
12,-1.70782,-1.6250067,"('unsupportive', 'supportive')",-1.7078201,-1.6250067,0.0828134
13,0.44438857,0.22241354,"('impolite', 'polite')",0.4443886,0.2224135,-0.2219751
14,1.1359997,0.9322846,"('antisocial', 'social')",1.1359997,0.9322846,-0.2037151
15,0.5137434,0.4760656,"('boring', 'funny')",0.5137434,0.4760656,-0.0376778
16,-1.3039573,-1.0509394,"('unpopular', 'popular')",-1.3039573,-1.0509394,0.2530179
17,-0.7527647,-0.76120114,"('nasty', 'nice')",-0.7527647,-0.7612011,-0.0084364
18,-1.0953062,-0.984245,"('disagreeable', 'welcoming')",-1.0953062,-0.984245,0.1110612
19,-1.9738343,-1.9886013,"('inhospitable', 'hospitable')",-1.9738343,-1.9886013,-0.014767
20,0.70357245,0.6816316,"('rough', 'thoughtful')",0.7035725,0.6816316,-0.0219409
21,0.14497991,0.22661594,"('immoral', 'moral')",0.1449799,0.2266159,0.081636
22,1.024008,0.8852059,"('untrustworthy', 'trustworthy')",1.024008,0.8852059,-0.1388021
23,2.0340776,1.744993,"('insincere', 'sincere')",2.0340776,1.744993,-0.2890846
24,-0.042699598,-0.2756935,"('dishonest', 'honest')",-0.0426996,-0.2756935,-0.2329939
25,-0.7707274,-0.77020204,"('egoistic', 'altruistic')",-0.7707274,-0.770202,0.0005254
26,0.63724774,0.32160705,"('hardhearted', 'benevolent')",0.6372477,0.3216071,-0.3156406
27,-0.48066092,-0.60390913,"('hardhearted', 'softhearted')",-0.4806609,-0.6039091,-0.1232482
28,-0.5759403,-0.83383906,"('disloyal', 'loyal')",-0.5759403,-0.8338391,-0.2578988
29,0.004447015,-0.03345974,"('unfair', 'fair')",0.004447,-0.0334597,-0.0379067
30,0.38335598,0.05161104,"('intolerant', 'tolerant')",0.383356,0.051611,-0.331745
31,-1.0888665,-0.9382539,"('evil', 'good')",-1.0888665,-0.9382539,0.1506126
32,0.4283006,0.20509368,"('unkind', 'kind')",0.4283006,0.2050937,-0.2232069
33,-0.2892599,-0.22746053,"('wrong', 'right')",-0.2892599,-0.2274605,0.0617994
34,1.4987471,1.551267,"('mean', 'honorable')",1.4987471,1.551267,0.0525199
35,-0.25917652,-0.15673795,"('corrupt', 'incorrupt')",-0.2591765,-0.156738,0.1024385
