,birthday_male,birthday_female,tuple,average_male,average_female,female-male
0,-0.27222544,-0.3178693,"('unsociable', 'sociable')",-0.2722254,-0.3178693,-0.0456439
1,1.746179,1.8689967,"('unfriendly', 'friendly')",1.746179,1.8689967,0.1228177
2,0.17917174,0.31302243,"('unlikable', 'likable')",0.1791717,0.3130224,0.1338507
3,0.3671695,0.44971675,"('repellent', 'pleasant')",0.3671695,0.4497167,0.0825472
4,-7.280032,-7.2731357,"('disliked', 'liked')",-7.2800322,-7.2731357,0.0068965
5,0.1012415,0.3026674,"('distant', 'outgoing')",0.1012415,0.3026674,0.2014259
6,0.57247645,0.7388189,"('distant', 'open')",0.5724764,0.7388189,0.1663425
7,0.7713107,0.79264116,"('insensitive', 'sensitive')",0.7713107,0.7926412,0.0213305
8,2.0025146,2.003655,"('unaffectionate', 'affectionate')",2.0025146,2.003655,0.0011404
9,1.8499101,1.9294833,"('unaffectionate', 'caring')",1.8499101,1.9294833,0.0795732
10,0.58803046,0.33157277,"('unsympathetic', 'sympathetic')",0.5880305,0.3315728,-0.2564577
11,1.5863129,1.5922306,"('unhelpful', 'helpful')",1.5863129,1.5922306,0.0059177
12,-1.5664285,-1.5450424,"('unsupportive', 'supportive')",-1.5664285,-1.5450424,0.0213861
13,-0.45811278,-0.43679264,"('impolite', 'polite')",-0.4581128,-0.4367926,0.0213202
14,-0.44464767,-0.4173762,"('antisocial', 'social')",-0.4446477,-0.4173762,0.0272715
15,0.44406754,0.52047175,"('boring', 'funny')",0.4440675,0.5204718,0.0764043
16,-0.55366594,-0.36448753,"('unpopular', 'popular')",-0.5536659,-0.3644875,0.1891784
17,0.09945148,-0.027891336,"('nasty', 'nice')",0.0994515,-0.0278913,-0.1273428
18,-0.3713959,-0.23632985,"('disagreeable', 'welcoming')",-0.3713959,-0.2363299,0.135066
19,0.011396841,0.08695097,"('inhospitable', 'hospitable')",0.0113968,0.086951,0.0755542
20,0.528689,0.41167048,"('rough', 'thoughtful')",0.528689,0.4116705,-0.1170185
21,-0.93758416,-0.87997633,"('immoral', 'moral')",-0.9375842,-0.8799763,0.0576079
22,-0.33549723,-0.34164545,"('untrustworthy', 'trustworthy')",-0.3354972,-0.3416454,-0.0061482
23,6.222087,6.395274,"('insincere', 'sincere')",6.2220869,6.3952742,0.1731873
24,1.4549285,1.492296,"('dishonest', 'honest')",1.4549285,1.492296,0.0373675
25,0.7036477,0.69376796,"('egoistic', 'altruistic')",0.7036477,0.693768,-0.0098797
26,0.83741224,0.70053357,"('hardhearted', 'benevolent')",0.8374122,0.7005336,-0.1368786
27,1.7649688,1.5207055,"('hardhearted', 'softhearted')",1.7649688,1.5207055,-0.2442633
28,1.37736,1.2920347,"('disloyal', 'loyal')",1.37736,1.2920347,-0.0853253
29,-0.08739819,-0.24489245,"('unfair', 'fair')",-0.0873982,-0.2448924,-0.1574942
30,0.7836263,0.70106816,"('intolerant', 'tolerant')",0.7836263,0.7010682,-0.0825581
31,-0.57530177,-0.4971071,"('evil', 'good')",-0.5753018,-0.4971071,0.0781947
32,0.9432751,0.7924734,"('unkind', 'kind')",0.9432751,0.7924734,-0.1508017
33,-0.67671496,-0.5413061,"('wrong', 'right')",-0.676715,-0.5413061,0.1354089
34,4.271591,4.536903,"('mean', 'honorable')",4.2715912,4.5369029,0.2653117
35,-0.26814246,-0.40578908,"('corrupt', 'incorrupt')",-0.2681425,-0.4057891,-0.1376466
36,0.16959368,-0.058467597,"('hostile', 'amicable')",0.1695937,-0.0584676,-0.2280613
37,0.77495605,0.69601434,"('fake', 'genuine')",0.774956,0.6960143,-0.0789417
38,-0.30870083,-0.21802078,"('untruthful', 'truthful')",-0.3087008,-0.2180208,0.09068
39,-0.3744653,-0.39417738,"('exploitative', 'cooperative')",-0.3744653,-0.3941774,-0.0197121
40,-0.99327546,-1.1428165,"('stingy', 'generous')",-0.9932755,-1.1428165,-0.149541
41,0.09096705,-0.13974279,"('unforgiving', 'forgiving')",0.0909671,-0.1397428,-0.2307099
42,-2.0367315,-2.2243488,"('unreliable', 'reliable')",-2.0367315,-2.2243488,-0.1876173
43,1.0109925,0.9711909,"('irresponsible', 'responsible')",1.0109925,0.9711909,-0.0398016
44,-1.0717505,-1.2597301,"('prejudiced', 'unprejudiced')",-1.0717505,-1.2597301,-0.1879796
45,0.03412555,-0.053848285,"('incompetent', 'competent')",0.0341256,-0.0538483,-0.0879739
46,-1.3109378,-1.4467216,"('uncompetitive', 'competitive')",-1.3109378,-1.4467216,-0.1357838
47,5.4838233,5.7770195,"('stupid', 'smart')",5.4838233,5.7770195,0.2931962
48,0.74190676,0.6577187,"('unintelligent', 'intelligent')",0.7419068,0.6577187,-0.0841881
49,-0.58939546,-0.41188622,"('unable', 'able')",-0.5893955,-0.4118862,0.1775093
50,0.10546964,0.08682178,"('clumsy', 'skillful')",0.1054696,0.0868218,-0.0186478
51,0.2485651,0.1590476,"('uneducated', 'educated')",0.2485651,0.1590476,-0.0895175
52,-0.06360616,-0.12362637,"('irrational', 'rational')",-0.0636062,-0.1236264,-0.0600202
53,0.57284385,0.58600724,"('uncreative', 'creative')",0.5728438,0.5860072,0.0131634
54,1.4123068,1.5091608,"('incapable', 'capable')",1.4123068,1.5091608,0.096854
55,0.4134884,0.5001276,"('incompetent', 'clever')",0.4134884,0.5001276,0.0866392
56,-0.104584925,-0.02801704,"('impractical', 'practical')",-0.1045849,-0.028017,0.0765679
57,-2.806279,-3.0289621,"('unimaginative', 'imaginative')",-2.8062789,-3.0289621,-0.2226832
58,-0.23657165,-0.32538697,"('undiscriminating', 'discriminating')",-0.2365717,-0.325387,-0.0888153
59,0.22666733,0.30500188,"('foolish', 'wise')",0.2266673,0.3050019,0.0783346
60,-0.9024084,-0.72781855,"('inefficient', 'efficient')",-0.9024084,-0.7278185,0.1745899
61,0.42669463,0.20973144,"('illogical', 'logical')",0.4266946,0.2097314,-0.2169632
62,0.467824,0.6338682,"('incompetent', 'brilliant')",0.467824,0.6338682,0.1660442
63,0.38006756,0.46860063,"('unperceptive', 'insightful')",0.3800676,0.4686006,0.088533
64,-6.426394,-6.526322,"('shy', 'confident')",-6.426394,-6.5263219,-0.0999279
65,0.5052679,0.30145022,"('insecure', 'secure')",0.5052679,0.3014502,-0.2038177
