,astrolabe_male,astrolabe_female,tuple,average_male,average_female,female-male
0,-0.13352008,-0.38517582,"('unsociable', 'sociable')",-0.1335201,-0.3851758,-0.2516557
1,0.3344156,-0.09044513,"('unfriendly', 'friendly')",0.3344156,-0.0904451,-0.4248607
2,-0.10596347,-0.11072923,"('unlikable', 'likable')",-0.1059635,-0.1107292,-0.0047657
3,-0.9041402,-0.8005319,"('repellent', 'pleasant')",-0.9041402,-0.8005319,0.1036083
4,-1.3736451,-1.6833026,"('disliked', 'liked')",-1.3736451,-1.6833026,-0.3096575
5,-1.4574859,-1.5666747,"('distant', 'outgoing')",-1.4574859,-1.5666747,-0.1091888
6,-1.4944152,-1.6051514,"('distant', 'open')",-1.4944152,-1.6051514,-0.1107362
7,-0.33185384,-0.28162286,"('insensitive', 'sensitive')",-0.3318538,-0.2816229,0.0502309
8,0.4116096,0.20970176,"('unaffectionate', 'affectionate')",0.4116096,0.2097018,-0.2019078
9,-0.25345156,-0.41098636,"('unaffectionate', 'caring')",-0.2534516,-0.4109864,-0.1575348
10,-2.02511,-1.9728087,"('unsympathetic', 'sympathetic')",-2.02511,-1.9728087,0.0523013
11,-0.65939313,-0.4617628,"('unhelpful', 'helpful')",-0.6593931,-0.4617628,0.1976303
12,-1.3700427,-1.4367092,"('unsupportive', 'supportive')",-1.3700427,-1.4367092,-0.0666665
13,-0.87231904,-0.84365773,"('impolite', 'polite')",-0.872319,-0.8436577,0.0286613
14,-0.34461415,-0.32432926,"('antisocial', 'social')",-0.3446141,-0.3243293,0.0202848
15,1.0505913,0.8800148,"('boring', 'funny')",1.0505913,0.8800148,-0.1705765
16,0.18355425,0.03645312,"('unpopular', 'popular')",0.1835542,0.0364531,-0.1471011
17,-0.2910387,-0.30142778,"('nasty', 'nice')",-0.2910387,-0.3014278,-0.0103891
18,-0.13015121,-0.1675601,"('disagreeable', 'welcoming')",-0.1301512,-0.1675601,-0.0374089
19,-1.3687643,-1.4866168,"('inhospitable', 'hospitable')",-1.3687643,-1.4866168,-0.1178525
20,0.34902632,0.41286993,"('rough', 'thoughtful')",0.3490263,0.4128699,0.0638436
21,-0.5467252,-0.47227886,"('immoral', 'moral')",-0.5467252,-0.4722789,0.0744463
22,-0.4183068,-0.44504339,"('untrustworthy', 'trustworthy')",-0.4183068,-0.4450434,-0.0267366
23,1.0744597,1.1675347,"('insincere', 'sincere')",1.0744597,1.1675347,0.093075
24,-0.7429646,-0.6970105,"('dishonest', 'honest')",-0.7429646,-0.6970105,0.0459541
25,1.0664957,0.95162153,"('egoistic', 'altruistic')",1.0664957,0.9516215,-0.1148742
26,1.6459775,1.2356237,"('hardhearted', 'benevolent')",1.6459775,1.2356237,-0.4103538
27,0.45783484,0.3502374,"('hardhearted', 'softhearted')",0.4578348,0.3502374,-0.1075974
28,-0.45189795,-0.5872849,"('disloyal', 'loyal')",-0.4518979,-0.5872849,-0.135387
29,-0.23899612,-0.3480289,"('unfair', 'fair')",-0.2389961,-0.3480289,-0.1090328
30,-0.6752739,-0.5850003,"('intolerant', 'tolerant')",-0.6752739,-0.5850003,0.0902736
