,bedroom_male,bedroom_female,tuple,average_male,average_female,female-male
0,0.027200833,-0.26718685,"('unsociable', 'sociable')",0.0272008,-0.2671869,-0.2943877
1,0.8245389,1.0114529,"('unfriendly', 'friendly')",0.8245389,1.0114529,0.186914
2,0.03627433,0.25032324,"('unlikable', 'likable')",0.0362743,0.2503232,0.2140489
3,0.7508221,0.6354752,"('repellent', 'pleasant')",0.7508221,0.6354752,-0.1153469
4,-7.093757,-7.4157386,"('disliked', 'liked')",-7.0937572,-7.4157386,-0.3219814
5,-0.676133,-0.38522026,"('distant', 'outgoing')",-0.676133,-0.3852203,0.2909127
6,-0.29282507,-0.058989443,"('distant', 'open')",-0.2928251,-0.0589894,0.2338357
7,1.0380187,0.8798578,"('insensitive', 'sensitive')",1.0380187,0.8798578,-0.1581609
8,0.8651302,1.0202951,"('unaffectionate', 'affectionate')",0.8651302,1.0202951,0.1551649
9,1.3654587,1.616212,"('unaffectionate', 'caring')",1.3654587,1.616212,0.2507533
10,1.0450513,0.77314705,"('unsympathetic', 'sympathetic')",1.0450513,0.773147,-0.2719043
11,1.5993958,1.6592736,"('unhelpful', 'helpful')",1.5993958,1.6592736,0.0598778
12,-1.4971411,-1.5650977,"('unsupportive', 'supportive')",-1.4971411,-1.5650977,-0.0679566
13,-0.08851709,-0.21712503,"('impolite', 'polite')",-0.0885171,-0.217125,-0.1286079
14,0.29978207,0.012386944,"('antisocial', 'social')",0.2997821,0.0123869,-0.2873952
15,0.014780683,0.08085953,"('boring', 'funny')",0.0147807,0.0808595,0.0660788
16,-0.5534777,-0.49500966,"('unpopular', 'popular')",-0.5534777,-0.4950097,0.058468
17,-0.07860233,-0.13727435,"('nasty', 'nice')",-0.0786023,-0.1372744,-0.0586721
18,-0.6142728,-0.5876149,"('disagreeable', 'welcoming')",-0.6142728,-0.5876149,0.0266579
19,-0.94865656,-0.6619224,"('inhospitable', 'hospitable')",-0.9486566,-0.6619224,0.2867342
20,0.9965746,0.8046463,"('rough', 'thoughtful')",0.9965746,0.8046463,-0.1919283
21,-0.20379737,-0.3012902,"('immoral', 'moral')",-0.2037974,-0.3012902,-0.0974928
22,-0.37573096,-0.6023269,"('untrustworthy', 'trustworthy')",-0.375731,-0.6023269,-0.2265959
23,5.583137,5.8688445,"('insincere', 'sincere')",5.583137,5.8688445,0.2857075
24,1.4353683,1.4102769,"('dishonest', 'honest')",1.4353683,1.4102769,-0.0250914
25,0.42756242,0.5439962,"('egoistic', 'altruistic')",0.4275624,0.5439962,0.1164338
