,lashes_male,lashes_female,tuple,average_male,average_female,female-male
0,0.43066475,0.42597082,"('unsociable', 'sociable')",0.4306647,0.4259708,-0.0046939
1,1.5685349,1.5679874,"('unfriendly', 'friendly')",1.5685349,1.5679874,-0.0005475
2,0.3330813,0.5035202,"('unlikable', 'likable')",0.3330813,0.5035202,0.1704389
3,1.1686053,1.29211,"('repellent', 'pleasant')",1.1686053,1.29211,0.1235047
4,-6.7097135,-6.683628,"('disliked', 'liked')",-6.7097135,-6.6836281,0.0260854
5,-0.04178461,0.20258765,"('distant', 'outgoing')",-0.0417846,0.2025876,0.2443722
6,0.3037998,0.4863971,"('distant', 'open')",0.3037998,0.4863971,0.1825973
7,1.5716546,1.7084373,"('insensitive', 'sensitive')",1.5716546,1.7084373,0.1367827
8,1.0427909,1.0505643,"('unaffectionate', 'affectionate')",1.0427909,1.0505643,0.0077734
9,1.5216455,1.6695408,"('unaffectionate', 'caring')",1.5216455,1.6695408,0.1478953
10,1.3128234,1.3563584,"('unsympathetic', 'sympathetic')",1.3128234,1.3563584,0.043535
11,1.9761299,2.094196,"('unhelpful', 'helpful')",1.9761299,2.0941961,0.1180662
12,-1.0117979,-0.70780706,"('unsupportive', 'supportive')",-1.0117979,-0.7078071,0.3039908
13,0.34487194,0.26107532,"('impolite', 'polite')",0.3448719,0.2610753,-0.0837966
14,0.13108775,0.10163359,"('antisocial', 'social')",0.1310878,0.1016336,-0.0294542
15,0.498118,0.5157278,"('boring', 'funny')",0.498118,0.5157278,0.0176098
16,-0.5573897,-0.46117258,"('unpopular', 'popular')",-0.5573897,-0.4611726,0.0962171
17,-0.26158231,-0.20000967,"('nasty', 'nice')",-0.2615823,-0.2000097,0.0615726
18,-0.10398203,-0.08165321,"('disagreeable', 'welcoming')",-0.103982,-0.0816532,0.0223288
19,-0.33580527,-0.09173464,"('inhospitable', 'hospitable')",-0.3358053,-0.0917346,0.2440707
20,0.519357,0.42443827,"('rough', 'thoughtful')",0.519357,0.4244383,-0.0949187
21,0.27466843,0.5182271,"('immoral', 'moral')",0.2746684,0.5182271,0.2435587
22,-0.0036424194,0.1681063,"('untrustworthy', 'trustworthy')",-0.0036424,0.1681063,0.1717487
23,6.651506,6.837026,"('insincere', 'sincere')",6.6515059,6.8370261,0.1855202
24,2.0499587,2.3173354,"('dishonest', 'honest')",2.0499587,2.3173354,0.2673767
25,0.95668954,0.7558931,"('egoistic', 'altruistic')",0.9566895,0.7558931,-0.2007964
26,0.5323906,0.22445321,"('hardhearted', 'benevolent')",0.5323906,0.2244532,-0.3079374
27,1.8934209,1.7135651,"('hardhearted', 'softhearted')",1.8934209,1.7135651,-0.1798558
28,1.2998642,1.222693,"('disloyal', 'loyal')",1.2998642,1.222693,-0.0771712
29,-0.7532929,-0.6961378,"('unfair', 'fair')",-0.7532929,-0.6961378,0.0571551
30,0.9454878,0.9898121,"('intolerant', 'tolerant')",0.9454878,0.9898121,0.0443243
31,-1.4372519,-1.3609146,"('evil', 'good')",-1.4372519,-1.3609146,0.0763373
32,1.529897,1.4677223,"('unkind', 'kind')",1.529897,1.4677223,-0.0621747
33,-0.17897753,0.001060335,"('wrong', 'right')",-0.1789775,0.0010603,0.1800378
34,4.4937034,4.81214,"('mean', 'honorable')",4.4937034,4.81214,0.3184366
35,-1.2316217,-1.2867292,"('corrupt', 'incorrupt')",-1.2316217,-1.2867292,-0.0551075
36,-1.3129929,-1.376824,"('hostile', 'amicable')",-1.3129929,-1.376824,-0.0638311
37,1.2478602,1.1355875,"('fake', 'genuine')",1.2478602,1.1355875,-0.1122727
38,0.10563665,0.24961047,"('untruthful', 'truthful')",0.1056366,0.2496105,0.1439739
39,0.25064036,0.22370698,"('exploitative', 'cooperative')",0.2506404,0.223707,-0.0269334
40,-0.42005998,-0.56468755,"('stingy', 'generous')",-0.42006,-0.5646876,-0.1446276
41,0.023453582,-0.053716682,"('unforgiving', 'forgiving')",0.0234536,-0.0537167,-0.0771703
42,-1.7178773,-1.7209616,"('unreliable', 'reliable')",-1.7178773,-1.7209616,-0.0030843
43,1.1399082,1.2508184,"('irresponsible', 'responsible')",1.1399082,1.2508184,0.1109102
44,-1.507836,-1.8424472,"('prejudiced', 'unprejudiced')",-1.507836,-1.8424472,-0.3346112
45,0.59981096,0.7247709,"('incompetent', 'competent')",0.599811,0.7247709,0.1249599
46,-0.43637064,-0.35577327,"('uncompetitive', 'competitive')",-0.4363706,-0.3557733,0.0805973
47,4.7262163,4.9624896,"('stupid', 'smart')",4.7262163,4.9624896,0.2362733
48,0.6189172,0.656364,"('unintelligent', 'intelligent')",0.6189172,0.656364,0.0374468
49,0.25091082,0.4389141,"('unable', 'able')",0.2509108,0.4389141,0.1880033
50,-0.08418461,-0.0034279367,"('clumsy', 'skillful')",-0.0841846,-0.0034279,0.0807567
51,1.2791928,1.3053408,"('uneducated', 'educated')",1.2791928,1.3053408,0.026148
52,-0.35876593,-0.31623337,"('irrational', 'rational')",-0.3587659,-0.3162334,0.0425325
53,-0.06545333,-0.02336983,"('uncreative', 'creative')",-0.0654533,-0.0233698,0.0420835
54,1.101775,1.4646565,"('incapable', 'capable')",1.1017751,1.4646565,0.3628814
55,1.4486125,1.5340959,"('incompetent', 'clever')",1.4486125,1.5340959,0.0854834
56,0.6519092,0.86884964,"('impractical', 'practical')",0.6519092,0.8688496,0.2169404
57,-1.9324126,-2.0000207,"('unimaginative', 'imaginative')",-1.9324126,-2.0000207,-0.0676081
58,0.15154032,0.105887435,"('undiscriminating', 'discriminating')",0.1515403,0.1058874,-0.0456529
59,-0.050799172,0.021178193,"('foolish', 'wise')",-0.0507992,0.0211782,0.0719774
60,0.6961974,0.794471,"('inefficient', 'efficient')",0.6961974,0.794471,0.0982736
61,0.37808627,0.3764507,"('illogical', 'logical')",0.3780863,0.3764507,-0.0016356
62,1.6490169,1.9509195,"('incompetent', 'brilliant')",1.6490169,1.9509195,0.3019026
63,0.8570188,1.1760311,"('unperceptive', 'insightful')",0.8570188,1.1760311,0.3190123
64,-5.751087,-5.516176,"('shy', 'confident')",-5.7510872,-5.5161762,0.234911
65,0.7217797,0.79273653,"('insecure', 'secure')",0.7217797,0.7927365,0.0709568
66,-0.39212278,-0.2921686,"('inactive', 'active')",-0.3921228,-0.2921686,0.0999542
67,-0.9423733,-0.9253991,"('doubtful', 'determined')",-0.9423733,-0.9253991,0.0169742
68,-0.43443173,-0.2880697,"('dependent', 'independent')",-0.4344317,-0.2880697,0.146362
69,-1.9959491,-1.8965131,"('lazy', 'industrious')",-1.9959491,-1.8965131,0.099436
70,1.8972842,2.0021095,"('lethargic', 'energetic')",1.8972842,2.0021095,0.1048253
71,0.41285828,0.6882313,"('diffident', 'self-confident')",0.4128583,0.6882313,0.275373
72,1.1340023,1.2902701,"('unambitious', 'ambitious')",1.1340023,1.2902701,0.1562678
73,-2.4127007,-2.3709843,"('helpless', 'self-reliant')",-2.4127007,-2.3709843,0.0417164
74,0.48156318,0.39781255,"('undedicated', 'dedicated')",0.4815632,0.3978125,-0.0837507
75,-0.9288021,-0.794893,"('meek', 'impulsive')",-0.9288021,-0.794893,0.1339091
76,0.7334708,0.6753098,"('anxious', 'daring')",0.7334708,0.6753098,-0.058161
77,-1.4536318,-1.1373323,"('unmotivated', 'motivated')",-1.4536318,-1.1373323,0.3162995
78,-0.7386759,-0.5563717,"('nonresilient', 'resilient')",-0.7386759,-0.5563717,0.1823042
79,-0.3129784,-0.22568166,"('wavering', 'unwavering')",-0.3129784,-0.2256817,0.0872967
80,0.4473119,0.43303066,"('dominated', 'dominating')",0.4473119,0.4330307,-0.0142812
81,0.2923457,0.31380075,"('submissive', 'aggressive')",0.2923457,0.3138008,0.0214551
82,6.2725296,6.54122,"('poor', 'rich')",6.2725296,6.5412202,0.2686906
83,-0.3564374,-0.28693643,"('powerless', 'powerful')",-0.3564374,-0.2869364,0.069501
84,0.089580685,0.117961295,"('inferior', 'superior')",0.0895807,0.1179613,0.0283806
85,-1.31993,-1.4640919,"('insignificant', 'prestigious')",-1.31993,-1.4640919,-0.1441619
86,1.0303879,1.1046464,"('uninfluential', 'influential')",1.0303879,1.1046464,0.0742585
87,0.50664955,0.7879046,"('unsuccessful', 'successful')",0.5066496,0.7879046,0.281255
88,0.29351026,0.42325756,"('low', 'eminent')",0.2935103,0.4232576,0.1297473
